Bulgarian	Ukrainian	probability
ˈɔ_k	ˈi_ɦ	1.0
ˈɔ_#>	ɔ_#>	1.0
ˈi	ˈɪ	1.0
ˈa_t	ˈi_t	1.0
ʧ	ʧ_ɔ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɫ_#>	lʲ_#>	1.0
ɛ_n	n	1.0
ɐ_t	ɔ_tʲ	1.0
ɐ_#>	ɐ_#>	1.0
x	x	1.0
vʲ	ʋʲ	1.0
t_#>	d_#>	1.0
s_#>	s_#>	1.0
p_#>	b_#>	1.0
p	p	1.0
m	m	1.0
lʲ	lʲ	1.0
i	ɪ	1.0
d	d	1.0
b	b	1.0
<#_t	<#_t	1.0
<#	<#_w	1.0
#>	j_#>	0.882
ɫ	ɫ	0.867
ɡ	ɦ	0.833
o	ɔ	0.778
r	r	0.742
z	z	0.727
ˈɔ	ˈi	0.7
s	s	0.7
k	k	0.68
l	ɫ	0.667
v	ʋ	0.556
n	n	0.533
t	t	0.526
f	ʋ_e	0.5
f	w	0.5
ˈa	ˈɑ	0.484
n	nʲ	0.467
ˈɤ	ˈɔ	0.429
t	tʲ	0.368
l	lʲ	0.333
ˈɛ	ˈi	0.316
ˈɔ	ˈɔ	0.3
s	sʲ	0.3
z	zʲ	0.273
ɐ	e	0.267
ˈɛ	ˈɛ	0.263
ˈa	ˈi	0.258
ɛ	ɛ	0.238
ɛ	i	0.238
v	ʋʲ	0.222
v	w	0.222
o	ˈɔ	0.222
ˈɤ	ˈɛ	0.214
ˈɤ	ˈu	0.214
ɐ	-	0.2
ɡ	ɦ_ˈɔ	0.167
r	rʲ	0.161
k	j	0.16
ˈɛ	ˈɔ	0.158
ˈɛ	ˈɑ	0.158
ˈɤ	r	0.143
ɛ	ɐ	0.143
ɫ	ɔ_ɫ	0.133
ɐ	ˈɛ	0.133
ɐ	ʊ	0.133
ɐ	t_e	0.133
ɐ	k_ˈɪ	0.133
ˈa	ˈɔ	0.129
#>	ɐ_#>	0.118
ˈɛ	ɛ	0.105
t	ʧ	0.105
r	ɔ_r	0.097
ɛ	ˈi	0.095
ɛ	ɔ	0.095
ɛ	j_ˈɑ	0.095
ɛ	e	0.095
k	ɦ	0.08
k	kʲ	0.08
ˈa	ɔ	0.065
ˈa	ɐ	0.065
