Sixian	Sixian	probability
⁵⁵	⁵³	1.0
⁵	⁵	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɲ	ɲ	1.0
ɕ	ɕ	1.0
ŋ̍	n̩	1.0
ŋ	ŋ	1.0
¹¹	¹¹	1.0
³¹	³¹	1.0
w	w	1.0
v	ʋ	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
t	t	1.0
p̚	p̚	1.0
pʰ	pʰ	1.0
p	p	1.0
o_²⁴	o_¹¹	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k̚	k̚	1.0
j_u	i_w	1.0
j	j	1.0
i	i	1.0
f	f	1.0
a_¹¹	a_¹¹	1.0
a_²⁴	a_⁴⁴	1.0
a	a	1.0
<#_ŋ̍	<#_n	1.0
²	¹	0.957
²⁴	⁴⁴	0.946
s	s	0.875
h	h	0.75
ɨ	z̩	0.667
kʰ	cʰ	0.625
o	ɔ	0.611
k	k	0.583
u	u	0.529
u	ʊ	0.471
k	c	0.417
e	a	0.391
kʰ	kʰ	0.375
e	ɛ	0.348
ɨ	z	0.333
o	o	0.278
h	ç	0.25
e	e	0.174
s	ɕ	0.125
o	a_w	0.111
e	j_a	0.087
²⁴	⁵³	0.054
