Spanish	Spanish	probability
θ_#>	θ_#>	1.0
ˈo_l	ˈɔ_l	1.0
ˈi_o	ˈi_ʊ	1.0
ˈi_n	ˈi_ɲ	1.0
ˈe_n	ˈe	1.0
ˈe_k	ˈe_k	1.0
ʧ	j_t	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_t	ɾ_t	1.0
ɾ_k	ɾ_k	1.0
ɾ_e	ɪ	1.0
ɾ_a	ɾ_ɐ	1.0
ɾ_#>	ɾ_#>	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	ʧ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
s_ˈo	s_ˈo	1.0
s_e	s_e	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o_ɾ	o_ɾ	1.0
o_#>	#>	1.0
n_o	ŋ	1.0
n_a_#>	#>	1.0
n_#>	ŋ_#>	1.0
m_o	m_o	1.0
m_b	m	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
l_o	ʊ	1.0
l_#>	l_#>	1.0
k	k	1.0
j_#>	j_#>	1.0
i	i	1.0
f	f	1.0
e_ˈe	ˈe	1.0
d	d	1.0
b	b	1.0
<#_θ	<#_θ	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɟ͡ʝ	<#	1.0
<#_x	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
#>	ɪ_#>	1.0
β	β	0.943
ɾ	ɾ	0.92
ˈi	ˈi	0.893
<#	<#_f	0.882
t	t	0.871
ˈa	ˈa	0.843
ˈu	ˈu	0.833
ˈe	ˈe	0.822
o	ʊ	0.814
<#_a	<#_a	0.8
j_ˈe	ˈɛ	0.773
ʝ	l	0.769
θ	θ	0.765
x	ɟ	0.75
a	ɐ	0.75
l	l	0.71
ˈo	ˈo	0.697
n	n	0.658
ɲ	ɲ	0.615
w_ˈe	ˈɔ	0.613
u	u	0.6
e	ɪ	0.565
j	-	0.556
w	w	0.5
w	-	0.5
j	j	0.444
u	-	0.4
w_ˈe	ˈo	0.387
ɲ	n	0.385
e	e	0.326
l	-	0.29
n	-	0.263
x	ʃ	0.25
a	a	0.239
ʝ	-	0.231
j_ˈe	ˈe	0.227
<#_a	<#	0.2
ˈo	ˈɔ	0.182
ˈu	ˈo	0.167
ˈa	ˈɑ	0.157
ˈe	ˈi	0.133
t	w_t	0.129
o	o	0.127
ˈo	ˈo_w	0.121
θ	ʃ	0.118
θ	j_ʃ	0.118
<#	<#_ʃ	0.118
ˈi	-	0.107
n	ɲ	0.079
e	-	0.065
β	-	0.057
