East Frisian Low Saxon	East Frisian Low Saxon	probability
χ_t	ʰt	1.0
χ	ʰt	1.0
ˈʏə̯	-	1.0
ˈʏ_k	ʰʧ	1.0
ˈʏ	-	1.0
ˈʊə̯	ˈʊ	1.0
ˈɛːɪ̯_#>	#>	1.0
ˈɛːɪ̯	ɹ	1.0
ˈɛ_l	l̥	1.0
ˈɔː	ˈɔ̯aː	1.0
ˈɒːɒ̯	ˈɛːa̯	1.0
ˈɑːʊ̯	ˈɪ	1.0
ˈɑʊ̯_d̥	ˈɔːu̯_w	1.0
ˈɑ_d̥	ˈɛːa̯	1.0
ˈœːy̯	ˈɔːu̯	1.0
ˈœy̯	ˈøː	1.0
ˈœ	-	1.0
ˈøy̯	ˈøː	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈʊ̯iː	1.0
ˈyːʏ̯	ˈɔːu̯	1.0
ˈyː	-	1.0
ˈuːu̯	ˈʊ	1.0
ˈiːi̯	ˈʊ̯iː	1.0
ˈiː_#>	ˈɛːa̯_ɹ_#>	1.0
ˈiː	ˈʊ̯iː	1.0
ʊ	ˈɔːu̯_w	1.0
ɫ	ɡ̊_l	1.0
ɡ̊	-	1.0
ə	-	1.0
ɑɪ̯	a	1.0
ɐ_t	ɹ_ʈ	1.0
ɐ_n	t͡n̥	1.0
ɐ_m	ɹ_m	1.0
ŋ_k	ʰk	1.0
z̥_#>	s_#>	1.0
z	s	1.0
w	v	1.0
v̥	v	1.0
v_n	v_a	1.0
t_ɐ	ʰt͡n̥	1.0
t_n	t_a	1.0
t_#>	ʊ_ɹ_#>	1.0
s_k	ʃ	1.0
o	ˈa	1.0
n_n	nː_a	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m_n	m_a	1.0
d̥_#>	#>	1.0
d_r	d̥_ɹ	1.0
b	b̥	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#	<#_kʰ	1.0
s	s	0.957
m	m	0.938
h	h	0.909
ŋ	ŋ	0.889
v	v	0.889
f	f	0.857
r	ɹ	0.818
ˈʊ	ˈʊ	0.8
ˈuː	ˈʉːu̯	0.778
#>	ʊ_ɹ_#>	0.721
ˈeː	-	0.7
l	l	0.697
k	k	0.632
t	t	0.63
ˈɔ	-	0.625
ˈɑː	ˈa	0.625
ɐ	ɹ	0.543
d̥	d̥	0.533
ˈɑʊ̯	-	0.5
ˈøːø̯	ˈøː	0.5
ˈøːø̯	-	0.5
ˈeːe̯	j_ˈøː	0.5
ˈeːe̯	-	0.5
ɡ	ɡ̊	0.5
p	p	0.5
ˈɛ	ˈɛːa̯	0.429
n	a	0.421
ɣ̊	ʊ	0.417
ˈɪ	ˈɪ	0.409
p	ʰp	0.4
ˈɔ	ˈœ	0.375
ˈɑː	-	0.375
t	ʰt	0.37
n	n	0.368
ˈoː	ˈɛːi̯	0.353
ˈɑːɑ̯	ˈɔ	0.333
ˈɑːɑ̯	ˈa	0.333
ˈɑːɑ̯	-	0.333
ɣ̊	-	0.333
ˈɒː	ˈɔ̯aː	0.312
ˈøː	ˈɔ	0.3
ˈøː	-	0.3
ˈeː	ˈeː	0.3
ˈæɪ̯	-	0.294
ˈɛ	ˈɛ	0.286
ˈɛ	-	0.286
d	tʰ	0.286
d	d̥	0.286
ˈɑ	ˈɔ	0.278
ˈɑ	ˈa	0.278
ˈɒː	ˈɛːa̯	0.25
ˈɒː	ˈa	0.25
ˈɑʊ̯	ˈɛ_ɡ̊	0.25
ˈɑʊ̯	ˈɔːu̯	0.25
ɣ̊	v	0.25
ˈæɪ̯	ˈai̯	0.235
ˈoː	-	0.235
ˈuː	-	0.222
ɡ	ʤ̊	0.214
#>	a_#>	0.209
ˈʊ	ˈɔ	0.2
ˈøː	ˈʊ	0.2
ˈøː	ˈɔːi̯	0.2
ɐ	ɪ_ɹ	0.2
d̥	-	0.2
ˈɒː	-	0.188
ˈɪ	-	0.182
r	-	0.182
d	-	0.179
ˈæɪ̯	ˈɔːu̯	0.176
ˈæɪ̯	ˈaːi̯	0.176
ˈoː	ˈoː	0.176
ˈɑ	ˈɛːa̯	0.167
ˈɑ	-	0.167
k	ʧ	0.158
l	t͡l̥	0.152
ɡ	ʤ̊ː	0.143
ɡ	-	0.143
f	v	0.143
ˈɪ	ˈɛ	0.136
ˈɪ	ˈiː	0.136
ˈɪ	ˈeː	0.136
d̥	t	0.133
d̥	j_ʊ	0.133
ˈæɪ̯	ˈʉːu̯	0.118
ˈoː	ˈɔ̯aː	0.118
ˈoː	ˈɔ	0.118
ˈɑ	ˈɛ	0.111
ŋ	ɲ	0.111
v	ˈiː_v	0.111
d	j	0.107
k	ʰk	0.105
k	ʧʰ	0.105
p	pʰ	0.1
l	ˈœ_l	0.091
h	j	0.091
ɐ	ɹ_a	0.086
d	ʧʰ	0.071
d	tʰ_ˈʊ	0.071
n	nː	0.07
n	n_d̥	0.07
#>	ɹ_#>	0.07
m	mː	0.062
l	l̥	0.061
ɐ	ɹ_ɪ	0.057
ɐ	t͡n̥	0.057
ɐ	a	0.057
