West Frisian	West Frisian	probability
χ_t	ʰtː	1.0
ˈɪə̯_n	ˈoː	1.0
ˈɪ_n	nː	1.0
ˈɛi̯	-	1.0
ˈɔː	ˈɑ	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈɛ	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	ˈʏ	1.0
ˈu̯o	ˈøː	1.0
ˈu	ˈʉ	1.0
ˈoː	ˈʉː	1.0
ˈeː	-	1.0
ˈaː_t	ʉ	1.0
ʦ	ç	1.0
ə_n	e_ɾ	1.0
ə_#>	#>	1.0
ɕ	s	1.0
z	s	1.0
t_ˈɔ	tʰ_ˈɔ	1.0
t_#>	#>	1.0
s_v	s	1.0
s_k	ʂ	1.0
s_#>	s_#>	1.0
r_χ	ɾ_ɡ	1.0
r	ɾ	1.0
n_ɪ	ŋ	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
k_#>	k_#>	1.0
j_ˈuə̯	ˈyː	1.0
j_ə	ɑ	1.0
f_#>	ʋ_#>	1.0
f	f	1.0
d̥	lː	1.0
d_ə_#>	#>	1.0
b	b	1.0
<#_ʋ	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_j	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
h	h	0.909
m	m	0.882
ˈuə̯	ˈuː	0.833
v	ʋ	0.833
d̥_#>	#>	0.833
l	l	0.829
t	t	0.806
s	s	0.791
j	-	0.786
l_#>	l_#>	0.778
ɡ	ɡ	0.75
p	p	0.727
ŋ	ŋː	0.7
d	d	0.682
ʋ	ʋ	0.667
ɣ	ɡ	0.667
n	n	0.651
#>	e_#>	0.562
ə	ɑ	0.558
ˈi	ˈiː	0.538
ˈuː	ˈʉː	0.5
ˈa	ˈɑ	0.5
ə_r	ɾ_e	0.5
ə_r	ɾ	0.5
k	k	0.5
ˈɔ	ˈʉ	0.462
χ	ɡ	0.429
ˈɛː	ˈɑː	0.429
ˈɛ	ˈɛ	0.385
ˈɔ	-	0.385
ˈɪə̯	ˈæʉ̯	0.368
ˈuː	ˈʉ	0.333
ˈiː	ˈiː	0.333
ˈiː	-	0.333
ɣ	ɡː	0.333
ˈɪə̯	-	0.316
ˈiə̯	ˈoː	0.312
ˈoə̯	ˈɔ	0.308
ˈi	-	0.308
ə	e	0.308
ˈaː	ˈɑː	0.3
ˈaː	ˈoː	0.3
χ	ɡː	0.286
χ	-	0.286
ˈɛː	ˈɑ_ɾ	0.286
ˈɛː	-	0.286
k	ç	0.286
n	nː	0.279
ˈa	ˈɑː	0.278
ˈɪ	ˈɪ	0.267
ˈiə̯	ˈøː	0.25
ˈiə̯	ˈæɪ̯	0.25
ɡ	ɡ_ˈʉː	0.25
ˈɛ	-	0.231
ˈoə̯	ˈʊ_ɾ	0.231
ˈoə̯	ˈoː	0.231
ˈoə̯	ɾ	0.231
l_#>	#>	0.222
k	ʰkː	0.214
j	ˈuː	0.214
ˈaː	ˈɑ	0.2
ˈaː	-	0.2
ʋ	kʰ_ʋ	0.2
ŋ	-	0.2
ˈiə̯	ˈyː	0.188
#>	ɑ_#>	0.188
p	pʰ	0.182
d	-	0.182
l	lː	0.171
ˈuː	-	0.167
ˈuə̯	-	0.167
ˈiː	ˈʉː	0.167
ˈiː	ˈɪ	0.167
v	-	0.167
d̥_#>	d_#>	0.167
ˈɪə̯	ˈɑ	0.158
ˈɪə̯	ˈœʏ̯	0.158
ˈɛ	ˈɑ	0.154
ˈɛ	ˈeː	0.154
ˈɔ	ˈʏ	0.154
ˈi	ˈɪ	0.154
d	tʰ	0.136
ˈɪ	ˈʏ	0.133
ˈɪ	ˈɛ	0.133
ˈɪ	ˈeː	0.133
ʋ	v	0.133
#>	ɡ_#>	0.125
#>	ə_#>	0.125
m	mː	0.118
s	ʂ	0.116
ˈa	ˈɔ	0.111
ˈa	-	0.111
ˈɪ	ˈæɪ̯	0.1
ˈɪ	-	0.1
ŋ	ɲ	0.1
t	ʰtː	0.097
t	-	0.097
ə	ə	0.096
p	ʰpː	0.091
h	j	0.091
ˈɛ	ˈæ	0.077
s	ˈʏ_s	0.07
n	-	0.07
ˈɪ	ˈʊ	0.067
ˈɪ	ˈiː	0.067
