Ukrainian	Čakavian	probability
bʲ	b	1.0
i	e	1.0
j	j	1.0
kʲ	k	1.0
lʲ	l	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
rʲ	r	1.0
sʲ	s	1.0
t	t	1.0
tʲ	t	1.0
w	ʋ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɛ	e	1.0
ʊ	uː	1.0
ʋʲ	ʋ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	ûː	1.0
ˈɛ	ê	1.0
r	r̩̂	0.071
ɐ	eː	0.121
ˈi	ôː	0.251
ˈɔ	ô	0.551
b	p	0.522
e	i	0.182
k	k	0.882
ɦ	ɡ	0.622
ʋ	ʋ	0.852
ˈɔ	ǎː	0.072
ˈɔ	ôː	0.072
ˈɔ	-	0.232
m	m	0.953
ɦ	k	0.343
ˈi	êː	0.053
ˈɑ	â	0.93
ˈɔ	â	0.073
d	d	0.834
nʲ	n	0.874
s	s	0.94
ɐ	e	0.174
ɐ	a	0.704
ɫ	-	0.324
ˈɪ	-	0.524
ɔ	e	0.05
ɔ	âː	0.075
ɔ	ô	0.175
d	t	0.166
nʲ	ɲ	0.126
s	<#_j	0.06
ɫ	l	0.676
k	a_k	0.087
ˈi	î	0.437
ˈɑ	a	0.07
b	b	0.478
e	-	0.818
ʋ	-	0.148
ˈɪ	i	0.178
r	r	0.929
ɔ	o	0.659
ˈi	îː	0.259
ˈɪ	îː	0.089
ˈɪ	î	0.209
