Western Lombard	Western Lombard	probability
ˈɑː	ˈa	1.0
ˈœ	ˈo	1.0
ˈøː_k	ˈe_ɣ	1.0
ˈy	ˈo	1.0
ˈoː	ˈo	1.0
ˈo	w	1.0
ˈĩ	ˈi_n	1.0
ˈẽ	ˈe_n	1.0
ʧ_#>	#>	1.0
ʒ	-	1.0
ɛ	-	1.0
w	w	1.0
ũ	o	1.0
t_a	t_a	1.0
s_#>	θ_#>	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_b	ɾ_β	1.0
p_j	ɟ͡ʝ	1.0
p	p	1.0
m	m	1.0
l_#>	o_#>	1.0
k_#>	k_o_#>	1.0
ĩ	i	1.0
i	j	1.0
f_j	ˈi	1.0
ẽ	e_n	1.0
d_a	ð_a	1.0
ã	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ʒ	<#_x	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
k	k	0.929
n	n	0.857
a	a	0.855
l	l	0.821
ˈiː	ˈi	0.818
ˈã	ˈa_n	0.8
ˈu	ˈo	0.769
ɲ	ɲ	0.75
ˈeː	ˈe	0.733
r	ɾ	0.727
ˈe	ˈe	0.667
ˈyː	ˈu	0.625
#>	o_#>	0.618
ˈɔ	w_ˈe	0.611
e	e	0.611
ˈuː	ˈo	0.6
v	b	0.6
u	o	0.6
t	t	0.588
d	ð	0.571
e_r	ɾ_o	0.556
ɡ	ɣ	0.529
b	b	0.529
ˈa	ˈa	0.52
ˈøː	w_ˈe	0.5
ˈũ	ˈo_n	0.5
ˈũ	ˈe_n	0.5
ʧ	x_o	0.5
ʤ	x	0.5
ʤ	-	0.5
z	s	0.5
z	-	0.5
y	u	0.5
y	o	0.5
ɡ	ɡ	0.471
ˈɛ	ˈe	0.462
j	x	0.455
f	f	0.455
e_r	ɾ_e	0.444
d	-	0.429
s	s	0.414
ˈa	ˈa_ɾ	0.4
v	β	0.4
u	-	0.4
ˈi	ˈi_ɾ	0.385
ˈe	j_ˈe	0.333
ˈɛ	j_ˈe	0.308
ˈi	ˈi	0.308
ˈɔ	ˈo	0.278
s	e_s	0.276
j	l	0.273
j	-	0.273
f	β_e	0.273
f	β	0.273
ˈeː	j_ˈe	0.267
ˈøː	ˈo	0.25
ˈøː	x	0.25
ʧ	ʧ	0.25
ʧ	ɟ͡ʝ	0.25
ɲ	-	0.25
s	θ	0.241
b	β	0.235
b	b_w	0.235
ˈu	-	0.231
e	ˈe	0.222
ˈuː	ˈo_β	0.2
ˈuː	-	0.2
ˈã	ˈa_ŋ	0.2
ˈyː	ˈo	0.188
ˈyː	-	0.188
#>	e_#>	0.184
ˈiː	-	0.182
e	-	0.167
ˈi	ˈu	0.154
ˈi	-	0.154
t	ð	0.147
n	ɲ	0.143
r	ɾ_o	0.136
t	ʧ	0.118
ˈɔ	-	0.111
l	ʝ_o	0.107
r	-	0.091
t	ð_o	0.088
ˈa	a	0.08
ˈɛ	ˈi_ʝ	0.077
ˈɛ	ˈi	0.077
ˈɛ	ˈe_j	0.077
l	-	0.071
k	ɡ	0.071
s	x_o	0.069
#>	a_#>	0.066
t	d_o	0.059
#>	ɾ_#>	0.053
