Romansch	Emilian	probability
e	e	1.0
eː	ˈa	1.0
o	u	1.0
p	p	1.0
z	-	1.0
ɲ	ɲ	1.0
ʒ	v	1.0
ˈo	ˈʌu̯	1.0
ˈoː	ˈɔː	1.0
ˈuɔ̯	ˈʌ	1.0
ˈuː	ˈʌu̯	1.0
d	-	0.071
i	e	0.121
j	ˈiː	0.091
k	ɡ	0.061
n	ŋ	0.491
s	d	0.081
s	z	0.091
t	t	0.791
ɡ	ʤ	0.121
ʥ	d	0.141
ʥ	b	0.141
ʥ	ɲ	0.141
ʨ	t	0.251
ˈi	ˈuː	0.081
ˈu	a	0.051
i	-	0.182
m	m	0.892
r	r	0.92
u	-	0.072
w	ɡ	0.142
ɡ	-	0.082
ɡ	ð	0.082
ˈa	ˈaː	0.182
ˈaː	ˈɛ	0.792
ˈe	ˈo	0.092
ˈe	ˈa	0.322
ˈɔ	ˈaː	0.252
ˈɔː	ˈo	0.252
ˈɛː	ˈɛ	0.72
a	a	0.803
d	θ	0.063
d	t	0.113
f	f	0.753
i	u	0.583
j	e	0.113
j	-	0.383
k	k	0.853
l	j	0.103
t	d	0.173
v	p	0.063
ŋ	n	0.413
ʎ	l	0.323
ˈe	-	0.283
ˈeː	ˈa	0.823
ˈɔː	ˈɔː	0.503
ˈɛ	ˈaː	0.053
ˈɛ	ˈa	0.183
ˈɛ	ˈɛ	0.443
i	i	0.114
j	ˈæ	0.154
l	-	0.134
m	ð	0.054
m	ŋ	0.054
s	θ	0.054
s	s	0.774
ə	-	0.224
ʃ	z	0.414
ʎ	j	0.224
ʥ	ð	0.264
ʦ	θ	0.224
ʧ	z	0.114
ʨ	k	0.74
ˈi	ˈiː	0.164
ˈiː	ˈiː	0.734
ˈu	ˈaː	0.064
ˈɔ	u	0.064
w	w	0.055
ɡ	ɡ	0.715
ʃ	s	0.445
ʎ	-	0.115
ˈa	-	0.135
ˈi	ˈɔː	0.065
ˈi	ˈo	0.165
ˈu	ˈuː	0.085
ˈu	ˈʌu̯	0.115
ˈu	ˈo	0.255
ˈɔ	ˈɔː	0.305
ˈɔː	ˈaː	0.245
ˈɛ	ˈæ	0.125
k	ʧ	0.086
l	l	0.746
n	n	0.46
ə	a	0.616
ʧ	θ	0.886
ˈa	ˈɛ	0.276
ˈa	ˈa	0.36
ˈe	ˈɛ	0.056
ˈe	ˈʌu̯	0.156
ˈi	ˈe	0.436
ˈɛ	ˈe	0.066
a	ˈɛ	0.197
f	v	0.247
u	u	0.697
ŋ	ŋ	0.587
ʃ	ð	0.107
ˈeː	ˈɛː	0.177
ˈu	ˈɔ	0.097
ˈu	ˈʌ	0.287
b	b	0.958
d	d	0.708
v	v	0.888
w	-	0.788
ʎ	ʧ	0.338
ʥ	j	0.128
ʥ	ɡ	0.168
ʦ	ð	0.388
ʦ	t	0.388
ˈaː	j_ˈɛ	0.18
ˈiː	ˈuː	0.228
ˈɛː	ˈɛː	0.28
j	j	0.259
u	i	0.169
ə	e	0.139
ˈe	ˈiː	0.09
ˈɔ	ˈa	0.159
ˈɔ	ˈɔ	0.179
