Old French	Old French	probability
ˈɛ_f	u	1.0
ˈɔ_s	ˈɔ_sː	1.0
ˈɔ_r	ˈɔ_l	1.0
ˈỹ	ˈu	1.0
ˈũ_j	ˈu	1.0
ˈu_r	ˈɔ_r	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_r	ˈi	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa	ˈa	1.0
ʧ_j	k	1.0
ʧ	k	1.0
ʤ_ə	j_u	1.0
ʤ	ɟ	1.0
ʎ	cː	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɛ	a	1.0
ə_#>	#>	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
z	-	1.0
w_ˈɛ	ˈɔ	1.0
w_ə	a	1.0
w_#>	u_#>	1.0
ũ	u	1.0
r_ˈɛ	r_ˈa	1.0
r_ə	r_u	1.0
r_b	l_b	1.0
p_ˈɔ	p_ˈɔ	1.0
p	p	1.0
o	e	1.0
n_ə	n_a	1.0
n_d	nː_a	1.0
n_#>	#>	1.0
k_w	k	1.0
k_l	c	1.0
j_ˈɛ	ˈe	1.0
j_t	tː	1.0
j_r	ˈe	1.0
ĩ	i	1.0
i	i	1.0
e_s	s	1.0
e	-	1.0
d	d	1.0
b	b	1.0
ã	a	1.0
a	a	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈã	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
k	k	0.895
m	m	0.852
ˈy	ˈu	0.846
ˈẽ	ˈɛ	0.824
f	f	0.792
n	n	0.73
u	u	0.7
ə	a	0.677
ˈe_r_#>	ˈa_#>	0.667
t	t	0.667
r	r	0.653
j_n	n_u	0.625
v	v	0.621
j_#>	#>	0.6
ˈu	ˈu	0.583
w	ˈo	0.571
ˈũ	ˈɔ	0.562
ˈi	ˈi	0.55
ˈe	-	0.545
#>	u_#>	0.512
ˈɔ_j	ˈɛ	0.5
ˈɔ_j	ˈi	0.5
s_#>	j_#>	0.5
s_#>	#>	0.5
j_s	ʧ_i	0.5
j_s	ʦː_u	0.5
ˈe	ˈa	0.455
w	ˈɔ	0.429
l	l	0.425
ˈu	ˈɔ	0.417
j_#>	k_u_#>	0.4
ˈɔ	-	0.389
j_n	n	0.375
s	s	0.368
#>	i_#>	0.36
ˈi	ˈe	0.35
l	ɖː	0.35
ˈe_r_#>	#>	0.333
ʦ	ʧː	0.333
ʦ	ʧ	0.333
ʦ	ʦ	0.333
ˈɛ	ˈa	0.323
u	-	0.3
ˈɛ	ˈɛ	0.29
j	i	0.286
j	-	0.286
s	u	0.263
ˈũ	ˈo	0.25
v	-	0.241
j	ˈa	0.238
ˈɔ	ˈɔ	0.222
t	tː	0.222
ˈẽ	-	0.176
l	j	0.175
ˈɔ	ˈi	0.167
ˈɛ	ˈi	0.161
s	sː	0.158
ˈy	ˈɔ	0.154
m	mː	0.148
j	ˈe	0.143
v	p	0.138
n	n_u	0.135
ˈɛ	ˈe	0.129
ˈũ	ˈu	0.125
f	-	0.125
ˈɔ	ˈɛ	0.111
ˈɔ	ˈo	0.111
ə	u	0.108
s	ʧ_i	0.105
s	i	0.105
k	ɡ_u	0.105
r	rː	0.102
r	-	0.102
ˈi	-	0.1
ˈɛ	-	0.097
ə	i	0.092
n	nː	0.081
ə	-	0.077
#>	a_#>	0.07
ˈũ	ɔ	0.062
r	l	0.061
#>	k_u_#>	0.058
t	d_u	0.056
t	d	0.056
n	u	0.054
