Shanghainese	Shanghainese	probability
⁵⁵	²¹	1.0
⁵³	⁵⁵	1.0
⁵	-	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʥ	ʨʰ	1.0
ʔ_⁵⁵	²¹	1.0
ʔ_¹²	²¹	1.0
ʑ	ʨʰ	1.0
ɯ	-	1.0
ɪ	-	1.0
ɦ	x	1.0
ɥ	ɥ	1.0
ɤ	ə_w	1.0
ɡ	k	1.0
ɜ	ə_w	1.0
ə	ə	1.0
ɕ	ɕ	1.0
ɔ	a_w	1.0
ɑ̃	a_ŋ	1.0
ø	a_n	1.0
¹²	²¹	1.0
z̩	z̩	1.0
y	y	1.0
w	w	1.0
v	f	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o_ʔ	u	1.0
nʲ_i	ɚ	1.0
n	n	1.0
l	n	1.0
kʰ	kʰ	1.0
k	k	1.0
h	x	1.0
f	f	1.0
b	pʰ	1.0
ã	a_ŋ	1.0
a_ʔ	ɛ	1.0
a	a	1.0
<#_ɦ	<#	1.0
<#_l	<#_n	1.0
ŋ	ŋ	0.818
j	j	0.8
i	i	0.684
o	o	0.667
³⁴	⁵³	0.63
u	u	0.625
m	m	0.625
ə_ʔ	u	0.6
e	a_j	0.6
<#	<#_w	0.6
²³	²¹	0.536
ʔ	z̩	0.5
ʔ	-	0.5
nʲ	z	0.5
nʲ	nʲ	0.5
d	tʰ	0.5
d	t	0.5
ə_ʔ	ɛ	0.4
z	ʦʰ	0.4
z	s	0.4
e	a_n	0.4
<#	<#_n	0.4
u	o	0.375
³⁴	²¹³	0.37
²³	²¹³	0.25
m	w	0.25
o	ɛ	0.222
i	j_ɛ	0.211
z	-	0.2
j	-	0.2
ŋ	-	0.182
²³	⁵³	0.179
m	v	0.125
o	w	0.111
i	-	0.105
