English	English	probability
ˈɪ_ə	ɐ	1.0
ˈɜː	-	1.0
ˈəʊ̯_#>	ˈiː_#>	1.0
ˈiː_d	ˈoː_d	1.0
ˈaɪ̯_t	ˈeː_ɕ	1.0
ʤ	k	1.0
ʃ	ʃ	1.0
ɡ_ə	ɐ	1.0
ɡ	j	1.0
ɜː	ˈøː	1.0
əʊ̯	-	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ð	d	1.0
w	ʋ	1.0
tʰ	ʦ	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
m_ˈɪ	m_ˈeː	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kʰ	k	1.0
k_s	k_s	1.0
h	h	1.0
f_#>	#>	1.0
b	b	1.0
<#_ˈɐ	<#_ˈʊ	1.0
<#_w	<#	1.0
l	l	0.929
ɹ	ʀ	0.926
ə	ɐ	0.92
ˈæ	ˈa	0.818
ɫ	ɫ	0.818
f	f	0.815
j	j	0.8
n	n	0.783
ˈuː	-	0.75
θ	d	0.722
t_#>	ʦ_#>	0.667
ˈɛ	-	0.6
ʧ	k	0.6
ɪ	-	0.6
s	z	0.556
ˈəʊ̯	-	0.545
v	v	0.545
t	s	0.516
ˈʊ	ˈɔ	0.5
ˈʊ	ˈoː	0.5
z	z̥	0.5
z	-	0.5
p	p	0.5
n_d	ŋ_ə	0.5
n_d	ŋ	0.5
ˈaʊ̯	ˈuː	0.462
v	-	0.455
ˈɒ	ˈa	0.429
ˈɐ	ˈo	0.429
k	ɕ	0.429
ˈɛ	ˈɛ	0.4
ˈɔː	ˈɔː	0.4
ˈɔː	-	0.4
ˈɑː	ˈaː	0.4
ʧ	-	0.4
ɪ	ə_ɕ	0.4
d	d̥	0.395
s	ʃ	0.389
ˈeɪ̯	ˈaː	0.385
ˈe	-	0.381
d	d	0.372
ˈɪ	ˈe	0.355
ˈe	ˈɛ	0.333
t_#>	#>	0.333
p	f	0.3
t	t	0.29
ˈɒ	ˈɔ	0.286
ˈɒ	-	0.286
θ	d̥	0.278
ˈəʊ̯	ˈeː	0.273
ˈuː	ˈoː	0.25
ˈaɪ̯	ˈɪ	0.25
#>	ɡ̊_#>	0.238
ˈiː	ˈøː	0.233
ˈeɪ̯	ˈɛː	0.231
ˈeɪ̯	ˈa	0.231
ˈaʊ̯	ˈoː	0.231
n	ŋ	0.217
k	k_ə	0.214
k	k	0.214
ˈaɪ̯	ˈiː	0.208
ˈɔː	ˈa	0.2
ˈɑː	ˈɛ_ɐ	0.2
ˈɑː	ˈa_ɫ	0.2
ˈɑː	ˈa	0.2
p	f_ə	0.2
j	ˈøʏ̯	0.2
ˈɐ	ˈoː	0.19
ˈɐ	-	0.19
ˈe	ˈuː	0.19
#>	ɕ_#>	0.19
#>	n_#>	0.19
f	v̥	0.185
ˈəʊ̯	ˈa	0.182
ˈæ	ˈɛ	0.182
ɫ	-	0.182
ˈiː	ˈoː	0.167
ˈiː	ˈeː	0.167
ˈaɪ̯	ˈe	0.167
ˈaɪ̯	-	0.167
d	ɡ̊	0.163
ˈɪ	ˈœ	0.161
ˈeɪ̯	-	0.154
ˈaʊ̯	ˈɔʊ̯	0.154
ˈaʊ̯	-	0.154
k	x	0.143
#>	ɣ̊_#>	0.143
#>	f_#>	0.143
ˈiː	ˈeɪ̯	0.133
ˈaɪ̯	ˈyː	0.125
ˈɪ	ˈɪ	0.097
ˈɪ	ˈɛ	0.097
ˈɪ	ˈeː	0.097
t	ʦ	0.097
t	x	0.097
ˈɐ	ˈɔ	0.095
ˈɐ	ˈu	0.095
ˈe	ˈeː	0.095
#>	j_ə_#>	0.095
ˈaɪ̯	ˈaː	0.083
ə	-	0.08
ɹ	ɐ	0.074
l	ɫ	0.071
d	-	0.07
ˈiː	ˈɛː	0.067
ˈiː	ˈɔʊ̯	0.067
ˈiː	ˈiː	0.067
ˈiː	-	0.067
ˈɪ	ˈʏ_n	0.065
ˈɪ	ˈiː	0.065
ˈɪ	-	0.065
s	s	0.056
