Danish	Danish	probability
ˈʌˀ	ˈœʏ̯	1.0
ˈɛː	ˈɑː	1.0
ˈɔː	ˈoː	1.0
ˈɔˀ	ˈoː	1.0
ˈɔ	ˈɔ	1.0
ˈɒˀ	ˈoː_ɾ	1.0
ˈɑː	-	1.0
ˈɑˀ_j	ˈæɪ̯	1.0
ˈɑ_jˀ	ˈæɪ̯	1.0
ˈɑ	ˈɑ	1.0
ˈœː	ˈøː	1.0
ˈøː	ˈøː	1.0
ˈæ_ð̞ˠ	ˈɑː	1.0
ˈæ	ˈɑ	1.0
ˈyː	ˈyː	1.0
ˈyˀ	ˈyː	1.0
ˈy	-	1.0
ˈuː	ˈʉː	1.0
ˈuˀ	ˈʉː	1.0
ˈu	ˈʉ	1.0
ˈoː	ˈuː	1.0
ˈo_ɐˀ	ɾ	1.0
ˈo	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiˀ	ˈiː	1.0
ˈi	ˈɪ	1.0
ˈeː	-	1.0
ˈeˀ_j	ˈæɪ̯_k	1.0
ˈe_s	ˈɛ_s	1.0
ʨ	tʰ	1.0
ʦʰ	tʰ	1.0
ʋ	ʋ	1.0
ʁ_ˈɑ	ɾ_ˈɛ	1.0
ʁ	ɾ	1.0
ɕ	ʂ	1.0
ɐˀ_n	ɳ	1.0
ɐˀ	ɾ	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ʈː	1.0
ŋˀ	ŋː	1.0
wˀ	ʋ	1.0
s_ˈɛ	s_ˈɛ	1.0
s_ɡ̊	ʂ	1.0
s_ə	s_ə	1.0
pʰ	pʰ	1.0
nˀ	nː	1.0
mˀ	-	1.0
i	i	1.0
h	h	1.0
f	f	1.0
e	ɪ	1.0
<#_ʁ	<#_ɾ	1.0
#>	k_#>	1.0
l	l	0.947
s	s	0.922
ə	ə	0.901
ˈoˀ	ˈuː	0.846
m	m	0.792
lˀ	lː	0.733
n	n	0.729
b̥	b	0.719
ˈø	ˈœ	0.714
kʰ	kʰ	0.706
ˈøˀ	ˈøː	0.667
ˈe	ˈɪ	0.647
j	j	0.647
ˈɛˀ	ˈæː	0.6
ɐ	ɾ	0.594
ˈœ	ˈʏ	0.556
ˈɛ	ˈɛ	0.5
ˈɑˀ	ˈɑː	0.5
ˈɑˀ	ˈɑ_ɾ	0.5
ˈœˀ	ˈœ	0.5
ˈœˀ	ˈøː	0.5
ˈeˀ	ˈeː	0.5
ŋ	ŋː	0.5
ŋ	ŋ	0.5
ˈʌ	ˈɔ	0.455
ˈœ	ˈœ	0.444
d̥	d	0.405
ˈɛˀ	ˈeː	0.4
ð̞ˠ	t	0.378
ð̞ˠ	-	0.378
ɡ̊	k	0.371
ˈʌ	-	0.364
ˈe	ˈɛ	0.353
d̥	t	0.351
ˈøˀ	ˈœ	0.333
w	ʋ	0.333
kʰ	ç	0.294
ˈø	-	0.286
ˈeˀ	ˈɛ	0.286
b̥	p	0.281
w	-	0.278
lˀ	l	0.267
ɡ̊	ɡ	0.257
ˈɛ	ˈɪ	0.25
ˈɛ	ˈæː	0.25
ɐ	ə_ɾ	0.25
j	-	0.235
n	nː	0.229
ˈeˀ	ˈæɪ̯	0.214
m	mː	0.208
ɡ̊	ɡː	0.2
d̥	tː	0.189
ˈʌ	ˈʊ	0.182
w	ɡ	0.167
ɐ	ɾ_ə	0.156
ˈoˀ	-	0.154
j	k	0.118
w	ˈʉː	0.111
w	ə	0.111
ð̞ˠ	d	0.108
ɡ̊	kː	0.086
ɡ̊	j	0.086
ð̞ˠ	tː	0.081
ə	-	0.07
ð̞ˠ	tː_ə	0.054
d̥	-	0.054
l	lː	0.053
