Old English	Nynorsk Norwegian	probability
a	e	1.0
b	b	0.908
b	tʰ	0.053
bː	-	1.0
d	d	0.706
d	-	0.282
dː	-	1.0
e	e	0.541
e	ɑ	0.241
e	-	0.155
eo̯	-	1.0
f	f	0.72
f	ʋ	0.222
f	-	0.058
h	h	0.874
h	-	0.126
i	-	0.422
i	ɑ	0.286
i	e	0.152
i	ŋ	0.096
iː	e	1.0
iːy̯	e	1.0
j	ɡ	0.566
j	-	0.246
j	j	0.144
k	k	0.566
k	kʰ	0.344
k	ɕ	0.068
kː	ʰkː	1.0
l	l	0.818
l	j	0.098
lː	lː	1.0
l̥	l	1.0
m	m	0.89
m	-	0.072
mː	m	1.0
n	n	0.817
n	ŋ	0.055
n	-	0.052
nː	nː	1.0
o	-	0.468
o	e	0.233
o	ɛ	0.163
o	ə	0.106
p	p	0.852
p	-	0.094
p	pʰ	0.054
pː	p	0.706
pː	ʰpː	0.294
r	ɾ	0.952
rː	ˈʉ	0.525
rː	nː	0.475
r̥	ɾ	1.0
s	s	0.839
s	ʃ	0.15
t	t	0.719
t	tʰ	0.173
tː	ɕː	1.0
u	e	1.0
v	ʋ	0.811
v	-	0.159
w	ʋ	0.47
w	-	0.371
w	v	0.064
w	ɾ	0.061
x	ʰtː	0.556
x	-	0.247
x	ɡ	0.198
z	s	1.0
ç	ʰtː	0.723
ç	k	0.167
ç	-	0.11
ð	-	0.689
ð	nː	0.275
ŋ	ŋː	0.638
ŋ	ɲ	0.223
ŋ	-	0.138
ɑ	ɑ	0.733
ɑ	-	0.137
ɑ	e	0.13
ɡ	ɡ	0.68
ɡ	-	0.236
ɡ	j	0.084
ɣ	ɡ	0.841
ɣ	-	0.159
ɫ	l	0.55
ɫ	lː	0.344
ɫ	ˈœ	0.106
ʃ	s	0.507
ʃ	ʃ	0.493
ʃː	ʃ	0.637
ʃː	k	0.363
ʍ	kʰ	1.0
ʤ	ɡː	1.0
ʤː	-	1.0
ʧ	ɕ	0.329
ʧ	kʰ	0.246
ʧ	ɡ	0.235
ʧ	k	0.189
ʧː	ɕː	1.0
ˈe	ˈɛ	0.292
ˈe	ˈœ	0.172
ˈe	-	0.158
ˈe	ˈeː	0.139
ˈe	ˈøː	0.083
ˈe	j	0.074
ˈeo̯	ˈæ	0.256
ˈeo̯	ˈʉː	0.216
ˈeo̯	ˈɛ	0.196
ˈeo̯	j	0.171
ˈeo̯	ˈɛː	0.103
ˈeo̯	ˈʏ	0.057
ˈeː	ˈøː	0.442
ˈeː	ˈeː	0.368
ˈeː	ˈʉː	0.119
ˈeː	ˈœʏ̯	0.058
ˈeːo̯	ˈyː	0.269
ˈeːo̯	ˈʉː	0.185
ˈeːo̯	ˈɛ	0.146
ˈeːo̯	ˈoː	0.125
ˈeːo̯	ˈʏ	0.102
ˈeːo̯	ˈiː	0.059
ˈi	ˈɪ	0.453
ˈi	ˈʏ	0.198
ˈi	ˈiː	0.118
ˈi	ˈeː	0.076
ˈi	ˈɛ	0.054
ˈiy̯	ˈeː	0.68
ˈiy̯	ˈɔ	0.173
ˈiy̯	ˈɛ	0.147
ˈiː	ˈiː	0.846
ˈiː	ˈɛ	0.112
ˈiːy̯	ˈyː	0.437
ˈiːy̯	ˈœʏ̯	0.396
ˈiːy̯	ˈiː	0.168
ˈo	ˈɔ	0.389
ˈo	ˈʊ	0.275
ˈo	ˈuː	0.161
ˈoː	ˈuː	0.556
ˈoː	ˈoː	0.348
ˈoː	ˈɑ	0.095
ˈu	ˈʉ	0.75
ˈu	ˈoː	0.115
ˈu	ˈɔ	0.112
ˈuː	ˈʉː	0.844
ˈuː	ˈʉ	0.107
ˈy	ˈʏ	0.691
ˈy	ˈʊ	0.152
ˈy	ˈɔ	0.099
ˈy	-	0.058
ˈyː	ˈyː	0.444
ˈyː	ˈʏ	0.246
ˈyː	-	0.163
ˈyː	ˈʉː	0.146
ˈæ	ˈɑː	0.525
ˈæ	ˈɑ	0.236
ˈæ	ʋ_ˈɑː	0.179
ˈæɑ̯	ˈɑ	0.91
ˈæɑ̯	ˈɔ	0.054
ˈæː	ˈoː	0.822
ˈæː	ˈɛ	0.109
ˈæːɑ̯	ˈæʉ̯	0.457
ˈæːɑ̯	ˈoː	0.356
ˈæːɑ̯	ˈeː	0.09
ˈɑ	ˈɑ	0.835
ˈɑ	ˈɑː	0.165
ˈɑː	ˈæɪ̯	0.566
ˈɑː	ˈoː	0.198
ˈɑː	ˈæːɪ̯	0.1
ˈɑː	ˈɑ	0.066
ˈɛ	ˈɛ	0.698
ˈɛ	ˈœ	0.302
θ	tʰ	0.52
θ	d	0.23
θ	ɕ	0.145
θ	nː	0.105
