Neapolitan	Campidanese	probability
a	a	0.81
a	i	0.079
a	e	0.062
b	b	1.0
bː	v	0.663
bː	bː	0.337
d	d	0.807
d	-	0.118
dː	ð	1.0
e	e	0.387
e	-	0.334
e	i	0.279
f	f	1.0
i	i	0.506
i	e	0.295
i	ˈi	0.132
i	-	0.067
j	r	0.465
j	j	0.261
j	-	0.161
k	k	0.63
k	ɣ	0.21
k	p	0.117
kː	j	0.638
kː	k	0.275
kː	ɣ	0.087
l	l	0.988
lː	ɖː	0.65
lː	-	0.198
lː	lː	0.086
lː	l	0.065
m	m	1.0
mː	m	0.888
mː	mː	0.112
n	n	0.945
n	-	0.055
nː	nː	0.42
nː	n	0.365
nː	ɖ	0.115
nː	ɲː	0.058
o	u	0.575
o	o	0.425
p	p	0.794
p	β	0.098
p	b	0.08
r	r	0.865
r	-	0.135
rː	rː	1.0
s	s	0.888
s	ʒ	0.073
sː	sː	1.0
t	t	0.498
t	ð	0.407
t	bː	0.058
tː	t	0.969
u	u	0.356
u	o	0.31
u	ˈo	0.213
u	-	0.071
u	a	0.05
v	b	0.66
v	-	0.194
v	v	0.058
w	w	0.728
w	-	0.166
w	ˈa	0.082
ŋ	ŋ	0.72
ŋ	v	0.28
ə	u	0.368
ə	a	0.28
ə	i	0.227
ə	e	0.086
ɡ	ɡ	0.679
ɡ	ɣ	0.321
ɲː	n	0.332
ɲː	ɲː	0.29
ɲː	m	0.196
ɲː	nː	0.145
ɾ	r	0.736
ɾ	-	0.132
ɾ	rː	0.122
ʃ	ʧ	0.357
ʃ	ʒ	0.271
ʃ	i_s	0.168
ʃ	s	0.084
ʃ	-	0.061
ʃː	ʃː	0.449
ʃː	sː	0.331
ʃː	s	0.11
ʃː	t	0.11
ʎː	ʣ	0.758
ʎː	β	0.242
ʤ	b	0.556
ʤ	ʤ	0.444
ʤː	z	0.588
ʤː	ʤ	0.308
ʤː	j	0.104
ʦ	ʒ	0.461
ʦ	t	0.269
ʦ	ʦ	0.269
ʦː	z	0.873
ʦː	ʦ	0.127
ʧ	ʒ	1.0
ʧː	ʧ	1.0
ˈa	ˈa	0.956
ˈe	ˈe	0.516
ˈe	ˈi	0.402
ˈe	ĕ	0.082
ˈi	ˈi	0.75
ˈi	ˈe	0.191
ˈo	ˈo	0.72
ˈo	-	0.182
ˈo	ˈu	0.069
ˈu	ˈu	0.742
ˈu	ˈo	0.258
ˈɔ	ˈo	0.734
ˈɔ	-	0.199
ˈɛ	ˈe	0.922
ˈɛ	ˈi	0.059
