Neapolitan	Neapolitan	probability
ˈɛ	ˈɛ	1.0
ˈɔ_v	u	1.0
ˈɔ_r	ɾ_ˈo	1.0
ˈɔ_k	ɣ	1.0
ˈɔ	ˈɔ	1.0
ˈu_j	ˈɔ_z	1.0
ˈa	ˈa	1.0
ʧ	ʒ	1.0
ʦː	-	1.0
ʦ	-	1.0
ʤː	-	1.0
ʎː	ɭː	1.0
ʃ_k	s_k	1.0
ɾ_n	r	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
w_ˈɔ	ˈo	1.0
w_ˈa	w_ˈa	1.0
v_ə	i	1.0
v_j	b	1.0
tː	t	1.0
t_ə	u	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
m_ˈi	m_ˈi	1.0
m	m	1.0
l	l	1.0
kː_ə	k_a	1.0
kː_j	ɣ	1.0
kː	k	1.0
k_ə	ɣ_u	1.0
k_j	p_ɾ	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	ʤ_ˈe	1.0
fː	f	1.0
f	f	1.0
dː	ð	1.0
b	b	1.0
a	a	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_ʤ	1.0
<#_a	<#	1.0
v	b	0.909
k	k	0.882
n	n	0.87
ɲː	n_ʤ	0.833
p	p	0.833
d	d	0.833
ˈu	ˈu	0.811
ˈi	ˈi	0.771
lː	ɖː	0.75
i	i	0.75
ɾ	ɾ	0.727
ʃː	ʃ	0.714
u	u	0.7
o	u	0.6
e	-	0.6
t	t	0.588
ˈo	ˈɔ	0.583
mː	m_i	0.571
j	-	0.556
n_ə	n_u	0.55
w	-	0.533
ˈe	ˈi	0.5
r	ɾ	0.5
nː	nː	0.5
nː	-	0.5
n_ə	n_a	0.45
ɾ_ə	ɾ_i	0.444
mː	m	0.429
ə	u	0.421
t	ð	0.412
o	-	0.4
e	i	0.4
ɾ_ə	i	0.389
ʃ	ʧ	0.375
r	a_r	0.357
w	ˈo	0.333
u	ɔ	0.3
ʃː	-	0.286
ˈe	ˈɛ	0.278
ə	i	0.262
ə	a	0.262
ˈo	ˈo	0.25
ʃ	ʒ	0.25
lː	ɭː	0.25
i	-	0.25
j	ɾ	0.222
j	ĭ	0.222
ɾ	-	0.182
ˈo	ˈu	0.167
ʃ	s	0.167
ɾ_ə	u	0.167
ɲː	ɲ	0.167
d	-	0.167
ˈi	ˈɛ	0.143
r	a_ɾ	0.143
ˈu	ˈɔ	0.135
w	w	0.133
n	-	0.13
ʃ	f_ɾ	0.125
k	ɣ	0.118
ˈe	ˈɛ_z	0.111
ˈe	ˈe	0.111
p	β	0.1
ɾ	i	0.091
v	-	0.091
ˈi	i	0.086
ʃ	-	0.083
p	-	0.067
ˈu	ˈo	0.054
