Icelandic	Icelandic	probability
θ	d̥	1.0
ˈʏː	-	1.0
ˈɔː	ˈoː	1.0
ˈɑu̯	ˈɒ	1.0
ˈœː	-	1.0
ˈu	ˈu	1.0
ˈou̯	-	1.0
ˈiː_r̥	ˈei̯	1.0
ˈi	ˈi	1.0
ˈeːi̯	ˈai̯	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	s_ə_ʁ	1.0
ʰc	k	1.0
ʏ_r̥_#>	#>	1.0
ɲ	-	1.0
ɣ	-	1.0
ɡ̊ː	k	1.0
ɟ̊ː	-	1.0
ɟ̊	ɡ̊	1.0
ɑu̯	i	1.0
v_a	n	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	ʦ	1.0
sː	-	1.0
s_t	ʃ_t	1.0
s_c	ʃ	1.0
s_#>	z̥_#>	1.0
r̥_#>	#>	1.0
r̥	ʁ	1.0
r_t͡n̥	ʁ_n	1.0
n̥	ə	1.0
nː	n	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	ʋ	1.0
kʰ	kʰ	1.0
k_ʏ_r̥_#>	#>	1.0
k_#>	ʃ_#>	1.0
k	ʃ	1.0
h	h	1.0
f	f	1.0
cʰ	kʰ	1.0
c	ʃ	1.0
b̥	b̥	1.0
aːu̯	eː	1.0
a_#>	#>	1.0
<#_s	<#	1.0
<#_r̥	<#_ʁ	1.0
<#_n	<#_n	1.0
#>	z̥_#>	1.0
m	m	0.952
a	ə	0.931
r	ʁ	0.923
n	n	0.895
ð	t	0.864
p	f	0.857
j	-	0.846
t	s	0.8
ˈoːu̯	ˈʊː	0.778
ʏ	ə	0.75
ˈuː	ˈyː	0.727
ˈiː	ˈiː	0.727
ŋ	ŋ	0.727
d̥	d̥	0.727
ˈɛː	-	0.714
<#	<#_ʋ	0.714
ʰt	t	0.667
s	s	0.667
ˈa	ˈɒ	0.643
ˈɔ	ˈo	0.625
ˈɑːu̯	ˈoː	0.625
ˈœ	-	0.6
ˈaːi̯	-	0.6
j_ˈoːu̯	ˈiː	0.6
ɡ̊	-	0.588
v	ʋ	0.579
ˈœːy̯	ˈoː	0.571
ˈaː	ˈɒ	0.556
ˈʏ	ˈu	0.545
ˈɪ	ˈi	0.545
ˈɪː	ˈi	0.5
ˈɪː	ˈe	0.5
ˈɛːi̯	ˈəi̯	0.5
ˈɛːi̯	-	0.5
ˈɔu̯	x	0.5
ˈɔu̯	-	0.5
ɪ	ə	0.5
ɪ	-	0.5
ɡ̊_ʏ	ə	0.5
ɡ̊_ʏ	i	0.5
ˈaː	ˈɒː	0.444
ɡ̊	ɡ̊	0.412
ˈœ	ˈɒ	0.4
ˈaːi̯	ˈiː	0.4
j_ˈoːu̯	ˈeː	0.4
ˈɔ	ˈu	0.375
ˈɑːu̯	-	0.375
ʰt	ʦ	0.333
s	ʃ	0.333
ˈɛː	ˈæ	0.286
ˈœːy̯	ˈʊː	0.286
<#	<#_j	0.286
ˈɪ	ˈu	0.273
ˈɛ	ˈi	0.273
ˈɛ	ˈe	0.273
ˈɛ	-	0.273
ˈiː	-	0.273
ŋ	-	0.273
d̥	t	0.273
ʏ	n	0.25
ˈoːu̯	-	0.222
ˈa	-	0.214
v	b̥	0.211
v	-	0.211
t	ʦ	0.2
ˈʏ	ˈo	0.182
ˈʏ	-	0.182
ˈɪ	ˈiː	0.182
ˈɛ	ˈəi̯	0.182
ˈuː	j	0.182
j	ˈeː	0.154
ˈœːy̯	ˈœ	0.143
ˈa	ˈɒː	0.143
p	p	0.143
ð	d̥	0.136
n	-	0.105
ˈʏ	ˈø	0.091
ˈuː	ˈøi̯	0.091
r	-	0.077
a	d̥_ə	0.069
