Pennsylvania German	English	probability
b	b	0.985
d	d	0.452
d	θ	0.327
d	ð	0.156
eː	ˈiː	1.0
f	f	0.669
f	p	0.25
f	v	0.068
h	h	1.0
j	j	0.628
j	ˈaɪ̯	0.159
j	ˈeɪ̯	0.158
j	əʊ̯	0.054
k	k	0.55
k	ʤ	0.411
kʰ	kʰ	0.625
kʰ	ʧ	0.366
l	l	0.611
l	ɫ	0.371
m	m	0.894
m	-	0.106
n	n	0.819
n	-	0.159
p	f	0.465
p	v	0.263
p	p	0.21
pʰ	pʰ	1.0
p͡f	pʰ	1.0
s	s	0.563
s	t	0.373
s	z	0.055
t	d	0.647
t	t	0.166
t	θ	0.163
v	v	0.756
v	w	0.244
x	k	0.633
x	-	0.119
x	ʧ	0.119
x	t	0.069
x	f	0.059
ç	ʧ	0.32
ç	k	0.257
ç	d	0.211
ç	f	0.211
ŋ	ŋ	1.0
ɑ	ə	0.571
ɑ	-	0.182
ɑ	ˈɔː	0.127
ɑ	ˈuː	0.056
ə	-	0.691
ə	ə	0.235
ə	ˈaɪ̯	0.075
ɡ	ɡ	0.871
ɡ	-	0.071
ɡ	j	0.057
ɣ	-	1.0
ɪ	ɪ	0.48
ɪ	-	0.329
ɪ	əʊ̯	0.11
ɪ	ŋ	0.081
ɾ	ɹ	0.797
ɾ	-	0.19
ʃ	s	0.526
ʃ	ʃ	0.474
ʋ	w	0.895
ʋ	-	0.105
ʦ	tʰ	0.639
ʦ	t	0.296
ʦ	d	0.064
ˈa	ˈæ	0.389
ˈa	ˈɔː	0.108
ˈa	ˈeɪ̯	0.107
ˈa	ˈɑː	0.075
ˈa	ˈɒ	0.066
ˈa	ˈuː	0.05
ˈaɪ̯	ˈaɪ̯	0.684
ˈaɪ̯	ˈiː	0.087
ˈaɪ̯	ˈɪ	0.064
ˈaɪ̯	ˈəʊ̯	0.055
ˈaʊ̯	ˈaʊ̯	0.591
ˈaʊ̯	ˈiː	0.12
ˈaʊ̯	ˈɐ	0.12
ˈaʊ̯	ˈuː	0.085
ˈaʊ̯	ˈaɪ̯	0.084
ˈaː	ˈɔː	0.554
ˈaː	ˈɑː	0.248
ˈaː	ˈɜː	0.198
ˈeː	ˈəʊ̯	0.415
ˈeː	ˈiː	0.193
ˈeː	ˈe	0.165
ˈeː	ˈɪ	0.1
ˈiː	ˈiː	0.506
ˈiː	-	0.189
ˈiː	ˈɪ	0.126
ˈiː	j	0.077
ˈiː	ˈuː	0.076
ˈoː	ˈiː	0.275
ˈoː	ˈe	0.244
ˈoː	ˈɐ	0.156
ˈoː	ˈaɪ̯	0.086
ˈoː	ˈuː	0.075
ˈoː	ˈeɪ̯	0.065
ˈoː	ˈəʊ̯	0.062
ˈuː	ˈʊ	0.28
ˈuː	ˈuː	0.204
ˈuː	ˈɐ	0.192
ˈuː	ˈiː	0.192
ˈuː	ˈaʊ̯	0.132
ˈɔ	ˈʊ	0.279
ˈɔ	ˈəʊ̯	0.216
ˈɔ	ˈiː	0.124
ˈɔ	ˈɒ	0.115
ˈɔ	ˈɔː	0.092
ˈɔ	ˈaʊ̯	0.092
ˈɔɪ̯	ˈe	1.0
ˈɔː	ˈiː	0.36
ˈɔː	ˈeɪ̯	0.227
ˈɔː	ˈɑː	0.104
ˈɔː	ˈɪ	0.092
ˈɔː	ˈɛ	0.06
ˈɛ	ˈe	0.441
ˈɛ	ˈɪ	0.138
ˈɛ	-	0.094
ˈɛ	ˈiː	0.089
ˈɛ	ˈaɪ̯	0.062
ˈɛ	ˈɛ	0.056
ˈɛ	ˈɜː	0.055
ˈɛ	ˈæ	0.055
ˈɛː	ˈɔː	0.319
ˈɛː	ˈɑː	0.181
ˈɛː	ˈæ	0.153
ˈɛː	ˈɜː	0.153
ˈɛː	ˈɛ	0.094
ˈɪ	ˈɪ	0.628
ˈɪ	ˈaɪ̯	0.266
ˈʊ	ˈɐ	0.778
ˈʊ	ˈaʊ̯	0.078
ˈʊ	ˈuː	0.076
