Northern Low Saxon	Bokmål Norwegian	probability
aɪ̯	ə	1.0
b	b	0.68
b	p	0.237
d	t	0.304
d	d	0.231
d	tʰ	0.181
d	-	0.134
d	tː	0.077
f	f	0.618
f	ʋ	0.168
f	-	0.1
f	lː	0.083
h	h	0.861
h	j	0.139
i	-	1.0
j	j	1.0
k	k	0.747
k	kː	0.253
kʰ	kʰ	0.663
kʰ	ɕ	0.327
l	l	0.689
l	lː	0.215
l	-	0.066
m	m	0.509
m	mː	0.191
m	ɾ_m	0.132
m	ʋ_ə	0.069
n	n	0.424
n	nː	0.303
n	ə	0.242
p	p	1.0
pʰ	pʰ	1.0
r	ɾ	0.975
s	s	0.828
s	sː	0.093
s	ʈ	0.066
t	tː	0.512
t	t	0.431
tʰ	tʰ	0.957
v	ʋ	0.769
v	-	0.231
x	j	0.392
x	tː	0.378
x	ɡ	0.167
x	-	0.062
z	s	0.83
z	ʂ	0.17
ç	-	0.37
ç	ɡː	0.182
ç	ŋ	0.125
ç	tː	0.12
ç	ɡ	0.12
ç	s	0.083
ŋ	ŋː	0.541
ŋ	-	0.254
ŋ	ɡː	0.112
ŋ	ə	0.054
ɐ	ɾ	0.521
ɐ	ə_ɾ	0.237
ɐ	ɳ	0.107
ɐ	-	0.085
ə	ˈʏ	0.693
ə	ˈæː	0.307
ɡ	k	0.33
ɡ	ɡ	0.277
ɡ	j	0.147
ɡ	ɡː	0.076
ɡ	-	0.073
ɡ	kː	0.059
ɪ	i	0.521
ɪ	ŋ	0.299
ɪ	ɪ	0.18
ʃ	s	0.782
ʃ	ʃ	0.192
ʒ	-	0.723
ʒ	d	0.277
ˈa	ˈɑ	0.79
ˈa	ˈɛ	0.121
ˈaɪ̯	ˈyː	0.287
ˈaɪ̯	ˈæɪ̯	0.266
ˈaɪ̯	ˈeː	0.128
ˈaɪ̯	ˈiː	0.082
ˈaɪ̯	j	0.068
ˈaʊ̯	ˈuː	0.491
ˈaʊ̯	ˈøː	0.211
ˈaʊ̯	ˈoː	0.102
ˈaʊ̯	ˈœ	0.082
ˈaː	ˈɑ	0.788
ˈaː	ˈæ	0.108
ˈaː	ˈɪ	0.103
ˈeɪ̯	ˈøː	0.65
ˈeɪ̯	ˈæɪ̯	0.21
ˈeɪ̯	ˈyː	0.14
ˈeː	ˈiː	0.329
ˈeː	ˈøː	0.242
ˈeː	ˈɑ	0.143
ˈeː	ˈeː	0.13
ˈeː	ˈæː	0.101
ˈeː	ˈʉː	0.055
ˈiː	ˈiː	0.663
ˈiː	ˈyː	0.097
ˈiː	ˈæɪ̯	0.097
ˈiː	ˈɛ	0.083
ˈiː	ˈæː	0.06
ˈoː	ˈoː	0.575
ˈoː	ˈɑː	0.112
ˈoː	ˈɑ	0.103
ˈoː	ˈɔ	0.063
ˈuː	ˈʉː	0.603
ˈuː	ˈʉ	0.133
ˈuː	ˈuː	0.096
ˈuː	-	0.091
ˈuː	ˈʊ	0.069
ˈyː	ˈʏ	0.442
ˈyː	ˈyː	0.415
ˈyː	-	0.089
ˈyː	ˈʉː	0.054
ˈø	ˈœ	0.954
ˈøː	ˈœ	0.317
ˈøː	ˈʉː	0.244
ˈøː	ˈoː	0.206
ˈøː	ˈeː	0.19
ˈœ	ˈɛ	0.556
ˈœ	ˈɔ	0.278
ˈœ	ˈœ	0.167
ˈœː	ˈɛ	0.644
ˈœː	ˈʉ	0.356
ˈɔ	ˈɑ	0.332
ˈɔ	ˈɔ	0.227
ˈɔ	ˈœ	0.137
ˈɔ	ˈʏ	0.137
ˈɔ	ˈʉː	0.088
ˈɔ	ˈuː	0.078
ˈɔʏ̯	ˈøː	0.392
ˈɔʏ̯	ˈœ	0.312
ˈɔʏ̯	ˈʊ	0.296
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɛ	0.304
ˈɛ	ˈiː	0.23
ˈɛ	ˈɑː	0.23
ˈɛ	ˈæɪ̯	0.087
ˈɛ	ˈæː	0.087
ˈɛ	j	0.062
ˈɛɪ̯	ˈeː	0.693
ˈɛɪ̯	j	0.307
ˈɛː	ˈeː	1.0
ˈɪ	ˈɪ	0.646
ˈɪ	ˈɛ	0.068
ˈɪ	ˈʉː	0.058
ˈɪ	ˈiː	0.054
ˈʊ	ˈʉ	0.737
ˈʊ	ˈɔ	0.263
ˈʏ	ˈʏ	0.422
ˈʏ	ˈœ	0.219
ˈʏ	ˈʊ	0.137
ˈʏ	ˈɛ	0.117
ˈʏ	ˈeː	0.058
