Northern Low Saxon	Bokmål Norwegian	probability
b	b	0.684
b	p	0.241
b	-	0.068
d	d	0.346
d	-	0.233
d	t	0.183
d	tʰ	0.168
d	tː	0.038
d_ɐ	ɾ	1.0
f	f	0.704
f	ʋ	0.161
f	-	0.129
h	h	1.0
i	ə	0.232
j	j	0.482
k	kː	0.66
k	k	0.153
kʰ	kʰ	0.796
kʰ	ç	0.112
l	l	0.685
l	lː	0.172
l	-	0.063
l	l_ə	0.031
l	nː	0.031
m	m	0.633
m	-	0.136
m	mː	0.118
m	ʋ_ə	0.081
m	ʋ_n	0.035
n	n	0.389
n	ə	0.206
n	-	0.185
n	nː	0.166
n	ŋ	0.033
n_d	nː	1.0
p	p	0.482
r	ɾ	0.941
r	-	0.058
s	s	0.874
s	sː	0.083
s	-	0.043
t	t	0.628
t	-	0.287
t	n	0.067
tʰ	tʰ	0.878
tʰ	ç	0.086
v	ʋ	0.746
v	-	0.252
v_ˈʊ	ˈʉ	1.0
x	tː	0.324
x	j	0.276
x	ɡ	0.24
x	-	0.077
z	s	0.838
z	ʂ	0.155
ç	-	0.484
ç	tː	0.195
ç	ŋ	0.112
ç	s	0.112
ç	ɡː	0.084
ŋ	ŋː	0.621
ŋ	-	0.28
ŋ	n	0.093
ɐ	ɾ	0.409
ɐ	ə_ɾ	0.211
ɐ	ɾ_ə	0.12
ɐ	ə	0.078
ɐ	ˈæː	0.051
ɐ_d	ɾ	1.0
ɐ_n	ɳ	1.0
ə	ˈæː	1.0
ɡ	ɡ	0.396
ɡ	k	0.315
ɡ	ɡː	0.098
ɡ	j	0.079
ɡ	kː	0.065
ɡ_l	l	0.482
ɪ	ɪ	0.361
ɪ	i	0.264
ɪ	ə	0.13
ʃ	s	0.507
ʃ	s_k	0.374
ʃ	ʃ	0.058
ʃ	f	0.057
ʒ	-	1.0
ˈa	ˈɑ	0.652
ˈa	ˈɛ	0.158
ˈa	ˈɑː	0.094
ˈa	ˈɔ	0.05
ˈa	ˈeː	0.045
ˈaɪ̯	ˈyː	0.283
ˈaɪ̯	ˈæɪ̯	0.194
ˈaɪ̯	ˈiː	0.132
ˈaɪ̯	ˈeː	0.125
ˈaɪ̯	ˈuː	0.115
ˈaʊ̯	ˈuː	0.538
ˈaʊ̯	ˈøː	0.179
ˈaʊ̯	ˈoː	0.073
ˈaʊ̯	ˈœʏ̯	0.056
ˈaʊ̯	ˈɑ	0.056
ˈaʊ̯_d	ˈøː	0.699
ˈaʊ̯_d	ˈuː	0.297
ˈaː	ˈɑ_ɾ	0.538
ˈaː	ˈɑ	0.148
ˈaː	ˈɪ	0.094
ˈaː	ˈæ	0.085
ˈeɪ̯	ˈæɪ̯	0.53
ˈeɪ̯	ˈøː	0.255
ˈeɪ̯	ˈyː	0.043
ˈeː	ˈiː	0.312
ˈeː	ˈeː	0.231
ˈeː	ˈɛː	0.133
ˈeː	ˈɑ	0.133
ˈeː	ˈʉː	0.092
ˈiː	ˈiː	0.674
ˈiː	ˈæː	0.105
ˈiː	ˈɛ	0.08
ˈiː	ˈyː	0.06
ˈiː	ˈæɪ̯	0.059
ˈoː	ˈoː	0.458
ˈoː	ˈɑː	0.194
ˈoː	ˈøː	0.133
ˈoː	ˈɑ	0.1
ˈoː	ˈæɪ̯	0.05
ˈuː	ˈʉː	0.748
ˈuː	ˈʉ	0.144
ˈuː	ˈuː	0.092
ˈyː	ˈyː	0.384
ˈyː	ˈʏ	0.161
ˈyː	ˈʉː	0.161
ˈyː	ˈɪ	0.152
ˈø	ˈɛ	0.574
ˈø	ˈœ	0.277
ˈøː	ˈeː	0.178
ˈøː	ˈʉː	0.178
ˈøː	ˈœ	0.178
ˈøː	ˈoː	0.133
ˈœ	ˈɔ	0.482
ˈœː	ˈɛ	0.365
ˈœː	ˈʉ	0.176
ˈɔ	ˈɑ	0.223
ˈɔ	ˈʉː	0.214
ˈɔ	ˈʏ	0.142
ˈɔ	ˈœ	0.142
ˈɔ	ˈɔ	0.085
ˈɔʏ̯	ˈœ	0.523
ˈɔʏ̯	ˈøː	0.345
ˈɔʏ̯	ˈʊ	0.08
ˈɔː	ˈʊ	0.232
ˈɛ	ˈɛ	0.38
ˈɛ	ˈiː	0.149
ˈɛ	j	0.149
ˈɛ	ˈɑː	0.106
ˈɛ	ˈæɪ̯	0.099
ˈɛɪ̯	j	0.574
ˈɛɪ̯	ˈeː	0.277
ˈɪ	ˈɪ	0.439
ˈɪ	ˈiː	0.147
ˈɪ	ˈɛ	0.147
ˈɪ	ˈeː	0.076
ˈɪ	ˈyː	0.058
ˈʊ	ˈʉ	0.693
ˈʊ	ˈʊ	0.212
ˈʊ	ˈɔ	0.07
ˈʏ	ˈʏ	0.402
ˈʏ	ˈœ	0.274
ˈʏ	ˈʊ	0.158
ˈʏ	ˈɛ	0.158
