Sicilian	Catalan	probability
a	ə	0.929
a	-	0.056
b	b	0.738
b	β	0.155
b	-	0.088
c	ʎ	0.423
c	-	0.356
c	p_l	0.133
c	s	0.067
d	d	0.52
d	t	0.261
d	-	0.12
d	ʒ	0.079
f	f	1.0
i	ə	0.408
i	i	0.249
i	-	0.244
i	w	0.055
i	j	0.051
j	ʒ	0.429
j	-	0.212
j	i	0.074
j	l	0.074
j	p	0.074
j	ʧ	0.064
j	ɡ	0.06
k	k	0.695
k	-	0.154
k	ɣ	0.072
k_ʊ	k	1.0
l	ʎ	0.536
l	l	0.444
m	m	0.872
m	r	0.071
n	n	0.654
n	-	0.282
n_n	ɲ	0.53
n_n	n	0.425
n_t	n	1.0
n_ɪ	n	0.639
n_ɪ	d	0.359
o	u	1.0
p	p	0.812
p	β	0.158
p_ɪ	β	1.0
p_ʊ	s	1.0
r	-	0.425
r	ɾ	0.289
r	r	0.185
r	l	0.087
r_ɪ	ˈi	1.0
r_ʊ	r	1.0
s	s	0.874
s	-	0.096
t	t	0.574
t	-	0.18
t	ð	0.165
u	u	0.861
u	i	0.139
v	b	0.64
v	β	0.273
v	-	0.054
v_ɪ	w	1.0
w	w	0.431
w	l	0.288
w	ˈɔ	0.122
w	u	0.081
w	ɣ	0.069
z	-	0.291
z	s	0.253
z	ɾ	0.151
ç	f_l	1.0
ŋ	ŋ	1.0
ɕ	s	0.706
ɕ	-	0.12
ɕ	z	0.099
ɕ	ʒ	0.065
ɕ_ɪ	w	0.745
ɕ_ɪ	s	0.131
ɕ_ɪ	ə	0.089
ɖ	ʎ	0.459
ɖ	-	0.439
ɖ	l	0.091
ɖ_a	ə	1.0
ɖ_ʊ	ʎ	1.0
ɟ	ʎ	0.558
ɟ	-	0.397
ɟ	ɡ	0.056
ɡ	ɡ	0.616
ɡ	ɣ	0.263
ɡ	-	0.112
ɪ	-	0.723
ɪ	ə	0.128
ɪ	w	0.069
ɪ_n	ə	1.0
ɪ_r	ə	1.0
ɪ_ɕ	ə	0.518
ɲ	ɲ	0.58
ɲ	-	0.419
ɲ_ʊ	ə	0.548
ɲ_ʊ	ɲ	0.415
ɽ	ɾ	1.0
ɾ	ɾ	0.468
ɾ	-	0.285
ɾ	r	0.186
ʃ	ə_s	0.288
ʃ	ʃ	0.218
ʃ	-	0.19
ʃ	ŋ	0.081
ʃ	ɡ	0.081
ʃ	s	0.077
ʃ	t	0.059
ʃ_ɪ	ə	0.139
ʈ	t	0.393
ʈ	-	0.354
ʈ	ð	0.203
ʊ	-	0.876
ʊ	ə	0.082
ʊ_r	ʎ	1.0
ʐ	r	0.768
ʐ	-	0.223
ʤ	ʒ	0.474
ʤ	-	0.417
ʤ	b	0.101
ʦ	-	0.461
ʦ	w	0.267
ʦ	s	0.168
ʦ	ʧ	0.096
ʧ	-	0.644
ʧ	t	0.225
ʧ	s	0.092
ˈa	ˈa	0.902
ˈa	ˈe	0.054
ˈe	ˈɛ	0.45
ˈe	j	0.354
ˈi	ˈɛ	0.381
ˈi	ˈi	0.339
ˈi	ˈe	0.24
ˈi_ɾ	ˈɛ	0.334
ˈi_ɾ	ˈi	0.253
ˈo	ˈɔ	0.803
ˈo	ˈo	0.097
ˈu	ˈu	0.433
ˈu	ˈo	0.344
ˈu	ˈɔ	0.103
ˈu	ˈɛ	0.085
ˈu_n	ˈo	0.579
ˈu_n	ˈu	0.418
ˈu_ɲ	ˈu	0.269
ˈu_ɾ	ˈo	0.558
ˈu_ɾ	ˈu	0.219
ˈu_ɾ	ˈɔ	0.219
ˈɔ	ˈɔ	0.635
ˈɔ	ˈu	0.156
ˈɔ	ˈo	0.152
ˈɔ_n	ˈɔ	0.269
ˈɔ_v	ˈɔ	1.0
ˈɛ	ˈe	0.452
ˈɛ	ˈɛ	0.378
ˈɛ	ˈi	0.099
ˈɛ	ə	0.068
ˈɛ_ɖ	ˈe	1.0
