Auvergnat	Auvergnat	probability
ˈɪ̃	-	1.0
ˈɛ_l	ˈɛː	1.0
ˈɔ̃	ˈu	1.0
ˈɔ_k	ˈɛ_w	1.0
ˈẽ	ˈɛ	1.0
ˈe_ʀ	ˈɛː_r	1.0
ˈe_l	ˈɛː	1.0
ˈe_j	ˈa	1.0
ʀ_ˈɪ	r_ˈa	1.0
ʀ_ɔ	r_ə	1.0
ɲ	ɲ	1.0
ɪ	ʃ	1.0
ɥ	a	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɒ_l	ə_l	1.0
œ	u	1.0
w_ˈɔ̃	ˈu	1.0
w_ˈẽ	ˈu	1.0
w_#>	f_#>	1.0
vʲ	v	1.0
v_ˈa	v_ˈa	1.0
ũ	u	1.0
s_ˈɪ	s_ˈi	1.0
s_ˈa	s_ə	1.0
s_ɔ	s_ə	1.0
s_#>	ʃ_#>	1.0
pʲ	p	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
lː	n_s	1.0
l_#>	l_#>	1.0
k	k	1.0
j_ˈɔ	ˈɔ	1.0
j_#>	ʨ_#>	1.0
ĩ	u	1.0
fʲ	f	1.0
f	f	1.0
e	ə_r	1.0
dʲ	d	1.0
d	d	1.0
b_w	b	1.0
ã_ŋ	ə_n	1.0
a	ə	1.0
<#_ˈɪ	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʃ	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
l	l	0.889
ɔ	ə	0.885
ŋ_#>	n_#>	0.875
n	n	0.875
ˈa_#>	ˈaː_r_#>	0.857
ʀ	r	0.853
v	v	0.846
ˈi	ˈiː	0.8
ɒ	ə	0.8
ʧ	ʨ	0.783
ʎ	ʎ	0.714
ʤ	ʥ	0.7
ɡ	ɡ	0.7
ˈũ	ˈu	0.667
ˈĩ	ˈi	0.667
t	t	0.647
ˈu	ˈu	0.636
b	b	0.625
ˈɔ	-	0.6
z	-	0.6
k_#>	ʨ_#>	0.6
<#_ɒ	<#_ə	0.6
ʀ_ə	r	0.571
u	u	0.571
j	-	0.545
w_ˈɔ	ˈɔː	0.533
s	s	0.529
ˈy	ˈiː	0.5
ˈã	ˈɔ	0.5
i	i_t	0.5
i	-	0.5
ˈa	ˈa	0.483
w_ˈɔ	ˈɔ	0.467
j	j	0.455
ŋ	n	0.435
ʀ_ə	ə_r	0.429
u	o	0.429
ə	ə	0.412
ˈe	ˈɛ	0.407
ˈɪ	ˈa_j	0.4
ˈɔ	ˈuː	0.4
z	ʃ	0.4
k_#>	#>	0.4
<#_ɒ	<#	0.4
ˈœ	ˈɛ	0.375
ˈœ	ˈo	0.375
b	v	0.375
w	w	0.368
ˈũ	-	0.333
ˈĩ	-	0.333
s	ʧ	0.324
ŋ	n_t	0.304
ʤ	-	0.3
ɡ	-	0.3
ˈã	ˈa	0.286
ˈu	ˈuː	0.273
ŋ	ŋ	0.261
ˈœ	-	0.25
ˈy	ˈuː	0.25
ˈy	ˈi	0.25
ˈa	ˈaː	0.241
t	s_t	0.235
#>	s_#>	0.219
#>	r_#>	0.219
ʧ	-	0.217
ˈã	ˈa_w	0.214
w	j	0.211
ˈɪ	ˈeː	0.2
ˈi	ˈi	0.2
ɒ	-	0.2
ˈe	-	0.185
ə	ə_r	0.176
ə	-	0.176
ˈa	-	0.172
v	ʒ	0.154
ˈe	ˈa	0.148
ˈa_#>	#>	0.143
ˈɪ	ˈa	0.133
ˈɪ	j	0.133
ˈɪ	-	0.133
ŋ_#>	#>	0.125
n	-	0.125
#>	ʨ_#>	0.125
#>	t_#>	0.125
#>	n_#>	0.125
ə	r	0.118
ə	j_r	0.118
t	s	0.118
ˈe	ˈeː	0.111
l	-	0.111
w	ˈɔː	0.105
w	ˈu	0.105
w	v	0.105
w	-	0.105
ˈa	ˈa_w	0.103
ʎ	ˈe	0.095
ʎ	ɡ_l	0.095
ʎ	l	0.095
ˈu	-	0.091
ʀ	r_t	0.088
s	ʃ	0.088
ɔ	-	0.077
ˈe	ˈiə̯	0.074
ˈe	ˈe	0.074
#>	ʦ_#>	0.062
#>	ʃ_#>	0.062
#>	l_#>	0.062
ʀ	ˈa	0.059
s	ʦ	0.059
