Bokmål Norwegian	Pennsylvania German	probability
b	b	0.985
b	-	0.035
d	d	0.61
d	t	0.224
d	s	0.057
d	ʦ	0.057
d	-	0.05
e	ˈɔː	0.494
f	f	0.974
f	ʃ	0.04
h	h	1.0
i	ɪ_ç	1.0
j	-	0.312
j	ˈɛː	0.256
j	ɡ	0.134
j	ç	0.1
j	ˈeː	0.1
k	ç	0.537
k	k	0.272
k	x	0.179
kʰ	kʰ	0.754
kʰ	f	0.123
kʰ	ɡ	0.081
kː	ŋ_k	0.683
kː	k	0.223
l	l	0.93
l	ɣ_l	0.07
lː	l	0.696
lː	l_t	0.293
m	m	0.956
m	n	0.048
mː	m	1.0
n	n	0.669
n	-	0.317
n	m	0.033
nː	n	0.506
nː	n_t	0.263
nː	-	0.162
nː	l	0.05
p	f	0.809
p	p	0.187
pʰ	p͡f	1.0
s	s	0.521
s	ʃ	0.423
s	-	0.033
s	ç	0.033
s_k	ʃ	1.0
sː	s	1.0
t	s	0.513
t	t	0.454
t	d	0.04
tʰ	d	0.645
tʰ	ʦ	0.296
tʰ	b	0.045
tː	x	0.423
tː	ç_t	0.306
tː	s	0.153
tː	ʦ	0.104
ç	d	0.375
ç	kʰ	0.092
ŋ	ç	0.326
ŋ	n	0.326
ŋː	ŋ	1.0
ə	-	0.442
ə	ə	0.343
ə	ɑ	0.168
ə	ɪ	0.039
ɡ	ɡ	0.555
ɡ	k	0.156
ɡ	j	0.118
ɡ	ç	0.09
ɡ	-	0.072
ɡː	k	0.742
ɡː	-	0.179
ɪ	ɪ	0.494
ɳ	n	0.826
ɳ	-	0.143
ɾ	ɾ	0.505
ɾ	-	0.262
ɾ	ɑ	0.139
ɾ	d_ɑ	0.088
ʂ	s	1.0
ʃ	ʃ	0.494
ʈ	ʦ	0.244
ʈː	ʦ	0.494
ʋ	ʋ	0.492
ʋ	f	0.184
ʋ	v	0.152
ʋ	p	0.143
ʋ	-	0.032
ˈeː	ˈɛ	0.291
ˈeː	ˈeː	0.268
ˈeː	ˈɔː	0.139
ˈeː	ˈaɪ̯	0.105
ˈeː	ˈa	0.062
ˈiː	ˈaɪ̯	0.721
ˈiː	ˈɪ	0.167
ˈiː	ˈiː	0.073
ˈiː	ˈeː	0.039
ˈoː	ˈoː	0.634
ˈoː	ˈa	0.105
ˈoː	ˈɔː	0.101
ˈoː	ˈɪ	0.074
ˈuː	ˈuː	0.249
ˈuː	ˈʊ	0.204
ˈuː	ˈaː	0.148
ˈuː	ˈuː_t	0.148
ˈuː	ˈa	0.091
ˈyː	ˈiː	0.59
ˈyː	ˈaɪ̯	0.32
ˈyː	ˈɪ	0.072
ˈæ	ˈɪ	0.574
ˈæ	ˈɛː	0.284
ˈæɪ̯	ˈeː	0.472
ˈæɪ̯	ˈa	0.213
ˈæɪ̯	ˈɪ	0.139
ˈæɪ̯	j	0.09
ˈæɪ̯_n	ˈeː	1.0
ˈæː	ˈɛ	0.561
ˈæː	ɑ	0.425
ˈøː	ˈɔː	0.275
ˈøː	ˈeː	0.247
ˈøː	ˈoː_t	0.203
ˈøː	ˈoː	0.077
ˈøː	ɑ	0.073
ˈœ	ˈiː	0.242
ˈœ	ˈɪ	0.21
ˈœ	ˈɔː	0.159
ˈœ	ˈoː	0.121
ˈœ	ˈɛː	0.085
ˈœʏ̯	ˈaʊ̯	0.494
ˈɑ	ˈa	0.692
ˈɑ	ˈaː	0.134
ˈɑ	ˈɔː	0.081
ˈɑ	ˈɔ	0.049
ˈɑ	ˈɛ	0.044
ˈɑː	ˈɔː	0.563
ˈɑː	ˈa	0.433
ˈɔ	ˈa	0.229
ˈɔ	ˈɔ	0.229
ˈɔ	ˈaː	0.229
ˈɔ	ˈɛ	0.149
ˈɔ	ˈʊ	0.097
ˈɛ	ˈɛ	0.326
ˈɛ	ˈaɪ̯	0.141
ˈɛ	ˈa	0.11
ˈɛ	ˈɪ	0.11
ˈɛ	ˈɛː	0.063
ˈɛː	ˈɛː	0.494
ˈɪ	ˈɪ	0.94
ˈɪ	ˈɛː	0.048
ˈɪ	-	0.037
ˈʉ	ˈʊ	0.278
ˈʉ	ˈɔ	0.218
ˈʉ	ʋ_ˈɔ	0.218
ˈʉ	ˈɪ	0.091
ˈʉ	ˈaʊ̯	0.07
ˈʉː	ˈaʊ̯	0.469
ˈʉː	ˈɔ	0.166
ˈʉː	ˈuː	0.145
ˈʉː	ˈeː	0.084
ˈʉː	ˈaɪ̯	0.082
ˈʊ	ˈʊ	0.583
ˈʊ	ˈeː	0.144
ˈʊ	ˈaɪ̯	0.138
ˈʊ	ˈaː	0.061
ˈʏ	ˈɪ	0.54
ˈʏ	ˈʊ	0.377
ˈʏ	ˈaɪ̯	0.059
