Slovenian	Slovenian	probability
́_s	s_i	1.0
́_r	r_i	1.0
̀_t	t	1.0
̀	-	1.0
ʧ	k_t	1.0
ʦ	-	1.0
ʒ̊	ɡ_i	1.0
ʒ	ɡ	1.0
ʋ	v	1.0
ɡ̊	ɡ	1.0
ɡ	-	1.0
ɛː	ai̯	1.0
ɛ	e	1.0
ɔː_́	i	1.0
z̥_#>	#>	1.0
z_d	aːi̯	1.0
z	z	1.0
w	l	1.0
u	aːu̯	1.0
t	t	1.0
s	s	1.0
p	p	1.0
oː_́	a	1.0
o	a	1.0
m	m	1.0
l_j	eː	1.0
l	l	1.0
k	k	1.0
j	a	1.0
eː_́	i	1.0
e	w	1.0
b	b	1.0
aː_̀	o	1.0
aː	-	1.0
<#_s	<#_s	1.0
<#_j	<#	1.0
#>	s_#>	1.0
́	-	0.895
d	d	0.778
x	s	0.667
r	r	0.636
ɔ	-	0.6
oː	i	0.6
iː	-	0.571
n	n	0.545
ə	-	0.5
uː	au̯	0.5
uː	-	0.5
i	-	0.5
n	n_a	0.455
a	o	0.429
eː	-	0.417
ɔ	a	0.4
oː	-	0.4
x	u	0.333
eː	e	0.333
iː	uː	0.286
ə	r_u	0.25
ə	i	0.25
i	u	0.25
i	o_n	0.25
eː	iː	0.25
d	n	0.222
a	s	0.214
a	e	0.214
r	s	0.182
r	-	0.182
iː	oːu̯	0.143
a	a_n	0.143
́	n_s	0.105
