Latin	Latin	probability
ˈɪ	ˈe	1.0
ˈɛ̃ː	j	1.0
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	ˈo	1.0
ˈoe̯	ˈe	1.0
ˈo	-	1.0
ˈiː_w	ˈi	1.0
ˈi	ˈi	1.0
ˈeː_ɡ	ˈe_j	1.0
ˈeː	ˈe	1.0
ˈe	j_ˈo	1.0
ˈau̯	ˈo	1.0
ˈae̯	j	1.0
ˈa_p	ˈa_β	1.0
ˈa_k	ˈa_ɣ	1.0
ɫ_ʊ̃ː	o	1.0
ɫ_ɛ̃ː_#>	l_#>	1.0
ɫ_t	ʧ	1.0
ɫ_ãː	a	1.0
ɪ_t	ð	1.0
ɪ_n	b_ɾ	1.0
ɡʷ	ɡ	1.0
ɡ_ˈɛ	ɟ͡ʝ_ˈe	1.0
ɡ_ɛ	e	1.0
ɛ̃ː_#>	#>	1.0
ɛ_n	e_n	1.0
ɛ_#>	#>	1.0
ɔ_r	o_ɾ	1.0
ŋ_k	n	1.0
ŋ	ŋ	1.0
w_ɛ̃ː	β_e	1.0
uː	o	1.0
u	-	1.0
tː	t	1.0
tʰ	ð	1.0
t_ɛ̃ː	t_e	1.0
t_i	θ	1.0
s_t	s_t	1.0
s_i	θ	1.0
s_ãː	s_a	1.0
s_#>	s_#>	1.0
rː	ˈe_r	1.0
r_ˈaː	ɾ_ˈa	1.0
r_ˈa	ɾ_ˈa	1.0
r_ʊ̃ː	ɾ_o	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_m	ɾ_m	1.0
r_k	ɾ_k	1.0
r_i	ɾ	1.0
r_ãː	ɾ_a	1.0
r	ɾ	1.0
p_ɫ	ɟ͡ʝ	1.0
p_ɛ	β	1.0
oː	o	1.0
o	o	1.0
nː	ɲ	1.0
n_ɛ̃ː_#>	n_#>	1.0
n_e	ɲ	1.0
n_a	n_o	1.0
mː	m	1.0
m_ãː	m_a	1.0
lʲː_ɛ_#>	l_#>	1.0
lʲː	ʝ	1.0
lʲ_ˈɪ	l_ˈe	1.0
lʲ_i	x	1.0
lʲ	l	1.0
kː	k	1.0
k_ˈa	k_ˈa	1.0
k_ʊ̃ː	ɣ_o	1.0
k_ʊ	x	1.0
k_ɫ	ɟ͡ʝ	1.0
k_ɛ	θ_ˈe	1.0
k_t	ʧ	1.0
k_r	k_ɾ	1.0
k_a	k_a	1.0
j	x	1.0
ĩː	i_m	1.0
iː	-	1.0
i_ãː	a	1.0
i	j	1.0
h	-	1.0
f_oː	e	1.0
f	f	1.0
e	-	1.0
d_ʊ̃ː	o	1.0
d_i	ʝ	1.0
b_ʊ	β	1.0
ãː	a	1.0
aː	a	1.0
ae̯	-	1.0
a	a	1.0
<#_ˈɪ	<#_ˈe	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_f_ˈiː	<#_ˈi	1.0
<#_f	<#	1.0
<#_a	<#_a	1.0
#>	s_#>	1.0
ʊ̃ː	o	0.963
ˈaː	ˈa	0.921
ˈiː	ˈi	0.92
ɛ̃ː	e	0.9
ɫ	l	0.857
ˈa	ˈa	0.821
ɔ	o	0.8
p	p	0.8
n	n	0.8
m	m	0.8
k_ɛ̃ː	θ	0.778
ˈoː	ˈo	0.773
w	b	0.704
ɛ	e	0.7
ˈɔ	w_ˈe	0.647
d	d	0.643
eː	-	0.6
ˈʊ	ˈo	0.591
b	b	0.565
kʷ	k	0.556
ɛ_r	ɾ	0.545
k	k	0.51
ɪ	-	0.5
ɛ̃	e	0.5
ɛ̃	-	0.5
t	ð	0.477
ɛ_r	ˈe_ɾ	0.455
ɡ	ɡ	0.45
ʊ	-	0.444
ˈɛ	j_ˈe	0.441
b	β	0.435
t	t	0.432
ˈʊ	ˈu	0.409
s	e_s	0.4
eː	e	0.4
ɪ	e	0.389
sː	x	0.375
sː	s	0.375
d	-	0.357
ʊ	u	0.333
ɛ	-	0.3
s	s	0.3
ɡ	-	0.25
sː	ˈe_s	0.25
k	θ	0.245
ʊ	o	0.222
kʷ	θ	0.222
kʷ	ɣ_w	0.222
k_ɛ̃ː	ˈe_θ	0.222
ɔ	ɾ	0.2
s	-	0.2
m	m_b	0.2
ˈɛ	ˈe	0.176
ˈɛ	j	0.176
ˈɔ	ˈo	0.176
ˈɔ	w	0.176
k	ɣ	0.163
w	β	0.148
w	ˈe_β	0.148
ˈɛ	ˈi	0.147
ˈoː	-	0.136
ɪ	ð	0.111
p	β	0.111
n	ɲ	0.109
ˈa	a	0.107
ɡ	θ	0.1
ɡ	ˈe_j	0.1
ɡ	ɣ	0.1
ɛ̃ː	ɾ_e	0.1
s	t	0.1
ˈoː	s_ˈo	0.091
t	-	0.091
p	-	0.089
ˈiː	-	0.08
ˈaː	ˈe	0.079
ˈa	ˈe	0.071
ɫ	ɟ͡ʝ	0.071
ɫ	-	0.071
ˈɛ	-	0.059
n	-	0.055
