Franco-Provençal	Aragonese	probability
i	a	1.0
k	k	1.0
m	m	1.0
p	p	1.0
ˈĩ	ˈi_n	1.0
e	e_s	0.931
o	a	0.051
o	e	0.231
s	θ	0.411
ɡ	ŋ_ɡ	0.151
ˈa	ˈa	0.861
ˈø	ˈo	0.321
ˈø	w_ˈe	0.321
ˈɑː	ˈa	0.451
ˈɑ̃	ˈa	0.131
ˈɛ̃	o	0.561
b	b	0.692
d	d	0.92
f	-	0.082
s	s	0.562
t	t	0.842
v	β	0.382
ð	ʧ	0.242
ə	a	0.742
ʁ	r	0.132
ʃ	θ	0.22
ˈe	j_ˈe	0.142
ˈu	ˈu	0.362
ˈɔ	ˈo	0.182
ˈɛ̃	j_ˈe	0.212
j	j	0.563
l	-	0.053
t	s_t	0.123
w	-	0.143
w	w	0.473
ɡ	ɡ	0.813
ˈaː	ˈe	0.093
ˈɔ̃	ˈo_n	0.163
a	e	0.054
n	n	0.964
ʁ	ɾ	0.784
ˈe	ˈe	0.34
ˈi	ˈi	0.624
ˈu	o	0.224
ˈu	ˈo	0.414
ˈɑː	ˈa_l	0.204
ˈɛ	ˈe	0.664
w	ˈu	0.325
z	θ	0.285
z	s	0.715
ʎ	ʎ	0.45
ʎ	ʎ_o	0.55
ˈe	-	0.055
ˈo	ˈo	0.575
ˈoː	ˈo	0.345
ˈoː	w_ˈe	0.655
ˈɑː	a	0.345
ˈɛː	-	0.15
ð	ɾ	0.6
ˈe	ˈa	0.156
ˈi	ˈe	0.376
ˈo	ˈe	0.186
ˈɛ	ˈe_j	0.056
ˈɛ	j_ˈe	0.246
ˈɛ̃	ˈe	0.226
a	a	0.927
l	ʎ_o	0.097
ʃ	k	0.747
ˈaː	ˈa	0.907
ˈø	ˈu	0.357
ˈɔ̃	n	0.837
ˈɛː	ˈa	0.07
b	β	0.248
d	s	0.08
f	f	0.918
l	l	0.778
o	o	0.718
v	b	0.528
ð	-	0.158
ə	e	0.258
ˈa	ˈa_ɾ	0.108
ˈe	ˈi	0.138
ˈɔ	w_ˈe	0.818
b	b_w	0.059
e	i	0.069
j	-	0.419
w	ˈo	0.059
ˈe	o	0.109
ˈo	ˈu	0.239
ˈɑ̃	ˈa_n	0.869
ˈɛː	ˈe	0.779
