Pennsylvania German	West Frisian	probability
ˈʊ_m	m	1.0
ˈɪ_l	ˈi_l	1.0
ˈɔɪ̯	ˈaː_j	1.0
ˈa_l	ˈɔː	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ɪ_ç	ə_χ	1.0
ɣ	-	1.0
ŋ	ŋ	1.0
t	t	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k	k	1.0
h	h	1.0
f_ˈɛ	f	1.0
eː	ɪ_n	1.0
d_ɑ	r	1.0
b̥	-	1.0
b	b	1.0
ɾ	r	0.886
n	n	0.882
ɡ	ɡ	0.879
ˈɔ	ˈɔ	0.778
f	f	0.738
ʃ	s	0.694
ç	k	0.675
ˈuː	ˈuə̯	0.667
ə	ə	0.66
ˈɪ	ˈɪ	0.639
ˈaː	ˈoə̯	0.628
ʋ	ʋ	0.565
x	χ	0.562
j	-	0.555
s	t	0.543
ˈaʊ̯	-	0.535
d	d	0.534
ˈɛː	-	0.509
ˈɛ_l	ˈɛ_l	0.5
ˈɛ_l	l	0.5
ɪ	ɪ	0.5
ɪ	k_ə	0.5
ɡ̊	ɣ_ə	0.495
d̥	d̥	0.483
ˈaʊ̯	ˈuː	0.465
ˈɛ	-	0.459
j	j	0.445
ˈiː	ˈiə̯	0.439
d̥	t	0.436
s	s	0.401
ˈʊ	ˈɔ	0.383
ɑ	r	0.379
ˈaː	-	0.372
ˈa	ˈa	0.37
ʋ	v	0.365
d	t	0.362
ˈɛ	ˈɪ	0.357
ˈoː	ˈoə̯	0.333
ç	χ	0.325
ˈaɪ̯	j	0.317
ɑ	ə_r	0.309
ˈoː	-	0.306
ʃ	s_k	0.306
ɡ̊	χ	0.3
x	k	0.288
ˈɛː	ˈɛ	0.278
ˈʊ	-	0.27
ˈɔː	ˈɪə̯	0.259
ˈʊ	ˈu	0.257
ˈeː	ˈɪə̯	0.247
f	p	0.236
ˈaɪ̯	ˈiː	0.233
ˈeː	-	0.23
ˈaɪ̯	ˈi	0.226
ˈɔ	-	0.222
ˈoː	ˈiə̯	0.221
ˈɔː	ˈa	0.216
ˈɛː	j_ˈɛ	0.212
ˈeː	ˈiə̯	0.211
ɡ̊	k	0.205
ˈeː	ˈeː	0.204
ˈiː	j_ˈɪ	0.193
ˈɛ	ˈɛ	0.185
ˈiː	ˈɪə̯	0.184
ˈɔː	ˈaː	0.168
ˈuː	ˈoː	0.167
ˈuː	-	0.167
ˈa	ˈaː	0.164
ɑ	ˈuə̯_r	0.155
x	k_ə	0.151
ˈoː	ˈɪə̯	0.141
ˈaɪ̯	ˈɪ	0.141
ˈa	-	0.137
ˈa	ˈɔː	0.131
ˈɔː	-	0.126
ˈiː	j	0.126
ˈɔː	ˈɛː	0.124
ɡ	-	0.121
ˈɪ	-	0.118
ɾ	-	0.114
ˈa	ˈoə̯	0.112
ˈeː	ˈiə̯_n	0.108
ˈɪ	ˈiː	0.107
ˈɔː	ˈiə̯	0.107
ə	j_ə	0.099
ɑ	-	0.099
ə	-	0.098
ˈʊ	ˈyː	0.091
ə	n	0.089
n	-	0.086
ˈɪ	ˈɔ	0.083
ˈaɪ̯	ˈøə̯	0.083
d̥	d_ə	0.081
d	ʦ	0.079
ʋ	-	0.07
ˈa	ˈɪə̯	0.066
ˈiː	ˈu̯o	0.058
ɑ	ə	0.058
s	ɕ	0.056
ə	z_ə	0.054
ˈɪ	j_ˈɔ	0.052
