Macedonian	Upper Sorbian	probability
ˈu	ˈu	1.0
ˈo_k	ˈo_x	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɡ	ɦ	1.0
ɛ_#>	#>	1.0
z	z	1.0
u	ˈɔ	1.0
s	s	1.0
o_k	kʲ_i	1.0
l	l	1.0
j	j	1.0
i	i	1.0
f	β_ɪ	1.0
b	b	1.0
a	a	0.85
k	k	0.842
n	n	0.765
ˈo	ˈɔ	0.75
o	ɔ	0.75
#>	ɪ_#>	0.75
ˈi	ˈi	0.727
p	p	0.714
ɫ	w	0.68
r	ʀ	0.65
d	d	0.632
ˈr̩	ˈɔ_ʀ	0.6
m	m	0.6
v	ɥ	0.55
t	ʧ	0.517
ˈɛ	ˈe	0.5
t	t	0.483
v	β	0.45
ˈr̩	ˈe_ʀ	0.4
m	mʲ	0.4
ˈa	ˈa	0.368
ɛ	ɛ	0.312
p	pʲ	0.286
ˈi	ˈɪ	0.273
ˈa	ˈu	0.263
d	ʤ	0.263
ˈo	ˈo	0.25
ɛ	ɔ	0.25
r	ʀʲ	0.25
o	-	0.25
ɫ	l	0.24
n	ɲ	0.235
ˈa	ˈɔ	0.211
ˈɛ	ˈɛ	0.2
ɛ	ˈɛ	0.188
ˈa	ˈo	0.158
k	x	0.158
a	-	0.15
ˈɛ	ˈɔ	0.133
ɛ	ʧ	0.125
ɛ	a	0.125
#>	ʧ_#>	0.125
#>	j_#>	0.125
d	t	0.105
ˈɛ	ˈa	0.1
r	ʃ	0.1
ɫ	d_w	0.08
ˈɛ	e	0.067
