Old French	Old French	probability
θ	t	1.0
ˈɛ_w	ˈɒ_k	1.0
ˈɛ_v	β	1.0
ˈɛ_f	w	1.0
ˈɔ_s	ˈɒ_s	1.0
ˈɔ_r	ˈɒ_r	1.0
ˈỹ	ˈu	1.0
ˈy_j	ˈi	1.0
ˈy	ˈu	1.0
ˈũ_n_#>	ˈo_#>	1.0
ˈũ_j	ˈu	1.0
ˈo	ˈɒ	1.0
ˈĩ_n_#>	ˈi_#>	1.0
ˈĩ	ˈi	1.0
ˈi_s	ˈæ_w	1.0
ˈẽ_n	ˈæ_n	1.0
ˈe_r	r	1.0
ˈã_j	ˈa	1.0
ʧ_j	k_ˈa	1.0
ʎ_ə	ʎ_ɐ	1.0
ʎ_#>	ʎ_#>	1.0
ɲ	ɲ	1.0
ɛ	e	1.0
ə_ˈɔ	ˈæ_w	1.0
ə_#>	#>	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
z	-	1.0
y	-	1.0
w_ˈɛ	ˈu	1.0
w_t	l_t	1.0
v_r	ɾ	1.0
ũ	-	1.0
u	o	1.0
t_ˈe	t_ˈa	1.0
t_ə	t_ɞ	1.0
t_#>	#>	1.0
t	t	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
r_t	r_t	1.0
r_#>	r_#>	1.0
p	p	1.0
o	ˈe	1.0
m_#>	m_#>	1.0
k_r	k_ɾ	1.0
k_l	k_l	1.0
k_#>	k_#>	1.0
k	k	1.0
j_r	ɾ_ɜ	1.0
j_#>	k_#>	1.0
ĩ	i	1.0
i	-	1.0
f_#>	#>	1.0
f	f	1.0
e	i	1.0
ã	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈɒ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#_e	1.0
<#_ã	<#_a	1.0
m	m	0.968
s	s	0.889
n	n	0.889
ʦ	s	0.882
ʤ	ʤ	0.875
d	d	0.875
v	v	0.857
ʧ	k	0.842
ˈi	ˈi	0.839
b	b	0.824
l	l	0.821
ɡ	ɡ	0.769
ˈũ	ˈɒ	0.75
ʎ	ʎ	0.75
j_n_#>	ˈa_#>	0.75
ˈɔ_j	ˈæ	0.714
j_s	w	0.714
r	ɾ	0.711
ˈa	ˈa	0.679
n_#>	#>	0.667
ˈe	ˈa	0.652
ˈu	ˈo	0.625
ˈã	ˈa	0.625
l_#>	ʎ_#>	0.55
ˈẽ	ˈe	0.538
ˈɛ	ˈe	0.536
ˈɛ_r	ˈæ_r	0.5
j_ˈɛ	ˈæ	0.5
j_ˈɛ	ˈe	0.5
<#	<#_ɡ	0.5
<#	<#_a	0.5
w	w	0.462
ˈɔ	ˈɒ	0.45
l_#>	l_#>	0.45
w	ˈɒ	0.385
ˈã	-	0.375
j	-	0.359
ˈɔ	ˈæ	0.35
n_#>	m_#>	0.333
ə	ɐ	0.3
ə	ɜ	0.29
ˈɔ_j	ˈi	0.286
j_s	ʃ	0.286
#>	ʧ_#>	0.267
ˈɛ_r	ˈa_ɾ	0.25
ˈɛ_r	r	0.25
ˈũ	ˈo	0.25
ˈu	ˈɒ	0.25
ˈa	-	0.25
ʎ	ɫː	0.25
j_n_#>	#>	0.25
r	r	0.244
ˈẽ	ˈæ	0.231
ˈẽ	-	0.231
ɡ	ɣ	0.231
ˈɛ	ˈa	0.214
ˈɔ	ˈe	0.2
#>	ɐ_#>	0.2
#>	t_#>	0.2
#>	k_#>	0.2
ə	e	0.18
ˈɛ	ˈæ	0.179
l	ʎ	0.179
b	β	0.176
ʧ	-	0.158
w	-	0.154
j	j	0.154
ə	ɞ	0.15
v	β	0.143
#>	n_#>	0.133
ˈe	ˈæ	0.13
ˈe	-	0.13
j	ˈe	0.128
ˈu	z_ˈa	0.125
ʤ	-	0.125
d	-	0.125
ʦ	-	0.118
s	ʃ	0.111
n	-	0.111
j	w	0.103
j	e	0.103
ˈi	-	0.097
ˈe	w	0.087
j	ˈu	0.077
j	ð	0.077
ˈɛ	-	0.071
ˈa	ˈa_p	0.071
ˈi	ˈi_k	0.065
