Scots	Saterland Frisian	probability
b	b	1.0
d	d	0.959
e	ə	1.0
f	f	0.961
h	h	1.0
i	ɪ	0.726
i	i	0.19
i	ə	0.085
j	j	0.814
j	ˈɛɪ̯	0.186
k	k	0.917
k	-	0.052
kʰ	k	1.0
l	l	0.98
m	m	0.977
n	n	1.0
p	p	1.0
pʰ	p	1.0
r	r	0.86
r	-	0.118
s	s	0.988
t	t	0.983
tʰ	t	0.857
tʰ	b	0.143
v	w	0.442
v	v	0.382
v	ɣ	0.176
w	v	0.988
x	x	1.0
z	z	0.782
z	s	0.218
ç	x	1.0
ð	-	0.763
ð	d	0.237
ŋ	ŋ	0.867
ŋ	ɪ	0.133
ə	ə	0.724
ə	-	0.227
ɛ	-	1.0
ɡ	ɣ	0.521
ɡ	-	0.212
ɡ	ɡ	0.15
ɡ	x	0.117
ɪ	-	1.0
ʃ	s	1.0
ʍ	v	0.723
ʍ	-	0.277
ʧ	s	0.668
ʧ	k	0.332
ˈa	ˈɔ	0.347
ˈa	ˈɔː	0.229
ˈa	ˈeː	0.093
ˈa	ˈɛ	0.093
ˈa	ˈoːu̯	0.081
ˈa	ˈiː	0.061
ˈa	ˈɛɪ̯	0.053
ˈaɪ̯	ˈɛː	0.699
ˈaɪ̯	ˈuː	0.195
ˈaɪ̯	ˈiː	0.105
ˈaː	ˈi	1.0
ˈaːɪ̯	ˈiː	1.0
ˈe	ˈeː	0.456
ˈe	ˈoː	0.173
ˈe	ˈɔː	0.134
ˈe	ˈaː	0.113
ˈeː	ˈɔː	0.246
ˈeː	ˈoː	0.236
ˈeː	ˈɛɪ̯	0.217
ˈeː	ˈiː	0.097
ˈeː	ˈaːi̯	0.09
ˈi	ˈɛɪ̯	0.301
ˈi	ˈoː	0.233
ˈi	ˈyː	0.108
ˈi	ˈœː	0.075
ˈi	ˈeː	0.058
ˈiː	ˈiː	0.197
ˈiː	j_ˈoː	0.19
ˈiː	ˈi	0.175
ˈiː	ˈeː	0.169
ˈiː	ˈoː	0.148
ˈiː	ˈɛɪ̯	0.087
ˈo	ˈoːu̯	0.563
ˈo	ˈɔː	0.32
ˈo	ˈɛ	0.075
ˈoː	ˈɔː	0.73
ˈoː	ˈoː	0.27
ˈu	ˈuː	0.722
ˈu	ˈøː	0.081
ˈu	ˈɪ	0.075
ˈu	ˈʊ	0.062
ˈu	ˈu	0.061
ˈuː	ˈuː	0.357
ˈuː	ˈʊ	0.258
ˈuː	ˈoːu̯	0.164
ˈuː	-	0.146
ˈuː	ˈu	0.075
ˈø	ˈoːu̯	0.954
ˈøː	ˈoːu̯	1.0
ˈɑː	ˈoːu̯	0.36
ˈɑː	ˈoː	0.31
ˈɑː	ˈaː	0.127
ˈɑː	ˈeː	0.085
ˈɑː	ˈa	0.054
ˈɑː	ˈɔː	0.054
ˈɔɪ̯	-	1.0
ˈəi̯	ˈi	0.569
ˈəi̯	ˈiː	0.13
ˈəi̯	j	0.129
ˈəi̯	ˈɛɪ̯	0.074
ˈəi̯	ˈuː	0.058
ˈɛ	ˈaː	0.179
ˈɛ	ˈɛ	0.129
ˈɛ	ˈɛː	0.128
ˈɛ	ˈoː	0.119
ˈɛ	ˈɔːɪ̯	0.115
ˈɛ	ˈa	0.098
ˈɛ	ˈeː	0.091
ˈɛ	ˈɪ	0.053
ˈɛ	ˈɛɪ̯	0.051
ˈɛː	ˈi	1.0
ˈɪ	ˈɪ	0.34
ˈɪ	ˈuː	0.155
ˈɪ	ˈiː	0.136
ˈɪ	ˈɛː	0.108
ˈɪ	j_ˈʊ	0.068
ˈɪ	ˈoːu̯	0.052
ˈʌ	ˈʊ	0.489
ˈʌ	ˈuː	0.135
ˈʌ	ˈɛɪ̯	0.1
ˈʌ	ˈoːu̯	0.093
ˈʌ	ˈɔ	0.093
ˈʌ	ˈiː	0.052
ˈʌu̯	ˈoːu̯	0.593
ˈʌu̯	ˈuː	0.282
ˈʌu̯	ˈaːu̯	0.125
θ	d	0.589
θ	t	0.411
