Occitan	Western Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	ĩ	1.0
p	p	1.0
v	ʋ	1.0
ð	d	1.0
ɥ	-	1.0
ɲ	ɲ	1.0
ʎ	ʤ	1.0
ʤ	d	1.0
a	u	0.11
e	u	0.061
m	-	0.151
s	ʦ	0.081
u	ɡ_u	0.121
w	f	0.371
z	z	0.581
ˈa	ˈaː	0.101
ˈe	ˈɛ	0.161
ˈu	ˈyː	0.071
ˈy	ˈu	0.181
ˈɛ	ˈɛ̃ː	0.121
ˈɛ	ˈɛ	0.611
e	-	0.132
n	n	0.682
t	t	0.842
ʦ	s	0.922
ˈa	ˈãː	0.202
ˈe	ˈe_j	0.062
β	-	0.102
e	e	0.253
e	e_r	0.263
j	j	0.163
r	r_n	0.113
w	l	0.363
ɣ	-	0.213
ʧ	t	0.503
β	b	0.083
k	k	0.934
l	-	0.074
u	u	0.754
ɔ	a	0.944
ˈi	ˈĩː	0.314
e	i	0.125
u	o	0.125
ɡ	-	0.145
ɡ	ɡ	0.855
ɾ	-	0.25
ɾ	r	0.75
ʒ	-	0.335
ʒ	ʤ	0.665
β	ʋ	0.815
a	a	0.796
e	e_s	0.06
e	a	0.106
k	-	0.066
n	-	0.116
s	s	0.626
w	-	0.266
ɔ	-	0.056
j	-	0.837
l	j	0.147
l	l	0.757
n	t	0.157
r	r	0.887
t	ʧ	0.117
ɣ	ɡ	0.787
ʧ	ʧ	0.497
ˈa	ˈa	0.697
ˈe	ˈe	0.27
ˈɔ	ˈø	0.097
ˈɔ	ˈu	0.127
a	ã	0.068
s	ʃ	0.098
ʦ	ʦ	0.078
ˈe	ˈɔ	0.138
ˈe	-	0.238
ˈi	ˈa	0.068
ˈi	ˈi	0.618
ˈu	ˈu	0.408
ˈu	ˈũː	0.478
ˈɔ	ˈøː	0.188
ˈɔ	ˈɔ	0.588
ˈɛ	ˈe	0.268
m	m	0.819
s	ʧ	0.159
z	-	0.419
ˈe	ˈeː	0.099
ˈy	ˈy	0.819
