Icelandic	Icelandic	probability
θ	d̥	1.0
ˈʏː	-	1.0
ˈɛː_r̥	ɐ	1.0
ˈɛi̯	-	1.0
ˈɛ_ɡ̊ː	ˈɑːɪ̯	1.0
ˈɔː_n	ˈõː	1.0
ˈɑu̯	ˈɑ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈu	ˈu	1.0
ˈou̯	-	1.0
ˈiː_r̥_#>	#>	1.0
ˈiː_j	ˈẽː	1.0
ˈi	ˈɪ	1.0
ˈeːi̯	ˈɛː	1.0
ˈaːu̯	-	1.0
ˈaː_ð	ˈɑː_d̥	1.0
ˈau̯	ˈɛ	1.0
ˈa_r	ˈɑː_ɐ	1.0
ʰt͡n̥	s_ɐ	1.0
ʰp	f	1.0
ʰk	ŋ_ɡ̊	1.0
ʰc	ɡ̊	1.0
ʏ_#>	#>	1.0
ɲ	ŋ	1.0
ɪ_r̥	ɐ	1.0
ɡ̊ː	ɡ̊	1.0
ɡ̊_a_#>	#>	1.0
ɟ̊ː	-	1.0
ɟ̊_a	ə	1.0
ɟ̊	ɡ̊	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ç	h	1.0
x	ʃ	1.0
v_ʏ_r̥_#>	b̥_#>	1.0
v_ʏ	f	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	ʣ̥	1.0
sː	n_s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
s_#>	s_#>	1.0
r̥_#>	#>	1.0
r_ɪ	ɐ	1.0
r_ð	ɐ_d̥	1.0
pʰ	b̥	1.0
p_ʏ_r̥_#>	f_#>	1.0
nː	n	1.0
n_d̥	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	β	1.0
kʰ	kʰ	1.0
k_ʏ_r̥_#>	ʃ_#>	1.0
k_#>	x_#>	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈuː	ˈiː	1.0
j_a	ə	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
cʰ	kʰ	1.0
c	ʃ	1.0
b̥	b̥	1.0
aːu̯	eː	1.0
a_r̥	ɐ	1.0
a_#>	#>	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a	ə	0.933
ʏ_r̥_#>	#>	0.898
ˈiː	ˈaɪ̯	0.867
ʏ	ɐ	0.857
v	β	0.846
ɪ	-	0.8
t	s	0.8
r̥	ɐ	0.786
ˈoːu̯	ˈuː	0.778
ŋ	ŋ	0.778
ˈuː	ˈau̯	0.75
ˈai̯	-	0.75
ˈɪ	ˈɪ	0.733
ˈɔ	ˈɔ	0.714
<#	<#_β	0.714
ˈaː	ˈɑ	0.7
ˈa	ˈɑ	0.688
ˈaːi̯	-	0.667
s	s	0.64
ˈɑːu̯	ˈoː	0.625
ɡ̊_ʏ	ɪ	0.6
n̥	n	0.6
#>	s_#>	0.6
r	r	0.586
t͡n̥_#>	n_#>	0.571
p	f	0.571
j_ˈoːu̯	ˈiː	0.571
ð	d̥	0.542
ˈɪː	ˈɪ	0.5
ˈɔː	ˈoː	0.5
ˈɔː	-	0.5
ˈɔu̯	x	0.5
ˈɔu̯	-	0.5
ˈœːy̯	ˈɑː	0.5
ˈœːy̯	ˈoː	0.5
ɣ	ʃ	0.5
ɣ	ɡ̊	0.5
ɡ̊	-	0.5
ˈɛ	ˈɛ	0.467
ˈʏ	ˈu	0.462
ˈɛː	-	0.444
ʰt	d̥	0.429
t͡n̥_#>	#>	0.429
p	-	0.429
j_ˈoːu̯	ˈeː	0.429
ɡ̊_ʏ	ɐ	0.4
n̥	ə	0.4
#>	n_#>	0.4
ˈʏ	-	0.385
j	-	0.385
s	ʃ	0.36
r	ɐ	0.345
ˈɛːi̯	ˈɛː	0.333
ˈɛːi̯	ˈeː	0.333
ˈɛːi̯	-	0.333
ˈɛː	ˈɛ	0.333
ˈaːi̯	ˈiː	0.333
ð	r	0.333
k	ʃ	0.333
k	ɡ̊	0.333
k	x	0.333
j	ˈiː	0.308
ˈaː	ˈɑː	0.3
ˈɔ	ˈu	0.286
ʰt	ʣ̥	0.286
ʰt	ʃ	0.286
<#	<#_j	0.286
ˈɪː	ˈɛ	0.25
ˈɪː	-	0.25
ˈɑːu̯	-	0.25
ˈai̯	ˈĩː	0.25
ɡ̊	ʃ	0.25
ɡ̊	x	0.25
j	ˈɛ	0.231
ˈɛː	ˈɪ	0.222
ˈoːu̯	ˈu	0.222
ŋ	n	0.222
r̥	ʃ	0.214
ˈɛ	ˈaɪ̯	0.2
ˈɛ	-	0.2
ɪ	ə	0.2
t	ʣ̥	0.2
ˈa	ˈɛ	0.188
ˈuː	j	0.167
ˈʏ	ˈɛ	0.154
v	-	0.154
ʏ	ɑ	0.143
ˈɪ	ˈɛ	0.133
ˈɪ	ˈɔ	0.133
ˈɛ	ˈɛː	0.133
ˈiː	ˈɑ̃ɪ̯	0.133
ˈɑːu̯	ˈo	0.125
ˈa	ˈɑː	0.125
ð	-	0.125
ʏ_r̥_#>	d̥_#>	0.102
ˈuː	ˈau̯̯	0.083
j	ˈi	0.077
r	ˈɑː	0.069
a	-	0.067
