Alsatian	Alsatian	probability
ˈɛ	ˈæ	1.0
ˈəi̯	ˈæi̯	1.0
ˈɔi̯	-	1.0
ˈɒ_n	ˈɒː	1.0
ˈœ	ˈau̯_ɡ̊	1.0
ˈøː	ˈuə̯	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈo	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈuː	1.0
ˈiː_ʁ	ˈi_r	1.0
ˈaː	-	1.0
ˈai̯	ˈøi̯	1.0
ʦ	ʦ	1.0
ʋ_ə	b̥_ə	1.0
ʁ_n	r_n	1.0
ʁ	r	1.0
ɡ̊	ɡ̊	1.0
ə	ə	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
x	χː	1.0
w	ʋ	1.0
t_ʁ	tː_r	1.0
p͡f	p͡f	1.0
p	pː	1.0
n_ə	n_ə	1.0
n_d̥	ŋ	1.0
n_#>	#>	1.0
m	m	1.0
l_t	l_tː	1.0
l	l	1.0
kʰ	ɣ̊	1.0
i_ʃ	χː	1.0
i	i	1.0
h	h	1.0
eː	æ	1.0
e	ˈyː	1.0
d̥	d̥	1.0
b̥	b̥	1.0
<#_ʁ	<#_r	1.0
<#_d̥	<#_tː	1.0
#>	ɡ̊_#>	1.0
ʋ	ʋ	0.913
t	tː	0.909
n	n	0.889
ˈɒ	ˈɒ	0.87
ˈu	ˈu	0.81
ˈo	ˈo	0.778
k	kː	0.667
j	ɡ̊	0.667
ˈoː	ˈoː	0.625
f	v̥	0.625
ˈi	ˈi	0.577
ˈɒː	ˈɒː	0.556
s	sː	0.543
ˈʊː	ˈuə̯	0.538
ˈæː	ˈæː	0.5
ˈæː	ˈæ	0.5
s	z̥	0.457
ˈɒː	ˈɒ	0.444
ʃ	ʒ̊	0.433
ˈe	ˈæ	0.417
ˈeː	ˈeː	0.4
ˈeː	-	0.4
ˈei̯	ˈæi̯	0.4
ˈei̯	ˈyː	0.4
f	fː	0.375
ˈiː	ˈyː	0.353
ˈiː	ˈiː	0.353
k	χː	0.333
j	j	0.333
ˈʊː	ˈau̯	0.308
ʃ	ʃː	0.3
ˈoː	ˈɒː	0.25
ˈe	ˈø	0.25
ˈo	ˈoː	0.222
ˈeː	ˈøː	0.2
ˈei̯	ˈei̯	0.2
ʃ	χː	0.2
ˈi	ˈy	0.192
ˈiː	ˈyə̯	0.176
ˈe	ˈe	0.167
ˈe	-	0.167
ˈʊː	ˈyə̯	0.154
ˈi	-	0.154
ˈɒ	-	0.13
ˈoː	ˈo	0.125
ˈiː	ˈiə̯	0.118
ˈu	ˈy	0.095
ˈu	ˈo	0.095
t	d̥	0.091
ʋ	-	0.087
ˈi	ˈiː	0.077
ʃ	ɡ̊	0.067
n	ˈæː	0.056
n	-	0.056
