Emilian	Emilian	probability
ˈɔ_t	ˈɔ_t	1.0
ˈɔ	ˈu	1.0
ˈi	ˈi	1.0
ˈaː	ˈa	1.0
ˈa_j	ˈi	1.0
ʧ	k_ɾ	1.0
ŋ_k	m	1.0
ŋ_d	nː_u	1.0
ŋ_#>	n_u_#>	1.0
w	-	1.0
v_e	β_ɛ	1.0
s_#>	s_u_#>	1.0
s	s	1.0
r_t	ɾ_t	1.0
r_e	r	1.0
p	p	1.0
o	u	1.0
n_a	a	1.0
n_#>	u_#>	1.0
m	m	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j_ˈa	ɾ_ˈa	1.0
i	i	1.0
f	f	1.0
e_r	ɾ	1.0
a_r	ɾ	1.0
<#_θ	<#_k	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ð	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
a	a	0.953
t	t	0.943
ˈe	ˈi	0.875
b	b	0.867
ɲ	nː	0.833
r	ɾ	0.831
ˈuː	ˈu	0.75
ŋ	n	0.724
ˈæ	ˈɛ	0.667
ˈo	ˈu	0.647
n	n	0.643
ˈɛ	ˈa	0.64
ð	ɡ	0.625
ˈɛː	ˈɛ	0.6
ˈɔː	ˈɔ	0.588
ˈʌ	ˈu	0.571
l	l	0.567
ˈʌu̯	ˈu	0.545
v	b	0.533
z	k_ɛ	0.5
e	ɛ	0.471
#>	ɛ_#>	0.469
ˈʌu̯	ˈɔ	0.455
ˈa	ˈa	0.44
ˈʌ	ˈɔ	0.429
ˈɛː	ˈe	0.4
ˈiː	ˈi	0.4
j	ɾ	0.4
d	ð	0.4
d	t	0.4
#>	u_#>	0.391
ɡ	ɡ	0.389
ɡ	k	0.389
ð	-	0.375
u	u	0.357
ˈæ	ˈe	0.333
ˈiː	ˈɛ	0.333
j	ʣ	0.333
ˈa	ˈi	0.32
θ	ʦ	0.3
θ	t	0.3
u	ɔ	0.286
ˈuː	ˈo	0.25
z	z	0.25
z	s_i	0.25
ˈa	ˈɛ	0.24
ˈɔː	ˈo	0.235
e	ɾ	0.235
u	o	0.214
n	nː	0.214
θ	k_i	0.2
θ	k_e	0.2
ˈɛ	ˈe	0.2
l	ɖː	0.2
ˈɔː	-	0.176
ˈo	ˈɔ	0.176
ˈo	ˈo	0.176
e	e	0.176
ɲ	ɲ	0.167
ˈɛ	ˈɛ	0.16
u	-	0.143
n	-	0.143
ˈiː	ˈe	0.133
ˈiː	ɛ	0.133
v	p	0.133
l	ɾ	0.133
j	ˈi	0.133
j	j	0.133
b	-	0.133
ˈe	ˈe	0.125
e	i	0.118
ɡ	ɣ	0.111
ɡ	-	0.111
ŋ	ŋ	0.103
ŋ	m	0.103
v	β	0.1
v	ɛ	0.1
l	-	0.1
d	d	0.1
d	-	0.1
ŋ	u	0.069
v	β_ɛ	0.067
v	-	0.067
r	r	0.065
t	ʦ	0.057
r	ɛ	0.052
