Danish	Palatine German	probability
ˈʌˀ	-	1.0
ˈɛː	ˈɑ	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈu	1.0
ˈɒˀ	ˈoː	1.0
ˈœː	ˈɛ	1.0
ˈœˀ_ð̞ˠ	ˈoː_d̥	1.0
ˈœˀ_n	ˈĩː	1.0
ˈœˀ	-	1.0
ˈœ_n	ˈõː	1.0
ˈøˀ_ð̞ˠ	s	1.0
ˈøˀ	ˈoː	1.0
ˈæˀ	ˈɑː	1.0
ˈæ_ð̞ˠ	ˈɑː_d̥	1.0
ˈæ	ˈɑ	1.0
ˈy	ˈɪ	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈeˀ_ɡ̊	ˈɑːɪ̯	1.0
ˈeˀ_ð̞ˠ	ˈɛː_s	1.0
ʨ	d̥	1.0
ʁ	r	1.0
ə_n	eː	1.0
ɕ	s	1.0
ɐˀ	ɐ	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
wˀ	ˈoː_β	1.0
s_ɡ̊	ʃ	1.0
mˀ	m	1.0
m	m	1.0
lˀ	l	1.0
l	l	1.0
kʰ_n	ɡ̊_n	1.0
kʰ	kʰ	1.0
jˀ	-	1.0
j_ˈɛ	ˈɛ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
e	ɪ	1.0
d̥_ɐ	d̥_ɐ	1.0
b̥_ə	f_ə	1.0
b̥	b̥	1.0
ʋ	β	0.958
d̥	d̥	0.826
n	n	0.818
ɐ	ɐ	0.794
ɡ̊	ɡ̊	0.788
ˈoˀ	ˈuː	0.773
ˈyː	ˈiː	0.75
ˈu	ˈu	0.715
ˈø	ˈɪ	0.709
ʦʰ	d̥	0.694
n_ə	n	0.686
ˈɔˀ	ˈoː	0.651
ə	ə	0.647
ˈyˀ	ˈiː	0.645
ˈuː	-	0.631
ˈɑˀ	ˈɑː_ɐ	0.625
ˈe	ˈɪ	0.602
ˈɑ	ˈɑ	0.581
ˈiˀ	ˈaɪ̯	0.571
ˈo	-	0.555
ˈœ	ˈɪ	0.547
ˈuˀ	ˈau̯	0.546
ð̞ˠ	s	0.513
ˈøː	ˈuː	0.507
ˈiː	ˈaɪ̯	0.507
s	ʃ	0.505
ˈøː	-	0.493
ˈiː	-	0.493
ˈɛ	ˈɛ	0.47
s	s	0.457
ˈœ	ˈɔ	0.453
ˈo	ˈɔ	0.445
nˀ	n	0.434
ˈʌ	-	0.428
ð̞ˠ	d̥	0.41
nˀ	n_d̥	0.396
ˈɑˀ	ˈɛː	0.375
ˈuː	ˈau̯	0.369
ˈuˀ	-	0.366
ˈyˀ	ˈaɪ̯	0.355
ˈɔˀ	ˈo	0.349
w	β	0.344
j	h	0.337
ˈeˀ	ˈeː	0.335
ˈʌ	ˈɑ	0.327
n_ə	n_d̥	0.314
ə	-	0.309
ʦʰ	ʣ̥	0.306
ˈeˀ	ˈɛː	0.303
ˈe	ˈɛ	0.296
ˈø	-	0.291
ˈu	ˈɔ	0.285
w	-	0.257
ˈyː	ˈi	0.25
ˈiˀ	ˈɑ̃ɪ̯	0.247
ˈʌ	ˈu	0.246
j	ˈɛ	0.245
ˈoˀ	-	0.227
ˈɑ	ʃ	0.225
ˈɛ	ˈɪ	0.22
ˈeˀ	r	0.201
ˈɛ	-	0.196
ˈɑ	ˈaɪ̯	0.194
w	j	0.193
ˈiˀ	-	0.182
n	-	0.182
nˀ	-	0.17
ˈeˀ	ˈiː	0.162
j	-	0.151
j	ˈɪ	0.144
ɡ̊	ʃ	0.13
j	x	0.123
ɐ	ˈɛ_ɐ	0.116
d̥	x_d̥	0.116
ˈɛ	ˈaɪ̯	0.114
ˈe	-	0.103
w	ɣ̊	0.103
w	x	0.103
ɐ	ˈiː_ɐ	0.09
ˈuˀ	ˈau̯̯	0.088
ɡ̊	-	0.083
ð̞ˠ	r	0.077
d̥	ʣ̥	0.057
