Nynorsk Norwegian	Elfdalian	probability
ˈʉ_ɾ	rː	1.0
ˈɪ	ˈɪ	1.0
ˈæː	-	1.0
ˈæ	j_ˈæ	1.0
ˈuː_ɾ	r	1.0
ʰpː	pː	1.0
ʰkː	kː	1.0
ʉ	ʉ_ð	1.0
ɾ_n	nː	1.0
ɲ	ŋ	1.0
ɪ	ɪ	1.0
ɛ	-	1.0
ŋː	ŋ_ɡ	1.0
ŋ	ŋ	1.0
çː	ʨː	1.0
v	w	1.0
tː	tː	1.0
tʰ	tʰ	1.0
t	t	1.0
sː	sː	1.0
s_l	l̥	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
l_e	ɛ_ɽ	1.0
kʰ_ʋ	w	1.0
kʰ	kʰ	1.0
jː	ɡː	1.0
f	f	1.0
e_ɾ	ɑ̃	1.0
b	b	1.0
n	n	0.952
d	d	0.932
k	k	0.901
ɾ	r	0.899
m	m	0.847
ɑ	ɑ	0.82
ˈʉ	ˈʉ	0.816
ʋ	w	0.786
ʰtː	tː	0.784
ˈœ	-	0.739
ˈæɪ̯	ˈiːe̯	0.732
ˈuː	ˈʉːə̯	0.732
l	ɽ	0.722
ˈɑː	ˈɑː	0.699
ˈæʉ̯	ˈœː	0.692
ɡː	ɡː	0.686
nː	nː	0.686
ɡ	ɣ	0.681
ç	ʨ	0.653
ʂ	s_ʨ	0.638
ˈɑ	ˈɑ	0.63
ə	ɛ	0.615
ˈøː	ˈyːœ̯	0.587
lː	l_d	0.585
ˈœʏ̯	-	0.562
ˈɛ	ˈɛ	0.552
ˈyː	j_ˈʉːə̯	0.519
ˈʊ	-	0.518
ˈʊ	ˈʉə̯	0.482
ˈyː	ˈʏː	0.481
j	j	0.475
ˈœʏ̯	ˈœː	0.438
ˈʉː	ˈɑːu̯	0.433
ˈoː	ˈɔː	0.426
ˈiː	ˈɪː	0.416
lː	lː	0.415
ˈøː	-	0.413
ˈiː	ˈɑːi̯	0.412
ˈɔ	-	0.401
ʂ	s_j	0.362
e	-	0.337
ɡ	ɡ	0.319
ˈeː	ˈɪː	0.317
ɡː	ʥː	0.314
ˈæʉ̯	ˈoː	0.308
ˈʉː	ˈʉː	0.305
e	ɑ	0.302
ˈʏ	ˈʏ	0.301
ˈɔ	ˈʉə̯	0.286
ˈoː	-	0.276
ˈʏ	ˈʉ	0.274
ˈuː	ˈʉə̯	0.268
ˈʉː	ˈʉːə̯	0.262
ˈœ	ˈœː	0.261
j	ʥ	0.249
ˈɛ	-	0.242
ˈɑ	-	0.234
ˈɔ	ˈo	0.232
ʰtː	t	0.216
ç	-	0.216
ˈʏ	ˈɪ	0.214
ʋ	v	0.214
ˈʏ	ˈyœ̯	0.212
nː	n_d	0.202
ˈeː	-	0.193
ə	ɑ	0.192
ə	-	0.192
ˈeː	ˈæ	0.184
ˈeː	ˈæː	0.183
j	-	0.182
ɑ	ɔ	0.161
ˈæɪ̯	-	0.157
e	ɛ	0.157
ˈoː	ˈoː	0.153
m	mː	0.153
ˈɑː	ˈɛː	0.15
ˈɑː	ˈɔ	0.15
ˈoː	ˈɔ̃ː	0.145
e	ʉ	0.145
ˈiː	-	0.136
ç	tʰ_j	0.132
ˈeː	ˈɑːi̯	0.123
nː	n	0.112
ˈæɪ̯	ˈɛ	0.11
ˈɛ	ˈɪ	0.105
ˈɛ	j_ˈæ	0.101
k	kː	0.099
ˈʉ	-	0.094
j	ɽ_j	0.094
ˈʉ	ˈʉː	0.09
l	v	0.083
l	-	0.083
ˈɔ	ˈœ	0.08
ˈɑ	ˈɑː	0.079
l	l	0.072
d	ð	0.068
ɾ	ɛ_r	0.06
e	ʏ	0.059
ˈɑ	ˈo	0.057
