Old West Norse	Insular North Frisian	probability
ˈɛː	-	1.0
ˈɔː	ˈoː	1.0
ˈɒu̯	ˈɔa̯	1.0
ˈɑ_ɣ	ˈaɪ̯	1.0
ˈøy̯	-	1.0
ˈu_nː	ˈɛ_n	1.0
ˈeː	-	1.0
ˈe_tː_ɑː	aɪ̯	1.0
ˈa	-	1.0
ʦ	t_s	1.0
ʝː	-	1.0
ɾ	ə_x	1.0
ɡ	-	1.0
ɟ	-	1.0
ŋ	ŋ	1.0
ç	h	1.0
x	v	1.0
w_ˈɑ	ˈa	1.0
tʰ	tʰ	1.0
t_j	t	1.0
sː	s	1.0
s_u	z	1.0
r̥ː	ɐ	1.0
r_n	ɐ	1.0
r_i	ɐ	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
n_d	nʲ	1.0
m_r̥	ə_m	1.0
m	m	1.0
lː_r̥	lʲ	1.0
lː	l	1.0
l_i	ə_l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈoː	ˈɛ	1.0
h	h	1.0
f	f	1.0
e	-	1.0
cː	ɡ	1.0
cʰ	kʰ	1.0
c	k	1.0
b	b	1.0
a	ə	1.0
s	s	0.934
l	l	0.931
n	n	0.919
t	t	0.914
ˈɔ	-	0.819
ð	ɾ	0.794
ˈe	-	0.747
ˈi	ˈɪ	0.715
ɑ	-	0.667
ˈoː	-	0.665
u	-	0.635
r	r	0.624
ˈuː	-	0.609
ɣ	ç	0.607
ˈɑu̯	ˈoː	0.592
ˈiː	ˈɪ	0.572
j	-	0.564
v	v	0.563
d	-	0.563
ˈɛ	-	0.532
nː	n	0.519
ˈøː	ˈɛ	0.5
ˈøː	-	0.5
ˈɛi̯	ˈiː	0.49
θ	tʰ	0.478
ˈɛ	ˈɔː	0.468
i	-	0.452
θ	d	0.44
d	d	0.437
i	ɐ	0.435
ˈiː	ˈiː	0.428
ˈɑ	-	0.415
ˈɑu̯	ˈɔa̯	0.408
r̥	ɐ	0.398
tː	t	0.397
ɣ	-	0.393
ˈuː	ˈʏ	0.391
tː	x	0.391
ˈo	-	0.367
u	ɪ	0.365
ˈyː	ˈyː	0.357
ˈyː	ˈiː	0.357
ˈy	-	0.336
ˈo	ˈuː	0.335
ɑ	ɪ	0.333
ˈu	ˈʏ	0.325
ˈu	ˈʊ	0.323
r	ɐ	0.317
r̥	x	0.304
r̥	t	0.298
ˈyː	ˈʏ	0.286
ˈɛi̯	ˈɛ	0.277
ˈy	ˈʊ	0.267
ˈɑː	ˈɔː	0.248
nː	-	0.245
v	f	0.237
nː	ɾ	0.236
ˈɛi̯	ˈeː	0.233
ˈɑ	ˈa	0.233
tː	x_t	0.212
ˈɑː	-	0.207
ˈɑː	ˈuː	0.2
ˈy	ˈɛ	0.198
ˈy	ˈœ	0.198
ˈi	ˈɛ	0.192
ˈɔ	ˈɛ	0.181
ˈu	ˈœ	0.175
ˈo	ˈœ	0.166
j	ˈɛ	0.164
j	ˈeː	0.164
ˈe	ˈiː	0.154
ˈoː	ˈɔ	0.15
ˈɑ	ˈɔː	0.149
ˈo	ˈɔ	0.132
ˈɑː	ˈiː	0.131
ˈɑː	ˈɔa̯	0.128
ˈu	ˈɔ	0.123
ˈoː	ˈœ	0.113
i	ə	0.113
j	ˈiː	0.109
v	ə_f	0.103
ˈe	ˈɪ	0.099
ˈi	ˈeː	0.093
ˈɑː	ˈa	0.086
t	-	0.086
θ	tʲ	0.082
ð	t	0.081
n	ˈœ_n	0.081
ˈɑ	ˈʊ	0.075
ˈoː	ˈʊ	0.072
ð	-	0.072
s	ʃ	0.066
ˈɑ	ˈɔa̯	0.065
ˈɑ	ˈeː	0.065
v	v_ˈʊ	0.06
ˈu	ˈyː	0.055
ð	x	0.053
