Bokmål Norwegian	Ripuarian	probability
ˈʊ	-	1.0
ˈœʏ̯	ˈoʊ̯	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ʈː	ʦ	1.0
ʈ	-	1.0
ɾ_ə	ɐ	1.0
ɳ	n	1.0
ɪ	ə	1.0
ə_ɾ	ɐ	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	k	1.0
tː_ə	s	1.0
sː	z̥	1.0
s_k	ʃ	1.0
pː	p	1.0
pʰ	-	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
i	ɕ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
l	l	0.885
ˈuː	ˈoː	0.867
ˈʉ	ˈo	0.847
d	d	0.822
ɾ	ʀ	0.803
ɡ	j	0.747
ˈoː	ˈɔː	0.742
n	n	0.707
ˈɪ	ˈe	0.702
ˈyː	ˈeː	0.698
ʂ	ʃ	0.695
ʋ	ʋ	0.691
ɡː	k	0.687
tʰ	d	0.667
ə	ə	0.655
tː	ʦ	0.634
ˈɑː	ˈaː	0.628
ˈɑ	ˈa	0.628
t	s	0.618
ˈʏ	ˈœ	0.547
ˈɔ	-	0.51
nː	ŋ	0.508
nː	n	0.492
ˈeː	ˈeː	0.48
s	z	0.466
k	ɕ	0.465
ˈʏ	-	0.453
j	-	0.431
ˈiː	ˈiː	0.424
ˈœ	-	0.421
lː	l_ə	0.367
tː	ɕ	0.366
ˈæɪ̯	ˈeː	0.363
ˈɔ	ˈo	0.361
ˈʉː	ˈuː	0.359
j	h	0.353
lː	ɫ	0.345
tʰ	ʦ	0.333
ˈæɪ̯	ˈɛː	0.318
ˈæɪ̯	ˈeɪ̯	0.318
ɡː	-	0.313
ˈiː	-	0.311
ˈɛ	ˈɛ	0.31
ˈɛ	-	0.31
t	t	0.306
ʂ	z	0.305
ˈeː	-	0.304
k	-	0.303
ˈøː	-	0.301
ə	-	0.295
s	ʃ	0.292
lː	ɫ_d̥	0.288
ˈiː	ˈe	0.265
ˈɪ	ˈɪ	0.25
ˈyː	ˈyː	0.245
s	-	0.242
ˈœ	ˈøː	0.237
ˈœ	ˈoː	0.237
k	x	0.232
ˈɑː	ˈa	0.228
ˈeː	ˈaː	0.216
j	ˈɛ	0.215
ˈøː	ˈuː_d̥	0.205
ˈʉː	-	0.203
ˈøː	ˈɔʊ̯	0.201
ˈɑ	ˈɛ	0.198
ˈøː	ˈuː	0.182
d	-	0.178
ˈɛ	ˈe	0.175
ˈɑ	ˈaː	0.175
n	ə	0.173
ʋ	v	0.168
ˈʉ	-	0.153
ˈoː	n	0.151
ˈɑː	ˈa_d̥	0.144
ˈuː	ˈɔː	0.133
ˈɔ	ˈy	0.129
ɡ	ɣ̊	0.128
ɡ	-	0.125
ˈɛ	ˈiː	0.124
ˈʉː	ˈoː	0.122
n	ŋ	0.12
l	ɫ	0.115
ˈøː	ˈøː	0.111
ˈʉː	ˈɔʊ̯	0.106
ˈʉː	ˈo	0.106
ˈoː	-	0.106
ˈœ	ˈo	0.105
ɾ	d_ɐ	0.105
ˈʉː	ˈɛː	0.103
ʋ	-	0.103
ˈɛ	ˈɛː	0.081
t	ʦ	0.075
ˈyː	ˈøʏ̯	0.057
ɾ	-	0.055
