Ripuarian	North Frisian	probability
#>	ə_#>	1.0
<#	<#_j	1.0
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_z	<#_s	1.0
<#_ʀ	<#_r	1.0
<#_ʦ	<#_t	1.0
<#_ˈa	<#	1.0
d_ə	dʲ_ə	1.0
d̥_#>	d_#>	1.0
f	p	1.0
k_#>	k_#>	1.0
k_ə	k_ə	1.0
l	l	1.0
l_#>	l_#>	1.0
l_d̥	lʲ	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
n_d̥	n_ə	1.0
p	p	1.0
p_#>	p_#>	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
s_ə	z_ə	1.0
t	t	1.0
t_#>	d_#>	1.0
v	v	1.0
ŋ_#>	n_#>	1.0
ŋ_k	ŋ_k	1.0
ɐ_#>	r_#>	1.0
ɐ_m	r_m	1.0
ə_#>	ə_#>	1.0
ə_f	v_ə_n	1.0
ɣ_ə	j_ə	1.0
ɪ	i	1.0
ʀ	r	1.0
ʀ_ˈœ	r	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ʦ_#>	t_#>	1.0
ˈa_ŋ	ˈœ	1.0
ˈaʊ̯	ˈuː	1.0
ˈeɪ̯	ˈiː	1.0
ˈeɪ̯_#>	ˈiː_#>	1.0
ˈeː_#>	r	1.0
ˈeː_n	ˈiː_nʲ	1.0
ˈiː_s	ˈi_t	1.0
ˈoː_#>	ˈyː_#>	1.0
ˈoː_d̥	ˈœ_dʲ	1.0
ˈuː_d̥	ˈyː_dʲ	1.0
ˈøː	ˈɛi̯	1.0
ˈøː_s	ˈɛ_tʲ	1.0
ˈɛ_d	ˈɛː_d	1.0
ˈɛː	ˈa_r	1.0
ˈɛː_ɐ	r	1.0
v̥_#>	f_#>	0.571
ˈɛ	ˈi	0.231
<#_ʋ	<#	0.2
s	ə	0.222
ɕ	i	0.2
ɕ	-	0.2
ɕ	k	0.2
ʋ	-	0.222
ˈaː	-	0.182
ˈiː	ˈɛi̯	0.222
ˈiː	ˈi	0.222
ˈoː	ˈyː	0.182
ˈoː	ˈɔ_r	0.182
ˈoː	ˈuː	0.182
ˈoː	ˈɛː	0.182
ˈuː	ˈyː_s	0.182
ˈuː	ˈøː	0.182
ˈɔ	ˈa	0.182
ˈɔ	ˈɔː	0.182
ˈɔ	ˈɔu̯	0.182
ˈɔ	ˈʊ	0.182
ˈɛ	ˈeː	0.462
<#_ʃ	<#_ʃ	0.333
s	t	0.333
ŋ	n	0.333
ə	-	0.333
ə	ə	0.333
ə	ə_n	0.333
ˈaː	ˈɔː	0.273
ˈaː	ˈɒ	0.273
ˈaː	ˈɒː	0.273
ˈoː	ˈœ	0.273
ˈuː	ˈuː	0.273
ˈɔ	ˈɔ	0.273
<#_l	<#_j	0.154
d	ə	0.4
f_#>	v_#>	0.4
n	-	0.214
s	tʲ	0.444
ɕ	x_t	0.4
ˈa	ˈɒ	0.294
ˈeː	ˈɒ	0.154
ˈuː	ˈyː	0.364
ˈyː	ˈiː	0.4
ˈɛ	ˈɒ	0.154
ˈɛ	ˈʊ	0.154
<#_j	<#_j	0.25
<#_j	<#_ɡ	0.75
x	x_t	0.5
x	k	0.5
ŋ_ɡ̊	ŋ_#>	0.5
ŋ_ɡ̊	n	0.5
ɐ	r	0.5
ɐ	-	0.5
ɕ_#>	j_#>	0.375
ɕ_#>	k_#>	0.625
ɡ̊	nʲ	0.5
ɡ̊	d	0.5
ˈa	ˈuː	0.235
ˈe	ˈa	0.5
ˈe	ˈi	0.5
ˈo	ˈyː	0.25
ˈo	ˈʊ	0.75
ˈœ	ˈeː	0.5
ˈœ	ˈʏ	0.5
ˈɪ	ˈa	0.5
ˈɪ	ˈi	0.5
<#_d	<#_t	0.346
<#_l	<#_l	0.846
d	-	0.6
f_#>	p_#>	0.6
n	n	0.786
ˈa	ˈʊ	0.176
ˈa	ˈœ	0.176
ˈeː	ˈiː	0.846
ˈiː	ˈiː	0.556
ˈyː	ˈøː	0.6
<#_d	<#	0.077
<#_d	<#_d	0.577
<#_ʃ	<#_s	0.667
ŋ	ŋ	0.667
<#_ʋ	<#_v	0.8
ʋ	v	0.778
ˈa	ˈeː	0.118
v̥_#>	v_#>	0.429
