Westphalian	East Franconian	probability
ˈʏ	ˈɪ	1.0
ˈɪɛ̯_l	l	1.0
ˈɪə̯	-	1.0
ˈɛː	-	1.0
ˈɒː	ˈoː_s	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	ˈɪ	1.0
ˈyː_ç	ə	1.0
ˈyː	ˈaɪ̯	1.0
ˈyə̯	ˈɛ	1.0
ˈuːə̯	ˈʊ_ɐ	1.0
ˈoː	ˈuː	1.0
ˈiɛ̯	-	1.0
ʋ	v	1.0
ʃ_t	ʃ_d̥	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɪ	ɪ	1.0
ɣ	-	1.0
ɡ_n	ŋ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
x_t	x_d̥	1.0
v̥	b̥	1.0
t_ə	s	1.0
t_n	z̥_n	1.0
r	r	1.0
n_n	n_a	1.0
m	m	1.0
l	l	1.0
k_n	n	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
aɪ̯	eː	1.0
s	s	0.945
ɐ	ɐ	0.934
b	b̥	0.868
d	d̥	0.854
ˈa	ˈɒ	0.842
ˈɪ	ˈɪ	0.827
ˈɔː	ˈoː	0.799
ˈiː	ˈaɪ̯	0.793
x	ɡ̊	0.773
n	n	0.77
ˈaɪ̯	ˈiː	0.754
ˈuː	ˈaʊ̯	0.75
ˈʊ	ˈʊ	0.721
t	ʦ	0.711
ç	ç	0.71
ˈɪɛ̯	ˈɛ	0.676
v	v	0.658
ˈɛ	ˈɛ	0.643
ˈøː	ˈiː	0.634
ɡ	-	0.601
ˈɔ	ˈɒ	0.6
ˈaː	ˈɒ	0.6
ˈuə̯	ˈʊ	0.593
p	b̥͡v̥	0.573
z	z̥	0.534
ə	-	0.533
ˈeː	-	0.511
ˈaʊ̯	ˈuː	0.508
ˈaʊ̯	ˈaː	0.492
ˈeː	ˈaː	0.489
ə	a	0.467
z	-	0.466
k	kʰ	0.444
p	f	0.427
ˈuə̯	ˈuː	0.407
ˈɔ	ˈɔ	0.4
ˈaː	ˈoː	0.4
ɡ	ɣ	0.399
ˈøː	-	0.366
ˈɛ	-	0.357
ˈɪɛ̯	ˈeː	0.324
ç	ɡ̊	0.29
ˈuː	-	0.25
ˈaɪ̯	ˈɛː	0.246
k	x	0.236
x	ɣ̊	0.227
ˈɔː	-	0.201
k	ɡ̊	0.177
t	d̥	0.168
ˈʊ	ˈaʊ̯	0.155
k	ç	0.143
ˈa	ˈoː	0.137
v	β	0.133
b	-	0.132
ˈʊ	ˈɔ	0.124
ˈɪ	ˈiː	0.122
n	n_d̥	0.12
v	v_ˈɔ	0.113
ˈiː	ˈiː_ɐ	0.104
ˈiː	ˈiː	0.103
d	ɾ	0.099
v	m	0.096
t	z̥	0.091
ɐ	ɾ_ɐ	0.066
s	-	0.055
n	a	0.053
ˈɪ	ˈaɪ̯	0.051
