Romagnol	Romagnol	probability
θ_ˈɛ	s_ˈɛ	1.0
θ_#>	ʦ_#>	1.0
θ	s	1.0
ˈʌ̃_#>	ˈa_#>	1.0
ˈʌ̃	ˈa	1.0
ˈɛ̃	ˈe	1.0
ˈõũ̯_#>	ˈu_#>	1.0
ˈi_#>	ˈi_#>	1.0
ˈeə̯_l	ˈa	1.0
ˈeə̯_d	ˈa_j	1.0
ˈeə̯	ˈa	1.0
ˈe	ˈe	1.0
ˈaː	l_ˈa	1.0
ˈa	ˈa	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
v_ɐ	w	1.0
v_r	β_ɾ	1.0
t_m	mː	1.0
s_ˈʌ̃	s_ˈa	1.0
r_ˈʌ̃	ɾ_ˈa	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_#>	#>	1.0
p_#>	s_#>	1.0
p	p	1.0
n_t_#>	n_#>	1.0
m_n	nː	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j̃_#>	#>	1.0
j_ˈʌ̃	l_ˈa	1.0
f	f	1.0
e	ˈe	1.0
b_r	b_ɾ	1.0
a	a	1.0
<#_ɐ	<#_a	1.0
<#_u	<#_a_w	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
l	l	0.96
u	u	0.846
ˈou̯	ˈu	0.833
ˈeə̯_#>	ˈa_#>	0.818
s	s	0.806
ˈɛə̯	ˈɛ	0.778
b	b	0.75
n	n	0.722
t	t	0.694
ˈẽ	ˈi	0.667
d_#>	t_#>	0.667
ð	ʤ	0.643
ɐ	ɔ	0.632
d	ð	0.625
ˈɔə̯	ˈɔ	0.6
ʧ	l	0.6
v	b	0.594
ɐ_r	ɾ_e	0.583
ˈi	ˈi	0.579
r	ʀ	0.579
ˈeː	ˈe	0.533
ɡ	ɡ	0.533
j	l	0.529
ʤ	ʤ	0.5
ʤ	ɡ_l	0.5
v_#>	w_#>	0.5
v_#>	#>	0.5
l_ɐ	ɔ	0.5
l_ɐ	l	0.5
i	i	0.5
i	e	0.5
ˈo	ˈu	0.476
z	ʦ	0.462
r	ɾ	0.421
ˈɔ	ˈɔ	0.417
ɐ_r	e	0.417
ʧ	k_l	0.4
ˈo	ˈy	0.381
d	-	0.375
ð	-	0.357
#>	s_#>	0.357
j	-	0.353
ˈɔ	ɥ_ˈɛ	0.333
ˈu	ˈy	0.333
ˈẽ	ˈɛ	0.333
ˈeː	ˈɛ	0.333
ɡ	ɣ	0.333
d_#>	#>	0.333
#>	e_#>	0.321
z	s	0.308
ˈɔə̯	ˈa_w	0.3
ˈɛ	ˈe	0.286
n	-	0.278
ˈi	ˈe	0.263
ˈɛ	ˈɛ	0.25
ˈɔ	ˈu	0.25
b	β	0.25
z	-	0.231
ˈɛə̯	j_ˈɛ	0.222
ˈu	ˈu	0.222
ˈu	ɥ_ˈɔ	0.222
ˈu	ɥ	0.222
t	ʧ	0.222
v	β	0.219
ˈɛ	ˈi	0.214
s	e_s	0.194
v	-	0.188
ˈeə̯_#>	#>	0.182
ˈou̯	-	0.167
ˈi	ˈɛ	0.158
u	-	0.154
ɐ	a	0.149
ˈɛ	-	0.143
ˈo	ˈɔ	0.143
#>	ɔ_#>	0.143
ˈeː	w	0.133
ɡ	k	0.133
j	z_ˈa	0.118
ˈɛ	ˈe_j	0.107
#>	w_#>	0.107
ɐ	e	0.103
ˈɔə̯	-	0.1
t	ð	0.083
#>	t_#>	0.071
ɐ	-	0.069
