Old High German	West Frisian	probability
ˈɛ_ɡ	ˈɛi̯	1.0
ˈɑ_ɡ	ˈɛi̯	1.0
ˈu_r	ˈoə̯	1.0
ˈou̯	ˈɪə̯	1.0
ˈo_r	ˈoə̯	1.0
ˈie̯	j_ˈɪ	1.0
ˈeː	ˈiə̯	1.0
ʦː	t	1.0
ʦ	t	1.0
ɛ	ə	1.0
ə	ə	1.0
ŋ_ɡ	ŋ	1.0
xː	k	1.0
x	χ	1.0
v	ʋ	1.0
tː	d	1.0
t_ɑ	d_ə	1.0
t_i	t	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s_l	s_l	1.0
r_ɑ	r	1.0
p͡f	p	1.0
p	p	1.0
oː_n	j_ə	1.0
ou̯	ˈɪə̯	1.0
nː	n	1.0
n_t	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ɑ	l	1.0
l	l	1.0
j	j	1.0
h_ɑ	n	1.0
h	h	1.0
fː	p	1.0
f_ɑ	p_ə	1.0
f	f	1.0
r	r	0.906
s	s	0.894
i	-	0.823
k	k	0.818
ɑ	ə	0.816
b	b	0.78
u	ə	0.76
n	n	0.75
ˈoː	ˈɪə̯	0.73
o	-	0.661
e_n	ə	0.625
ˈo	ˈɔ	0.605
w	ʋ	0.563
ˈi	ˈɪ	0.559
ˈuː	ˈuː	0.53
ˈe	ˈɪ	0.527
ˈuo̯	ˈuə̯	0.505
ˈɑ_l	ˈɪə̯_l	0.5
ˈɑ_l	ˈɔː	0.5
ˈɑː	ˈiə̯	0.49
ˈe	-	0.473
ˈiː	ˈi	0.459
ˈɑ	ˈa	0.421
ˈiu̯	j	0.415
kː	-	0.399
ˈɛ	-	0.398
ˈo	-	0.395
ˈiu̯	j_ˈuə̯	0.39
d	d̥	0.386
ɡ	ɣ	0.381
e_n	j_ə	0.375
ˈɛ	ˈɛ	0.364
kː	ɣ̥	0.36
t	t	0.356
ˈei̯	ˈiə̯	0.346
t	d̥	0.343
ˈiː	ˈiː	0.34
o	ə	0.339
ɡ	ɣ̥	0.316
ɡ	-	0.303
d	ʦ	0.303
ˈio̯	ˈiə̯	0.281
ˈuo̯	ˈiə̯	0.277
ˈei̯	-	0.272
ˈoː	-	0.27
ˈu	ˈɪ	0.268
w	v	0.256
ˈi	ˈi	0.249
u	-	0.24
kː	ɣ	0.24
ˈio̯	ˈɪə̯	0.219
ˈɑː	ˈoə̯	0.214
ˈio̯	j	0.208
ˈiː	ˈɛ	0.201
t	-	0.198
ˈu	ˈoə̯	0.196
ˈiu̯	ˈøə̯	0.195
ˈɑ	ˈaː	0.183
k	-	0.182
ˈɑ	-	0.18
b	v	0.18
d	-	0.175
ˈɑː	-	0.17
ˈuː	ˈɔ	0.165
ˈuː	-	0.165
ˈuo̯	ˈoː	0.165
ɑ	-	0.161
ˈɛ	ˈiə̯	0.158
ˈu	ˈɔ	0.152
ˈio̯	ˈiː	0.146
ˈio̯	j_ˈɪ	0.146
ˈuː	ˈoː	0.14
d	d	0.136
ˈu	ˈu	0.135
ˈei̯	ˈɛi̯	0.129
ˈɑː	ˈaː	0.126
w	-	0.12
n	-	0.11
ˈɑ	ˈɔː	0.103
t	d	0.103
ˈi	ˈɔ	0.1
ˈu	-	0.097
r	-	0.094
ˈi	ˈɛ	0.092
i	v_ə	0.09
i	ə_n	0.087
ˈu	ˈuː	0.084
ˈei̯	ˈɪə̯	0.084
ˈei̯	ˈɪ	0.084
ˈei̯	ˈaː_j	0.084
ˈɛ	ˈeː	0.08
n	ə	0.079
ˈu	ˈyː	0.068
ˈɑ	ˈɛː	0.065
w	ˈɔ	0.061
n	j	0.061
s	ɕ	0.055
ˈuo̯	ˈu̯o	0.053
s	z	0.051
