Swiss German	Old West Norse	probability
χː	k	1.0
χ_t	tː_r̥	1.0
ˈøː	-	1.0
ˈøi̯	ˈøy̯	1.0
ˈø	-	1.0
ˈæi̯	ˈɛi̯	1.0
ˈyə̯	ˈøː	1.0
ˈiː	ˈiː	1.0
ˈi_r	ˈeː_r̥	1.0
ˈe	ˈɛ	1.0
ʃː	s_k	1.0
ʃ_t	s_t	1.0
ʃ	s	1.0
ŋ_k͡χ	kː	1.0
ŋ	ŋ	1.0
æ	ɑː	1.0
v̥	f	1.0
tː	ð	1.0
t_ʃ	ʦ	1.0
t_ə	ð_ɑ	1.0
sː	t	1.0
s	-	1.0
r_ʦ	r_t	1.0
r_n	r_n	1.0
p	v_u	1.0
n_d̥	nː	1.0
lː	lː_r̥	1.0
l_t	l_d	1.0
l_d̥	lː	1.0
fː	p	1.0
r	r	0.878
h	h	0.867
m	m	0.854
l	l	0.827
ˈuə̯	ˈoː	0.813
z̥	s	0.739
ˈuː	ˈuː	0.723
ə_r	r̥	0.708
ˈiə̯	j_ˈoː	0.706
ɣ̊	kʰ	0.69
ˈi	ˈi	0.677
b̥	b	0.674
p͡f	p	0.647
ʒ̊	s	0.614
ˈeː	ˈɑː	0.6
ˈu	ˈu	0.597
n	n	0.596
ˈau̯	ˈɑu̯	0.556
ˈæː	-	0.552
ˈɒ	ˈɑ	0.548
f	p	0.547
k͡χ	kː	0.545
ɡ̊ː	ɡː	0.529
ʦ	tʰ	0.522
t	ð	0.522
ˈɒː	ˈɑː	0.516
i	-	0.5
ʋ	v	0.498
ə	ɑ	0.495
ˈɒː	ˈɑ	0.484
t	t	0.478
ɡ̊ː	ɟː	0.471
d̥	θ	0.47
χ	k	0.458
ɡ̊	ɣ	0.458
k͡χ	cː	0.455
ˈæː	ˈe	0.448
ˈo	ˈo	0.446
ˈau̯	-	0.444
ˈoː	-	0.431
ˈyː	-	0.43
ˈeː	ˈoː_r̥	0.4
χ	-	0.376
ˈoː	ˈo	0.362
p͡f	pʰ	0.353
ˈo	ˈu	0.351
ˈyː	ˈyː	0.335
f	v	0.335
ʋ	-	0.319
ˈy	ˈy	0.318
ɣ̊	cʰ	0.31
ˈy	-	0.308
ˈæ	-	0.304
ˈiə̯	ˈeː	0.294
ə_r	r	0.292
ʦ	tː	0.291
ʒ̊	s_c	0.291
ə	i	0.284
ˈæ	ˈe	0.277
ˈuː	ˈu	0.277
ɡ̊	ɡ	0.263
ˈu	ˈo	0.254
d̥	ð	0.251
i	ŋ	0.25
i	u	0.25
ˈyː	j_ˈuː	0.236
b̥	v	0.236
n	nː	0.231
d̥	d	0.227
ˈoː	ˈɑu̯	0.207
ˈi	ˈe	0.206
ˈo	-	0.203
ˈy	ˈyː	0.187
ˈy	ˈi	0.187
ˈuə̯	ˈɔː	0.187
ʦ	t	0.187
ˈæ	ˈɑ	0.182
ʋ	x_w	0.182
ˈɒ	ˈɔ	0.18
z̥	t	0.174
χ	r̥	0.166
ɡ̊	ɟ	0.16
n	-	0.159
ˈæ	j_ˈɑ	0.15
ˈu	-	0.149
m	-	0.146
h	ç	0.133
ˈɒ	-	0.123
ˈi	ˈy	0.118
f	pː	0.118
ʒ̊	s_k	0.095
ˈɒ	ˈa	0.09
ˈæ	j_ˈɔ	0.088
z̥	s_j	0.087
ə	a	0.085
ɡ̊	-	0.082
r	r̥	0.078
l	lː	0.077
ˈɒ	ˈɛ	0.059
b̥	v_r̥	0.058
l	l̥	0.056
d̥	-	0.052
