Upper Sorbian	Slovak	probability
a	a	1.0
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ˈɛ	1.0
j	j	1.0
k	k	1.0
kʲ	k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
pʲ	p	1.0
s	s	1.0
t	t	1.0
x	x	1.0
xʲ	x	1.0
z	z	1.0
ɥ	ʋ	1.0
ɦ	ɦ	1.0
ɲ	ɲ	1.0
ʀ	r	1.0
ʀʲ	r	1.0
ʒ	ʒ	1.0
ʤ	ɟ	1.0
ʦ	ʦ	1.0
ˈɪ	ˈi	1.0
l	ɫ	0.161
ɔ	ˈɔ	0.051
ɛ	ɛ	0.821
ʃ	-	0.371
ˈɔ	ˈa	0.11
i	i	0.212
l	l	0.572
ɔ	ɔ	0.782
ɪ	iː	0.742
ˈo	ˈa	0.492
ˈu	ˈu	0.632
w	l	0.163
ˈa	ˈa	0.883
ˈɔ	ɛ	0.063
ˈɛ	ɛ	0.483
ˈi	-	0.094
ˈɔ	ɪ̯ˈɛ	0.084
β	ʋ	0.594
ˈe	ɪ̯ˈɛ	0.415
ˈe	ˈɛ	0.585
ˈɔ	ˈɔ	0.495
ʧ	ʧ	0.056
ʧ	t	0.056
ˈi	ˈi	0.906
β	v	0.406
l	ʎ	0.267
w	ɫ	0.837
ɔ	ɛ	0.167
ˈa	ˈaː	0.117
ˈɛ	ˈɛ	0.517
i	iː	0.788
p	p	0.978
ɪ	i	0.258
ˈo	ˈɔ	0.508
ˈu	ˈuː	0.368
ɛ	ˈɛ	0.179
ʃ	ʃ	0.629
ʧ	c	0.889
ˈɔ	-	0.099
ˈɔ	ˈɛ	0.149
