Russian	Proto-Slavic	probability
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʉ	uː	1.0
ʂ	ʃ	1.0
ɵ_ˈ	ĭ_̌	1.0
ɵ	e	1.0
ɫ_ɨ	l_ŭ	1.0
ɫ_ɐ	l	1.0
ɫ_a	l_a	1.0
ɨ_ˈ	ɨ_ˀ	1.0
ɡ̊	ɡ_ŭ	1.0
ɡ	ɡ	1.0
ɕː	ʧ	1.0
æ	ẽː	1.0
z̥	z_ŭ	1.0
zʲ	z	1.0
x	x	1.0
vʲ	v	1.0
v	v	1.0
t	t	1.0
sʲ	s	1.0
s_o	s_ŭ	1.0
r_ɐ	r	1.0
r_o	r	1.0
r_a	r_a	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_ɵ	l_e	1.0
kʲ	k	1.0
k	k	1.0
i_ˈ	i	1.0
f	v_ŭ	1.0
e_ˈ	ĭ	1.0
d̥ʲ	ʤ	1.0
d̥	d_ŭ	1.0
dʲ_e	d	1.0
dʲ	d	1.0
d	d	1.0
b̥ʲ	b_ĭ	1.0
b̥	b_ŭ	1.0
bʲ	b	1.0
b	b	1.0
s	s	0.931
ɫ	l	0.912
z	z	0.873
ɐ	o	0.815
ʦ	ʦ	0.812
ʨ	ʧ	0.811
a	a	0.787
lʲ	l	0.768
i	i	0.738
u	õː	0.703
rʲ	r	0.693
ʊ	õː	0.6
e	ɛː	0.571
j	j_ĭ	0.554
o_ˈ	o_̂	0.54
ɨ	ŭ	0.536
o	o	0.459
ʊ	uː_̂	0.4
nʲ	n_ĭ	0.388
nʲ	n	0.388
ˈ	̂	0.366
ˈ	̌	0.356
ɪ	e	0.353
o	oː	0.325
ə	ŭ	0.294
ə	-	0.294
j	ĭ	0.279
ə	o	0.266
i	-	0.262
o_ˈ	ŭ	0.248
e	e	0.248
lʲ	ʎ	0.232
nʲ	ɲ_ĭ	0.223
o	ĭ	0.216
ɪ	ŭ_j	0.207
rʲ	r_ĭ	0.206
ɨ	ɨ	0.201
u	uː	0.201
ʨ	-	0.189
ˈ	ˀ	0.188
ʦ	k	0.188
ɐ	oː	0.185
e	ĭ	0.181
j	j	0.166
ɨ	ɨː	0.165
ɪ	ɛː	0.158
ə	e	0.147
ɪ	-	0.143
o_ˈ	ŭ_̂	0.135
z	-	0.127
a	aː	0.127
rʲ	rʲ	0.1
u	u	0.096
ˈ	-	0.089
ɫ	-	0.088
a	ẽ	0.085
ɪ	ẽ	0.079
o_ˈ	̂	0.076
s	s_ŭ	0.069
ɪ	ẽː	0.06
ɨ	e	0.059
