Gothic	Proto-Germanic	probability
a	ɑ	0.615
a	ɛː	0.097
a	ɔːː	0.082
a	-	0.058
a	ɔː	0.057
a	e	0.053
aː	j	0.67
aː	ɑː	0.33
b	b	0.894
b	β	0.106
d	d	0.917
d	-	0.083
e	ɑ	0.67
e	-	0.33
f	ɸ	0.817
f	β	0.183
h	x	0.949
i	i	0.402
i	ɑ	0.325
i	iː	0.084
i	j	0.084
i	-	0.066
iː	i	0.728
iː	ɑ	0.196
iː	u	0.076
j	j	0.99
k	k	0.907
k	-	0.093
kʷ	kʷ	0.5
kʷ	ɸ	0.5
l	l	0.99
lː	lː	1.0
m	m	0.97
n	n	0.942
nː	nː	1.0
oː	ɔ̃ː	0.39
oː	ɔːː	0.311
oː	ɔː	0.218
oː	ɑ	0.082
p	p	0.794
p	pː	0.169
r	r	0.983
s	z	0.584
s	s	0.371
t	t	0.951
u	u	0.833
u	-	0.107
u	i	0.061
w	w	0.991
x	ɣ	1.0
z	z	0.504
z	s	0.496
ð	ð	1.0
ŋ	ŋ	0.75
ŋ	-	0.21
ɔː	ɔːu̯	1.0
ɡ	ɣ	0.695
ɡ	-	0.161
ɡ	ɡ	0.109
ɡʷ	ɡʷ	1.0
ɡːʷ	wː	1.0
ɣ	ɣ	1.0
ʍ	xʷ	1.0
ˈa	ˈɑ	0.924
ˈeː	ˈɛː	0.831
ˈeː	ˈeː	0.144
ˈi	ˈi	0.642
ˈi	ˈe	0.303
ˈi	ˈɑ	0.055
ˈiu̯	ˈeu̯	0.43
ˈiu̯	ˈiu̯	0.264
ˈiu̯	ˈe	0.207
ˈiu̯	ˈu	0.088
ˈiː	ˈiː	0.833
ˈiː	ˈi	0.167
ˈoː	ˈɔː	1.0
ˈu	ˈu	0.843
ˈu	ˈɑ	0.079
ˈu	ˈuː	0.051
ˈuː	ˈuː	0.781
ˈuː	ˈu	0.219
ˈɔ	ˈu	0.879
ˈɔ	ˈɑu̯	0.121
ˈɔː	ˈɑu̯	0.636
ˈɔː	ˈu	0.297
ˈɔː	w	0.067
ˈɛ	ˈe	1.0
ˈɛː	ˈɑi̯	0.92
β	β	0.966
θ	θ	0.708
θ	ð	0.203
