Gothic	Proto-Germanic	probability
a	ɑ	0.522
a	ɔːː	0.13
a	ɛː	0.113
a	ɔː	0.091
a	e	0.055
aː	j	1.0
b	b	0.918
b	β	0.082
d	d	0.949
d	-	0.055
e	-	0.184
e	ɑ	0.184
f	ɸ	0.824
f	β	0.142
h	x	0.885
h	-	0.05
h	ɡ	0.049
h	k	0.031
i	i	0.458
i	ɑ	0.279
i	-	0.11
i	iː	0.082
i	u	0.063
iː	i	0.594
iː	ɑ	0.392
j	j	0.888
j	i	0.101
k	k	0.875
k	-	0.07
k	z	0.058
kʷ	kʷ	0.243
kʷ	ɸ	0.059
l	l	0.973
l	-	0.038
lː	lː	1.0
m	m	0.819
m	m_ɑ	0.179
n	n	0.492
n	n_ɑ̃	0.39
n	n_ɑ	0.084
nː	nː	1.0
oː	ɔ̃ː	0.36
oː	ɔːː	0.283
oː	ɔː	0.261
oː	ɑ	0.086
p	p	0.91
p	ɸ	0.076
r	r	0.945
r	r_ɑ	0.053
s	z	0.591
s	s	0.383
s	-	0.031
t	t	0.932
t	ð	0.038
t	d	0.036
u	u	0.748
u	-	0.158
u	i	0.08
w	w	1.0
x	ɣ_ɑ	1.0
z	z	0.574
z	s	0.283
ð	ð	1.0
ŋ	ŋ	0.846
ŋ	n	0.153
ɔː	ɔːu̯	0.493
ɡ	ɣ	0.585
ɡ	ɡ	0.279
ɡ	-	0.071
ɡ	k	0.058
ɡʷ	ɡʷ	0.493
ɡːʷ	wː	1.0
ɣ	ɣ	1.0
ʍ	xʷ	1.0
ˈa	ˈɑ	0.967
ˈa	ˈɑu̯	0.033
ˈeː	ˈɛː	0.708
ˈeː	ˈeː	0.179
ˈeː	w	0.086
ˈi	ˈi	0.667
ˈi	ˈe	0.318
ˈi	w	0.032
ˈiu̯	ˈeu̯	0.341
ˈiu̯	ˈiu̯	0.267
ˈiu̯	w_ɑ̃	0.233
ˈiu̯	ˈe_w	0.112
ˈiː	ˈiː	0.677
ˈiː	ˈi	0.321
ˈoː	ˈɔː	1.0
ˈu	ˈu	0.886
ˈu	ˈɑ	0.064
ˈu	ˈeu̯	0.053
ˈuː	ˈuː	0.626
ˈuː	ˈu	0.372
ˈɔ	ˈu	0.62
ˈɔ	ˈɑu̯	0.356
ˈɔː	ˈɑu̯	0.722
ˈɔː	ˈu	0.175
ˈɔː	w	0.093
ˈɛ	ˈe	1.0
ˈɛː	ˈɑi̯	0.905
ˈɛː	ɑi̯	0.087
β	β	0.776
β	pː	0.122
θ	θ	0.712
θ	ð_ɑ̃	0.106
θ	ð_ɑ	0.09
θ	d	0.052
θ	z	0.04
