Asturian	Asturian	probability
θ	θ	1.0
β_ˈa	β_ˈa	1.0
β	β	1.0
ˈu	ˈu	1.0
ˈo_ɾ	ˈo_ɾ	1.0
ˈi_β	ˈi	1.0
ˈi_u	ˈi_o	1.0
ˈe_β	ˈe_β	1.0
ˈe_ʝ	x	1.0
ˈe_ʎ	ʝ	1.0
ˈe_t	ˈe_t	1.0
ˈe_s	ˈe_s	1.0
ˈe_#>	ˈe_#>	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʎ_ˈe	l_ˈe	1.0
ɾ_β	ɾ_β	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_u	o	1.0
ɾ_t	ɾ_t	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɟ͡ʝ	-	1.0
ŋ_#>	n_#>	1.0
ŋ	ŋ	1.0
ð	ð	1.0
t_a	t_a	1.0
t	t	1.0
s_u	s_o	1.0
s_e	s_e	1.0
s	s	1.0
p_u	p_o	1.0
p	p	1.0
o_ɾ	o_ɾ	1.0
o_l	o_l	1.0
o	o	1.0
l_u	l_o	1.0
l	l	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j_#>	j_#>	1.0
f_ˈi	ˈi_x	1.0
f	f	1.0
e_ɾ	e_ɾ	1.0
d	d	1.0
b_ˈe	b_ˈe	1.0
b	b	1.0
a_ɾ	a_ɾ	1.0
a_n	a_n	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ_w	<#_ˈo	1.0
<#_f_a	<#_a	1.0
<#_f	<#	1.0
<#_a	<#_a	1.0
#>	o_#>	1.0
n	n	0.968
ˈi	ˈi	0.917
u	o	0.917
ˈe	ˈe	0.908
w	w	0.9
j	j	0.867
e	e	0.857
ˈo	ˈo	0.844
m	m	0.842
r	r	0.833
ɡ	ɡ	0.769
i	i	0.714
ʃ	x	0.667
ʝ	x	0.643
ʎ	l	0.633
i	e	0.286
ʎ	ɟ͡ʝ	0.233
ɡ	-	0.231
ʝ	ʝ	0.214
ʃ	θ	0.167
ʃ	ɟ͡ʝ	0.167
r	-	0.167
m	m_b	0.158
ˈo	w_ˈe	0.156
ʝ	-	0.143
ʎ	ʝ	0.133
j	ˈi	0.133
w	ˈo	0.1
ˈi	ˈe	0.083
e	ɾ_e	0.079
u	u	0.06
