Elfdalian	Elfdalian	probability
ˈʏ	ˈʏ	1.0
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_tː	t	1.0
ˈɔ̃ː	-	1.0
ˈɔ	ˈa	1.0
ˈɑːi̯	ˈiː	1.0
ˈɑː_ɣ	ɣ̊	1.0
ˈœ	ˈɪ	1.0
ˈæ	ˈa	1.0
ˈyːœ̯	ˈɔʏ̯	1.0
ˈyœ̯	ˈɛː	1.0
ˈiːe̯	ˈɛɪ̯	1.0
ʨː	-	1.0
ʨ	k	1.0
ʥː	ɡ	1.0
ʏ	ˈoː_v	1.0
ɽ	l	1.0
ɣ_ɑ	ŋ	1.0
ɡː	-	1.0
ɡ	j	1.0
ɛ_ɽ	l	1.0
ɛ_r	ɐ	1.0
ɛ	-	1.0
ɔ̃	ɒː	1.0
ɔ	n	1.0
ɑ̃	ə	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ð_#>	#>	1.0
v_#>	f_#>	1.0
v	-	1.0
tʰ	d	1.0
t_#>	#>	1.0
t	t	1.0
sː	ʃ	1.0
s_ʨ	ʃ	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
rː	ɣ_ə	1.0
r_t	ɐ_t	1.0
pː	p	1.0
p	p	1.0
nː_ɑ	n_n	1.0
n_d	n	1.0
mː	-	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
j_ˈʉːə̯	ˈɛɪ̯	1.0
j_ˈæː	ˈeː	1.0
f	f	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
a	n	1.0
<#_ɽ	<#_l	1.0
<#_ɡ	<#_ɣ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
n	n	0.846
ˈɑ	ˈa	0.833
<#	<#_h	0.833
w	v	0.824
ˈɑːu̯	ˈuː	0.75
ˈʉə̯	-	0.714
tː	t	0.714
ˈɛː	ˈɛː	0.667
ɣ	-	0.667
ð	d̥	0.632
ˈœː	ˈeo̯	0.625
ˈʉ	ˈʊ	0.6
ˈoː	ˈeo̯	0.6
ˈo	ˈɔ	0.6
ʉ	ə	0.6
ɑ	n	0.594
r	ɐ	0.537
#>	ə_#>	0.515
ˈʏː	ˈyː	0.5
ˈʏː	-	0.5
ˈʉːə̯	ˈaʊ̯	0.5
ˈʉː	ˈuː	0.5
ˈʉː	-	0.5
ˈæː	h	0.5
ˈæː	-	0.5
s	z	0.5
s	s	0.5
nː	ɐ	0.5
nː	n	0.5
kː	ŋ_k	0.5
kː	k	0.5
ˈɛ	-	0.455
ˈɔː	ˈɒː	0.444
r	r	0.415
ˈoː	ˈɒː	0.4
ˈo	-	0.4
ʉ	-	0.4
ˈɪː	ˈiː	0.375
ˈɪː	-	0.375
ˈœː	-	0.375
ˈɛ	ˈɛɪ̯	0.364
ɑ	ə	0.344
ˈʉːə̯	-	0.333
ˈɛː	ˈaɪ̯	0.333
ˈɔː	-	0.333
ˈɑː	ˈɒː	0.333
ˈɑː	-	0.333
ɣ	ɣ	0.333
j	ˈɛ	0.3
j	-	0.3
ˈʉə̯	v_ˈoː	0.286
tː	ç_t	0.286
ˈʉ	-	0.267
ð	-	0.263
ˈɪː	ˈeː	0.25
ˈɑːu̯	-	0.25
#>	n_#>	0.242
ˈɔː	ˈa_l	0.222
ˈɑː	ˈaː	0.222
j	ˈɛɪ̯	0.2
j	ˈeː	0.2
ˈɛ	ˈɛ	0.182
w	w	0.176
ˈʉːə̯	ˈɛɪ̯	0.167
ˈɑ	ˈɒː	0.167
<#	<#_j	0.167
ˈʉ	ˈʏ	0.133
#>	d̥_#>	0.121
ˈɑː	ˈɛə̯	0.111
ð	d	0.105
n	ˈa	0.077
n	-	0.077
ɑ	-	0.062
#>	ɐ_#>	0.061
#>	t_#>	0.061
