Sichuanese	Sichuanese	probability
⁵⁵	⁵⁴	1.0
ʨ	k	1.0
ɥ_a	y_j	1.0
ɥ	y	1.0
ɛ_²¹	²⁴	1.0
ɛ	ɛ	1.0
ɚ	œ	1.0
ɕ	s	1.0
z̩	i	1.0
z	n	1.0
x	x	1.0
v	-	1.0
tʰ	tʰ	1.0
t	t	1.0
p	p	1.0
nʲ	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɛ	i	1.0
j_a	a	1.0
e	ɛ	1.0
a_ŋ	ɔ_ŋ	1.0
a_j	ɛ	1.0
<#_x	<#	1.0
<#	<#_x	1.0
⁵³	²¹	0.92
ŋ	ŋ	0.833
ʦʰ	ʦʰ	0.8
s	s	0.778
o	ɔ	0.769
a	a	0.679
ʦ	ʦ	0.667
y	y	0.667
n	ŋ	0.639
j	j	0.636
<#_n	<#_l	0.625
w	w	0.591
u	u	0.583
²¹³	⁵⁵	0.571
i	e	0.545
ə_w	u	0.5
ə_w	e	0.5
pʰ	pʰ	0.5
pʰ	p	0.5
f	x	0.5
f	p	0.5
i	i	0.455
²¹	³³	0.44
u	y	0.417
<#_n	<#	0.375
j	ɛ	0.364
ʨʰ	ʦʰ	0.333
ʨʰ	kʰ	0.333
ʨʰ	-	0.333
ʦ	t	0.333
ə	ɔ	0.333
y	œ	0.333
²¹³	³³	0.286
n	j_ŋ	0.278
²¹	²⁴	0.26
o	-	0.231
w	-	0.227
ə	e	0.222
ə	a_j	0.222
ə	-	0.222
s	-	0.222
ʦʰ	t	0.2
²¹	²¹	0.2
w	y	0.182
ŋ	-	0.167
²¹³	⁴²	0.143
a	u_j	0.143
a	w	0.107
²¹	⁴²	0.1
n	ɥ_ŋ	0.083
⁵³	⁵⁵	0.08
a	ɔ	0.071
