Neapolitan	Western Lombard	probability
b	b	1.0
e	-	1.0
f	f	1.0
lː	l	1.0
m	m	1.0
nː	n	1.0
o	u	1.0
r	r	1.0
rː	r	1.0
s	s	1.0
tː	t	1.0
ŋ	-	1.0
ʎː	j	1.0
a	-	0.061
a	u	0.071
d	d	0.961
k	p	0.111
l	l	0.861
t	-	0.071
ə	e	0.091
ɾ	r	0.591
i	i	0.222
p	ʋ	0.2
t	t	0.472
ɡ	ɡ	0.892
ɲː	ɲ	0.112
ˈe	ˈɛ	0.332
j	ʤ	0.173
n	ɲ	0.143
n	-	0.173
p	p	0.773
ʃ	ʦ	0.143
ˈo	ˈu	0.493
ˈɔ	ˈøː	0.133
kː	k	0.204
n	n	0.684
u	u	0.394
ə	a	0.394
ˈi	ˈy	0.074
ˈi	ˈe_j	0.164
ˈu	ˈu	0.314
ˈɔ	ˈũː	0.264
ˈɔ	ˈɔ	0.424
w	l	0.075
w	-	0.335
ʃ	z	0.155
ʤ	-	0.135
ʤ	ʤ	0.865
ˈa	ˈaː	0.085
ˈe	ˈeː	0.185
ˈi	ˈi	0.405
ˈu	ˈy	0.485
ˈɛ	ˈe	0.355
kː	-	0.796
t	d	0.456
v	b	0.246
ˈe	ˈe	0.416
ə	-	0.507
ˈe	-	0.067
ˈi	ˈe	0.327
ˈo	ˈyː	0.507
ˈɔ	ˈø	0.07
ˈɛ	ˈɛ	0.517
a	a	0.868
i	e	0.778
j	j	0.818
u	y	0.198
ɡ	k	0.108
ɲː	-	0.888
ɾ	-	0.378
ʃ	ʧ	0.68
ˈa	ˈãː	0.218
ˈa	ˈa	0.698
ˈu	ˈyː	0.128
ˈɔ	ˈu	0.108
ˈɛ	ˈɛ̃ː	0.128
k	k	0.889
l	-	0.139
u	-	0.409
v	ʋ	0.709
w	w	0.59
