Old Norse	Icelandic	probability
a	a	1.0
b	b̥	0.983
c	c	1.0
cʰ	cʰ	1.0
cː	ʰc	1.0
d	d̥	0.989
f	f	0.912
f	v	0.077
h	h	0.907
h	ç	0.093
i	ɪ	0.962
j	j	0.95
k	k	0.794
k	x	0.19
kʰ	kʰ	0.701
kʰ	-	0.299
kː	ʰk	0.962
l	l	0.845
l	l̥	0.145
lː	t_l̥	1.0
l̥	l̥	1.0
m	m	0.964
mː	m	1.0
n	n	0.736
n	n̥	0.106
n	t_n̥	0.076
n	t_n	0.074
nː	nː	0.575
nː	t_n̥	0.367
nː	n	0.058
p	p	0.606
p	ʰp	0.394
pː	ʰp	1.0
r	ʏ_r̥	0.448
r	r	0.324
r	r̥	0.212
rː	r̥	0.84
rː	rː̥	0.123
r̥	r̥	1.0
s	s	0.985
sː	s	0.544
sː	sː	0.456
t	t	0.927
tʰ	tʰ	0.928
tʰ	ð	0.072
tː	ʰt	0.528
tː	ˈɛ_ʰt	0.472
u	ʏ	0.387
u	j_ʏ	0.221
u	-	0.208
u	u	0.184
v	v	0.877
v	p	0.073
w	v	0.742
w	ˈoːu̯	0.258
x	kʰ	0.859
x	ç	0.141
ç	ç	0.789
ç	kʰ	0.211
ð	ð	0.965
ŋ	ŋ	0.896
ŋ	ɲ	0.104
ɑ	a	0.947
ɑː	aːu̯	1.0
ɟ	ɟ̊	1.0
ɟː	ɟ̊ː	1.0
ɡ	ɡ̊	0.84
ɡ	ɣ	0.105
ɡː	ɡ̊ː	1.0
ɣ	ɡ̊	0.515
ɣ	ɣ	0.434
ɣ	-	0.051
ɾ	r	1.0
ʝː	j	1.0
ʦ	s	1.0
ˈa	ˈa	0.758
ˈa	ˈaː	0.242
ˈe	ˈɛ	0.741
ˈe	ˈɛː	0.215
ˈeː	j_ˈɛː	0.365
ˈeː	ˈɛː	0.337
ˈeː	j	0.211
ˈeː	-	0.086
ˈi	ˈɪ	0.469
ˈi	ˈi	0.341
ˈi	ˈɪː	0.19
ˈiː	ˈiː	1.0
ˈo	ˈɔ	0.735
ˈo	ˈou̯	0.131
ˈo	ˈɔː	0.097
ˈoː	ˈoːu̯	0.838
ˈoː	ˈɔu̯	0.059
ˈu	ˈʏ	0.617
ˈu	ˈu	0.239
ˈu	ˈʏː	0.144
ˈuː	ˈuː	0.965
ˈy	ˈɪ	0.702
ˈy	ˈi	0.155
ˈy	ˈɪː	0.113
ˈyː	ˈiː	0.859
ˈyː	ˈʏː	0.094
ˈøy̯	ˈɛːi̯	0.626
ˈøy̯	ˈeːi̯	0.374
ˈøː	ˈaːi̯	0.858
ˈøː	ˈai̯	0.142
ˈɑ	ˈa	0.611
ˈɑ	ˈaː	0.16
ˈɑ	ˈau̯	0.081
ˈɑ	ˈɑu̯	0.054
ˈɑu̯	ˈœːy̯	0.966
ˈɑː	ˈɑːu̯	0.609
ˈɑː	ˈaːu̯	0.209
ˈɒu̯	ˈoːu̯	0.599
ˈɒu̯	ˈœy̯	0.264
ˈɒu̯	ˈœːy̯	0.137
ˈɔ	ˈœ	0.692
ˈɔ	ˈœː	0.167
ˈɔ	ˈɔu̯	0.131
ˈɔː	ˈoːu̯	1.0
ˈɛ	ˈɛ	0.707
ˈɛ	ˈɛː	0.139
ˈɛ	ˈai̯	0.137
ˈɛi̯	ˈɛːi̯	0.524
ˈɛi̯	ˈɛi̯	0.294
ˈɛi̯	ˈeːi̯	0.081
ˈɛi̯	ˈœː	0.067
ˈɛː	ˈaːi̯	0.704
ˈɛː	j	0.296
θ	θ	1.0
