Western Lombard	Piedmontese	probability
ã	a	1.0
b	b	1.0
e	e	1.0
i	i	1.0
m	m	1.0
p	p	1.0
t	t	1.0
u	u	1.0
z	z	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʋ	v	1.0
ʤ	ʤ	1.0
ʦ	s	1.0
ˈaː	ˈa	1.0
ˈi	ˈi	1.0
ˈĩː	ˈi_ŋ	1.0
ˈu	ˈu	1.0
ˈũː	ˈu_ŋ	1.0
ˈy	ˈy	1.0
ˈø	ˈø	1.0
ˈøː	ˈø	1.0
ˈɔ	ˈɔ	1.0
l	-	0.111
n	ŋ	0.21
ˈãː	ˈa_ŋ	0.821
d	d	0.752
r	-	0.072
s	z	0.252
ˈe	ˈe	0.462
f	v	0.213
k	k	0.873
ˈyː	ˈu	0.303
ˈɛ	ˈɛ	0.893
j	-	0.274
ɡ	ɡ	0.884
ʧ	j	0.454
ˈa	ˈe	0.304
j	j	0.726
ɡ	-	0.116
ˈa	ˈa	0.696
a	a	0.957
f	f	0.787
k	ɡ	0.127
ʧ	s	0.287
ˈyː	ˈy	0.697
ˈɛ	ˈe	0.107
d	-	0.248
r	r	0.928
s	s	0.748
ˈe	ˈɛ	0.538
l	l	0.889
n	n	0.79
ʧ	ʧ	0.259
ˈãː	ˈa_n	0.179
