Nynorsk Norwegian	Northern Low Saxon	probability
b	b	1.0
e	-	1.0
f	f	1.0
h	h	1.0
k	ɡ	1.0
kʰ	kʰ	1.0
m	m	1.0
mː	m	1.0
tː	t	1.0
v	v	1.0
ŋ	n	1.0
ŋː	ŋ	1.0
ə	-	1.0
ɛ	-	1.0
ˈøː	ˈɔʏ̯	1.0
ˈɪ	ˈɪ	1.0
ˈʊ	ˈaʊ̯	1.0
j	ɡ	0.301
n	n	0.971
nː	n	0.531
ɑ	ŋ	0.201
ʂ	ʃ	0.651
ʋ	f	0.251
ˈiː	ˈaɪ̯	0.1
ˈuː	ˈaʊ̯_d	0.161
ˈœʏ̯	ˈɔʏ̯	0.481
ˈɑː	ˈa	0.101
ˈɔ	ˈɔ	0.151
ˈʏ	ˈʏ	0.871
d	d	0.92
t	t	0.202
ç	kʰ	0.802
ɡ	x	0.172
ʋ	m	0.072
ˈæʉ̯	ˈaʊ̯	0.632
ˈɑː	ˈoː	0.72
ˈɔ	ˈa	0.262
ˈʉː	ˈøː	0.082
nː	n_d	0.383
tʰ	tʰ_v	0.053
ɡ	-	0.093
ˈoː	ˈoː_n	0.093
ˈoː	ˈoː	0.863
ˈuː	ˈaʊ̯	0.473
ˈɑ	ˈa	0.53
ˈʉː	ˈaɪ̯	0.383
lː	l	0.284
p	p	0.224
ɑ	n	0.684
ɡː	ç	0.364
ʰtː	-	0.254
ʰtː	t	0.264
ˈyː	ˈyː	0.474
ˈæɪ̯	ˈaɪ̯	0.584
nː	-	0.085
ɑ	-	0.115
ɡ	ç	0.285
ɡ	ɡ	0.45
ɾ	ɐ	0.435
ʰtː	x_d	0.225
ˈeː	ˈeː	0.735
ˈɑ	d_#>	0.115
ˈɑ	m_#>	0.125
ˈʉ	v_ˈʊ	0.265
ˈʉː	ˈuː	0.535
j	ˈɛ	0.086
j	-	0.566
l	l	0.956
lː	l_d	0.716
s	z	0.356
ɡː	ɡ	0.636
ɾ	r	0.336
ˈeː	ˈaɪ̯	0.186
ˈiː	ˈeː	0.056
ˈyː	ˈaɪ̯	0.526
ˈæɪ̯	ˈɪ	0.416
p	b	0.767
s	ʃ	0.257
s	s	0.387
ɾ	-	0.17
ʋ	v	0.677
ʰtː	d	0.257
ˈiː	ˈɪ	0.087
ˈiː	ˈiː	0.757
ˈɑ	ˈoː	0.157
ˈɔ	ˈøː	0.587
ˈɛ	ˈœ	0.267
ˈɛ	ˈɛ	0.327
d	-	0.08
t	d	0.798
tʰ	d	0.638
ç	ɡ	0.198
ɾ	ɐ_d	0.058
ˈæʉ̯	ˈaʊ̯_d	0.368
ˈɛ	ˈa	0.148
ˈɛ	ˈɪ	0.258
tʰ	tʰ	0.309
ʂ	z	0.349
ˈeː	ˈɪ	0.079
ˈuː	ˈaɪ̯	0.329
ˈœʏ̯	ˈaʊ̯	0.519
ˈɑ	ç_#>	0.059
ˈɑː	ˈa_d	0.179
ˈʉ	ˈʊ	0.689
ˈʏ	ˈɔ	0.129
