Polish	Polish	probability
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʥ	ʣ	1.0
ʑ	z	1.0
ʈ͡ʂ	ʧ	1.0
ʂ	ʃ	1.0
ɲ_#>	#>	1.0
ɡ̊	ɡ̊	1.0
ɡ_j	ʤ	1.0
ɡ	ɡ	1.0
ɛ_ɲ	ã	1.0
ɛ_ŋ	ã	1.0
ɛ_w̃	ã	1.0
ɛ_#>	ɛ_#>	1.0
ɕ	s	1.0
ɔ_w̃	õ	1.0
ɔ_n	õ	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v	v	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
n	n	1.0
l	l	1.0
k_j	k	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
r	r	0.962
j	j	0.917
m	m	0.909
k	k	0.909
a	a	0.833
ɲ	ɲ	0.714
ɨ	i	0.679
ʐ	r̝	0.615
u	u	0.6
ɛ	ɛ	0.51
ʐ̊	ʒ̊	0.5
ʐ̊	r̝	0.5
i	i	0.5
ɔ	ɔ	0.491
ʐ	ʒ	0.385
ɔ	u̯ɛ	0.358
ɨ	ə	0.321
i	ə	0.3
ɲ	-	0.286
ɛ	e	0.224
i	-	0.2
a	ɞ	0.167
ɛ	-	0.163
u	w_ʉ	0.15
u	-	0.15
u	ə	0.1
m	-	0.091
k	ʧ	0.091
j	-	0.083
ɔ	u	0.075
ɛ	ə	0.061
