Belarusian	Belarusian	probability
ˈ_#>	#>	1.0
ˈ	-	1.0
ʦ	ʦ	1.0
ʤ̥	ʤ	1.0
ʣʲ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʉ	uː	1.0
ʃ	s_ŭ	1.0
ʂ	ʃ	1.0
ɫ_o	̂_l	1.0
ɫ_a	l	1.0
ɣʲ	ɡ	1.0
ɣ	ɡ	1.0
æ_lʲ	e_l	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
vʲ	v	1.0
v_ɨ	v_ŭ	1.0
v	v	1.0
t_#>	t_ŭ_#>	1.0
t	t	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r_a	r	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	l_ĭ_#>	1.0
kʲ	k	1.0
k	k	1.0
d̥ʲ	ˀ_d	1.0
d̥	d_ŭ	1.0
d	d	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
a_r	o_r	1.0
<#_ʦʲ	<#_t	1.0
<#_x	<#_x	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	<#_o	1.0
#>	ŭ_#>	0.913
r	r	0.792
ɫ	l	0.765
ʧ	ʧ	0.75
ɨ	ŭ	0.714
a_ˈ	a_̌	0.692
æ_ˈ	ẽ	0.667
i_ˈ	i_̌	0.667
i	ŭ	0.636
o_ˈ	o_̂	0.632
sʲ	s	0.583
x	x	0.571
ʦʲ	t_ĭ	0.556
a_#>	o_#>	0.55
ʌ	o	0.5
ʌ	e	0.5
ɛ	ɛː	0.5
ɛ	-	0.5
r_o	̌_r	0.5
r_o	ˀ_r	0.5
lʲ	ʎ	0.5
lʲ	l	0.5
e	e	0.5
a_#>	a_#>	0.45
ʦʲ	t_i	0.444
x	ɡ	0.429
w	v_ŭ	0.429
u_ˈ	õː_̌	0.429
u	uː_̂	0.429
u	õː	0.429
sʲ	̂_s	0.417
o	o_̌	0.412
ɨ_ˈ	ɨ_ˀ	0.4
ɵ_ˈ	̌	0.333
ɵ_ˈ	e_̌	0.333
ɵ_ˈ	e_̂	0.333
æ_ˈ	a	0.333
nʲ	ɲ	0.333
nʲ	n_ĭ	0.333
nʲ	n	0.333
i_ˈ	i	0.333
e	-	0.333
a	o	0.324
ɨ_ˈ	ɨ	0.3
ɨ_ˈ	i	0.3
w	ˀ_l	0.286
w	l	0.286
u_ˈ	õː_̂	0.286
u_ˈ	õː	0.286
ʧ	-	0.25
e_ˈ	ɛː_̌	0.25
e_ˈ	ɛː_̂	0.25
e_ˈ	ɛː	0.25
ɫ	l_ŭ	0.235
a	e	0.235
æ	ẽː_̂	0.231
æ	ẽ	0.231
æ	e	0.231
a_ˈ	a_ˀ	0.231
i	j	0.182
i	-	0.182
o	ŭ_̌	0.176
o	oː_̂	0.176
e	e_̂	0.167
o_ˈ	ĭ	0.158
æ	ɛː	0.154
æ	ẽː	0.154
e_ˈ	ĭ	0.15
a	ŭ	0.147
u	u	0.143
o	o	0.118
o	-	0.118
a	ɛː	0.118
o_ˈ	ŭ_̂	0.105
o_ˈ	ĭ_̂	0.105
e_ˈ	̂	0.1
ɨ	iː	0.095
ɨ	e	0.095
ɨ	-	0.095
a	aː	0.088
a	-	0.088
#>	̌_#>	0.087
r	̌_r	0.083
r	ˀ_r	0.083
a_ˈ	a	0.077
