Nuorese	Nuorese	probability
β_ɛ	w	1.0
β_u	w	1.0
ˈɔ_ɾ	ˈɔ_ʀ	1.0
ˈu_ɾ	ˈy	1.0
ˈo_n_u_#>	ˈu_#>	1.0
ˈi_ʣ	ˈi_l	1.0
ˈi_s	ˈe_l	1.0
ˈi_n	ˈi	1.0
ˈi_k	ˈe	1.0
ˈa_s	ˈa_s	1.0
ˈa_n	ˈa	1.0
ʦ	s	1.0
ʣ	ʎ	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	ɾ_e	1.0
ɾ_k	ʀ_k	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ɔ_z	s	1.0
ɔ_#>	#>	1.0
ŋ	-	1.0
ð_a	ɔ	1.0
z_ɛ̆	s	1.0
z_ă_#>	s_#>	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ˈa	t_ˈa	1.0
t_ɾ	j_ɾ	1.0
t_ɛ	ʧ	1.0
s_k	s_k	1.0
s	s	1.0
p_ɾ	p_l	1.0
p_ɛ	β	1.0
p_u	s	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_t_ɛ_#>	n_#>	1.0
n_t_u_#>	n_#>	1.0
m_ɛ	ŋ_k	1.0
m_i	nː	1.0
m	m	1.0
l	l	1.0
k_ˈi	s_ˈi	1.0
k_ˈe	s_ˈɛ	1.0
k_ɛ	ʦ	1.0
j_z	z	1.0
j	-	1.0
f	f	1.0
a_ɾ	a_ɾ	1.0
a_t	a_ð	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_i	<#_e	1.0
<#_a	<#	1.0
<#	<#_k	1.0
b	b	0.946
ˈa	ˈa	0.881
p	p	0.875
d	d	0.857
n	n	0.81
ɔ	u	0.778
t	t	0.759
a	ɔ	0.757
r	ʀ	0.75
k_u_#>	k_#>	0.75
β	β	0.667
ð	-	0.667
z	-	0.667
t_u	ʧ	0.667
ˈɛ	ˈɛ	0.654
ɣ	w	0.6
nː	n	0.6
k_ɾ	ˈɛ_l	0.6
ˈu	ˈu	0.571
ˈe	ˈɛ	0.571
ˈi	ˈi	0.559
ˈɔ_n	ˈu_n	0.5
ˈɔ_n	ˈu	0.5
ˈo	ˈɔ	0.5
ɡ	ɡ	0.5
i	-	0.5
e	e	0.5
e	-	0.5
ɛ	e	0.481
ɾ	ɾ	0.457
o	u	0.444
ˈɔ	ˈu	0.435
i	e	0.423
ɣ	ɣ	0.4
k_ɾ	l	0.4
ˈu	ˈy	0.371
ɡ	ʤ	0.357
k	s	0.353
ˈɛ	ˈe	0.346
β	w	0.333
ɛ_ɾ	ɾ_e	0.333
ɛ_ɾ	ɾ	0.333
ɛ_ɾ	e	0.333
z	s	0.333
u	u	0.333
u	e	0.333
t_u	ʦ	0.333
o	-	0.333
ˈi	ˈe	0.324
ˈɔ	ˈɔ	0.261
r	ɾ	0.25
k_u_#>	#>	0.25
t	ð	0.241
k	ɣ	0.235
ɔ	-	0.222
o	a_w	0.222
ˈɔ	ɥ_ˈɛ	0.217
ɾ	ʀ	0.217
nː	ɲ	0.2
nː	n_d	0.2
n	-	0.19
k	k	0.176
a	a	0.176
ˈo	ɥ_ˈɔ	0.167
ð	ʤ	0.167
ð	ð	0.167
u	ˈɛ_ʧ	0.167
u	-	0.167
ɾ	l	0.152
ɛ	j	0.148
ɛ	-	0.148
ˈe	ˈe	0.143
ˈe	j_ˈɛ	0.143
ˈe	j	0.143
ɡ	-	0.143
d	-	0.143
ɾ	-	0.13
p	β	0.125
k	z	0.118
k	-	0.118
ˈo	ˈu	0.111
ˈo	ɥ	0.111
ˈo	-	0.111
ɛ	ˈi	0.111
ɛ	w	0.111
ˈɔ	u	0.087
i	i	0.077
ˈi	ˈe_j	0.059
ˈi	-	0.059
ˈu	-	0.057
b	β	0.054
ˈa	ˈa_w	0.051
