Bulgarian	Polish	probability
#>	ɨ_#>	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_u	<#_ˈu	1.0
<#_v	<#_v	1.0
<#_x	<#_x	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʧ	<#_ʈ͡ʂ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
b	b	1.0
d	d	1.0
f	f_#>	1.0
i	-	1.0
j	-	1.0
k	k	1.0
l	l	1.0
lʲ	l	1.0
m	m_j	1.0
m_#>	m_#>	1.0
n_#>	ɲ_#>	1.0
o_#>	ɔ_#>	1.0
o_d	ˈɔ_d	1.0
p	p	1.0
p_#>	m_p	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
v_ˈɛ	v_j	1.0
x	x	1.0
z	w̃_z	1.0
ɛ_#>	ɛ_#>	1.0
ɛ_l	ˈɛ_l	1.0
ɛ_n	n	1.0
ɡ	ɡ	1.0
ɫ_ɐ	w_ɔ	1.0
ɫ_ˈa	w_ˈɔ	1.0
ʃ_t	ʂ_ʈ͡ʂ	1.0
ˈa_ɫ	ˈa_w	1.0
ˈu	ˈu	1.0
ˈɔ_#>	ɔ_#>	1.0
ˈɛ_#>	ɛ_#>	1.0
ˈɛ_s	ˈɛ_ɕ	1.0
ˈɤ_r	ˈa_r	1.0
<#_t	<#_ʨ	0.571
r	ʂ	0.1
r	ˈɛ_r	0.1
ɛ	ˈɔ	0.111
ɛ	ɛ_ɲ	0.111
ɛ	ˈa	0.111
ˈɤ	ˈɔ	0.462
<#	<#_ɡ	0.333
<#_d	<#_ʥ	0.333
k_#>	i_#>	0.333
r	ʐ	0.3
ɛ	ɛ	0.333
ɛ	ˈɛ	0.333
ˈa_#>	ˈa_#>	0.133
ˈɛ	-	0.143
ˈɛ	ˈa	0.143
<#_z	<#_ʑ	0.4
n	n	0.714
v	v	0.714
ɫ	l	0.154
ɫ_#>	w_#>	0.4
ʦ	k	0.4
ˈi	ˈɨ	0.444
ˈɔ	ˈu	0.444
ˈɤ	-	0.154
<#_s	<#_ɕ	0.375
<#_s	<#_s	0.625
o	ɔ	0.25
o	ˈɔ	0.75
r	r	0.5
r_ˈa	r_ˈu	0.5
r_ˈa	r_ˈɔ	0.5
t_#>	t_#>	0.385
t_#>	ʨ_#>	0.615
ɐ_#>	a_#>	0.5
ɐ_#>	ʨ_#>	0.5
ˈɤ	ˈɛ	0.385
<#_z	<#_z	0.6
n	ɲ	0.286
v	v_j	0.286
ɫ	w	0.846
ɫ_#>	l_#>	0.6
ʦ	ʦ	0.6
ˈi	ˈi	0.556
ˈɔ	ˈɔ	0.556
ˈɛ	ˈɔ	0.286
<#	<#_j	0.667
<#_d	<#_d	0.667
k_#>	k_#>	0.667
ɐ	k	0.167
ɐ	j_ɛ	0.167
ɐ	-	0.667
ˈa	ˈɛ	0.167
ˈa	j_ˈa	0.417
ˈa	ˈa	0.417
ˈa_#>	a_#>	0.867
<#_t	<#_t	0.429
ˈɛ	ˈɛ	0.429
