Québécois French	Ligurian	probability
aœ̯	ˈuː	1.0
y	ˈyː	1.0
ɑɔ̯	ˈɔː	1.0
ɪ	ˈi	1.0
ɲ	-	1.0
ʊ	ˈu	1.0
ʣ	d	1.0
ã	ˈe_ŋ	0.261
d	-	0.191
m	m_a	0.051
o	u	0.321
oʊ̯	u	0.1
oʊ̯	ˈaː	0.11
w	-	0.121
z	ʒ	0.821
œ	-	0.081
œ	e	0.61
ɛ	-	0.151
ɥ	t	0.901
a	a	0.722
ã	a_ŋ	0.102
d	d	0.732
ẽɪ̯̃	ŋ	0.222
j	ˈiː	0.232
k	k_w	0.2
l	l	0.542
u	i	0.062
u	ˈu	0.22
u	ˈuː	0.682
æɛ̯	ˈɛː	0.292
ɔ	ˈɔ	0.122
ʁ	r_u	0.072
oʊ̯	ˈaː_r	0.133
t	t	0.743
v	v	0.943
w	ˈuː_ʒ	0.113
ɛ	j	0.313
ʃ	k	0.853
a	ˈɛː	0.054
e	ˈaː	0.54
ẽɪ̯̃	ˈi_ŋ	0.224
i	i	0.054
i	ˈiː	0.054
n	ŋ	0.054
æɛ̯	ˈa	0.224
øʏ̯	ɡ_u	0.424
ɔ	w	0.184
ɡ	ɡ	0.954
ʁ	r	0.534
a	ˈe	0.05
a	-	0.075
ã	ˈa_ŋ	0.445
b	b	0.985
ẽɪ̯̃	ˈa_ŋ	0.495
p	p	0.955
s	s	0.815
t	t_a	0.055
æɛ̯	-	0.145
ɒ̃ʊ̯̃	ˈu_ŋ	0.435
ɔ	u	0.355
ɛ	e	0.265
ʁ	r_n	0.105
ʒ	ʤ	0.205
ʒ	z	0.795
ã	e	0.176
ẽɪ̯̃	ɲ_u	0.06
l	-	0.36
s	s_a	0.056
w	ˈe_d	0.056
ɒ̃ʊ̯̃	ˈu	0.396
d	t	0.077
e	ˈɛː	0.107
i	u	0.267
n	ŋ_a	0.347
n	n	0.537
oʊ̯	ˈɔː	0.087
oʊ̯	l_u	0.57
øʏ̯	u	0.487
œ	a	0.17
ɛ	ˈe	0.067
ɛ	ˈɛ	0.097
ʃ	s	0.07
ʃ	k_a	0.077
i	ˈe	0.158
i	ˈeː	0.188
j	ˈeː_ʤ	0.768
k	k	0.8
ɒ̃ʊ̯̃	u	0.168
a	ˈa	0.099
e	-	0.319
f	f	0.979
i	e	0.209
m	m	0.949
o	ˈɔ	0.679
t	s_t	0.169
w	ˈe	0.709
z	z	0.179
æɛ̯	a	0.249
øʏ̯	ˈuː	0.089
œ	ˈøː	0.139
ɔ	ˈu	0.339
ɛ	a	0.079
ɥ	ˈu	0.099
ʁ	-	0.279
