Russian	Slovak	probability
ˈ	-	1.0
ʦ	ʦ	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʊ	u	1.0
ʉ	u	1.0
ʂ	-	1.0
ɪ_j	iː	1.0
ɨ_ˈ	i	1.0
ɨ_j	iː	1.0
ɡʲ	ɦ	1.0
ɡ_ə	ɦ	1.0
ɡ_o	ɦ	1.0
ɡ	ɦ	1.0
ɛ	ɛ	1.0
ɕː	ʃ	1.0
ɐ_r	r	1.0
æ	-	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
vʲ	ʋ	1.0
v	ʋ	1.0
tʲ	c	1.0
t	t	1.0
s_a	s_a	1.0
s	s	1.0
rʲ	r	1.0
pʲ	p	1.0
o_ˈ	ɛ	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k	k	1.0
j	iː	1.0
fʲ	-	1.0
f	-	1.0
d̥ʲ	ɟ̊	1.0
d̥	d̥	1.0
d	d	1.0
b̥ʲ	b̥	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a	a	0.91
sʲ	s	0.863
dʲ	ɟ	0.774
ɨ	i	0.764
ɡ̊	x	0.743
r	r	0.734
p	p	0.732
ʨ	ʧ	0.683
u	u	0.681
i	i	0.622
lʲ	ʎ	0.606
e	ɛ	0.589
ɐ	ɔ	0.581
ɫ	ɫ	0.552
ɵ	-	0.501
ə	a	0.448
ɪ	ɛ	0.437
o	ɔ	0.434
lʲ	l	0.394
i	-	0.378
ə	ɔ	0.377
ɵ	ɛ	0.364
u	uː	0.319
ʨ	-	0.317
ɐ	-	0.276
e	-	0.275
p	f	0.268
r	r̩	0.266
ɡ̊	ɡ̊	0.257
ɨ	ɛ	0.236
dʲ	d	0.226
ɫ	l	0.215
ɪ	-	0.199
o	-	0.168
ɫ	-	0.163
ɐ	a	0.143
o	ɫ̩	0.138
sʲ	s_ɛ	0.137
e	ɪ̯ɛ	0.136
ɵ	r̩ː	0.135
o	a	0.127
ɪ	ɪ̯ɛ	0.105
o	ʊ̯ɔ	0.093
a	-	0.09
ə	-	0.089
ɪ	ɪ̯a	0.073
ɫ	d_ɫ	0.07
ɪ	ɔ	0.07
ɪ	i	0.068
ə	ɛ	0.066
