Italian	Neapolitan	probability
dː	dː	1.0
mː	mː	1.0
nː	nː	1.0
rː	rː	1.0
ʃː	ʃː	1.0
ʣ	-	1.0
ʣː	ʦː	1.0
ʤː	ʤː	1.0
ʦ	ʦ	1.0
ʦː	ʦː	1.0
ˈa	ˈa	1.0
a	ə	0.781
f	f	0.91
i	e	0.081
tː	-	0.11
tː	t	0.111
v	v	0.921
ɡ	k	0.341
ʤ	d	0.11
ʤ	-	0.481
ʧ	ʃ	0.901
ʧː	ʧː	0.111
ˈɛ	ˈɛ	0.861
b	-	0.162
d	t	0.112
d	d	0.502
i	i	0.492
l	-	0.062
o	o	0.052
p	k	0.112
sː	ʃː	0.522
ɲː	ɲ	0.192
ʧː	ʃ	0.072
ʧː	ʦ	0.242
ˈo	ˈɔ	0.062
b	v	0.513
k	k	0.973
kː	kː	0.983
ʎː	ʎː	0.93
ˈo	ˈo	0.43
lː	lː	0.964
m	m	0.804
r	-	0.344
s	ʃ	0.154
u	a	0.44
v	-	0.054
w	-	0.214
w	w	0.754
ˈɔ	ˈo	0.054
e	-	0.205
j	j	0.635
m	mː	0.145
n	n	0.895
z	z	0.095
z	s	0.905
ɡ	-	0.135
ˈe	ˈɛ	0.165
ˈu	ˈi	0.065
bː	ʎː	0.956
l	lː	0.066
l	l	0.746
s	s	0.846
u	u	0.56
ŋ	ŋ	0.956
ʧː	-	0.096
ˈi	ˈi	0.816
a	a	0.187
d	ɾ	0.357
i	ə	0.407
j	-	0.307
r	ɾ	0.487
ɲː	ʤ	0.07
ʎː	sː	0.07
ʧ	-	0.057
ˈi	i	0.087
ˈu	ˈu	0.87
e	ə	0.758
p	p	0.888
sː	sː	0.478
ɡ	ɡ	0.48
ɲː	ɲː	0.738
ʤ	ʤ	0.408
ʧː	ʃː	0.48
ˈe	ˈe	0.408
ˈi	ˈe	0.08
ˈo	ˈu	0.508
ˈɔ	ˈɔ	0.908
b	b	0.229
f	ʃ	0.09
l	ɾ	0.079
o	u	0.089
o	ə	0.819
r	r	0.169
t	t	0.979
tː	tː	0.779
ˈe	ˈi	0.389
ˈɛ	ˈe	0.079
