French	French	probability
ɲ	n_ʣ	1.0
œ	ˈɔ	1.0
z	i_k	1.0
w_a	ˈi	1.0
t_#>	t_a_#>	1.0
p_l	p_ɾ	1.0
m_#>	m_a_#>	1.0
m	m	1.0
i_#>	u_#>	1.0
b	b	1.0
<#_ʁ	<#_ɾ	1.0
<#_œ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
<#_a	<#_ˈa	1.0
<#	<#_i	1.0
f	f	0.893
p	p	0.875
y	ˈu	0.818
d	d	0.818
t	t	0.8
ɡ	ɡ	0.75
k	k	0.7
v	b	0.69
l	l	0.667
ʁ	ɾ	0.628
ə	-	0.625
ʃ	k	0.6
ɥ	ˈɔ	0.6
a_ʁ	ɛ_ɾ	0.6
n	n_a	0.588
i	ˈi	0.543
e	ˈa_ɾ	0.524
ɔ̃	ˈɔ_n	0.5
a	a	0.467
s	s	0.409
s	k	0.409
ʒ	ɡ	0.4
ʃ	k_a	0.4
ɥ	ˈu_t	0.4
a_ʁ	ɾ	0.4
#>	ɛ_#>	0.395
ə	ɛ	0.375
#>	u_#>	0.373
ɛ̃	ˈa_n	0.368
ɔ	ˈɔ	0.368
ø	ˈo_k	0.333
ø	u_z	0.333
ø	u	0.333
w	ˈi	0.333
u	ˈu	0.333
j	-	0.333
ɔ	ˈo	0.316
o	ˈe_ɖː	0.3
o	ˈa	0.3
a	ˈa	0.267
ɛ̃	ˈi_n	0.263
ɡ	ɣ	0.25
ɔ̃	ˈo_n	0.25
ɔ̃	ɔ_n	0.25
ɑ̃	ˈɛ_n	0.25
ɑ̃	n_t	0.25
w	ˈɛ	0.238
n	n	0.235
ɛ	ˈɛ	0.231
ɛ	ˈa	0.231
ɛ̃	n	0.211
l	ɾ	0.208
ʒ	ʣ	0.2
ʒ	j	0.2
ʒ	-	0.2
t	s_t	0.2
o	ˈa_β	0.2
o	s_u	0.2
j	ˈɛ	0.2
j	k_ɾ	0.2
w	ˈu	0.19
e	ˈa	0.19
e	-	0.19
y	u	0.182
s	ʦ	0.182
d	nː	0.182
ɛ	ˈi	0.179
n	nː	0.176
v	β	0.172
ɑ̃	ˈe	0.167
ɑ̃	nː	0.167
ɑ̃	n	0.167
#>	a_#>	0.164
ɛ̃	ˈa	0.158
ɔ	ɔ	0.158
ɔ	o	0.158
k	s_k	0.15
k	-	0.15
w	-	0.143
u	ˈɔ_t	0.143
u	u	0.143
i	ˈɛ	0.143
ʁ	r	0.141
j	ˈe	0.133
j	ʣ_a	0.133
p	s_p	0.125
l	a	0.125
ʁ	ɛ_ɾ	0.115
i	ɛ	0.114
i	-	0.114
f	β	0.107
ɛ	ˈe	0.103
a	ɣ_ɛ	0.1
a	k_ɛ	0.1
w	ˈɛ_ð	0.095
u	ˈu_k	0.095
u	ˈo	0.095
u	ɔ	0.095
u	j_z	0.095
e	ˈa_ð	0.095
i	ˈe	0.086
ɛ	ˈa_t	0.077
ɛ	-	0.077
v	p_ɛ	0.069
v	p	0.069
a	-	0.067
ɛ	ˈɛ_s	0.051
ɛ	ˈa_k	0.051
