East Low German	Pennsylvania German	probability
ae̯	eː	1.0
b	b	0.886
b	v	0.105
d	d	0.657
d	t	0.333
f	f	0.763
f	p	0.237
h	h	0.954
j	ɡ	0.896
j	j	0.104
k	ç	0.497
k	k	0.258
k	x	0.245
kʰ	kʰ	0.858
kʰ	ɡ	0.142
l	l	0.996
m	m	0.818
m	-	0.103
m	v	0.079
n	n	0.686
n	ə	0.313
p	f	0.892
p	p	0.108
r	ɾ	0.987
s	s	0.529
s	ʃ	0.371
s	k_s	0.099
t	t	0.394
t	s	0.376
t	ʦ	0.137
tʰ	ʦ	0.965
v	ʋ	0.883
v	v	0.086
w	ʋ	1.0
x	x	0.683
x	k	0.317
z	s	1.0
æ	ɑ	0.862
æ	ɾ	0.105
ç	ç	0.603
ç	k	0.397
ŋ	ŋ	0.6
ŋ	j	0.153
ŋ	ɡ	0.101
ŋ	ə	0.074
ŋ	ɣ	0.072
ɡ	ɡ	0.683
ɡ	-	0.167
ɡ	j	0.087
ɡ	ɣ	0.064
ɣ	-	1.0
ɪ	ɪ	1.0
ɾ	d	0.864
ɾ	s	0.136
ʃ	ʃ	1.0
ˈa	ˈa	0.882
ˈa	ˈɔː	0.073
ˈae̯	ˈeː	0.632
ˈae̯	ˈiː	0.306
ˈaɪ̯	ˈiː	1.0
ˈaʊ̯	ˈuː	0.393
ˈaʊ̯	ˈɔː	0.217
ˈaʊ̯	ˈoː	0.193
ˈaʊ̯	ˈʊ	0.103
ˈaʊ̯	ˈa	0.063
ˈaː	ˈaː	0.437
ˈaː	ˈɛː	0.293
ˈaː	ˈɔː	0.177
ˈaː	ˈa	0.094
ˈeː	ˈeː	1.0
ˈiː	ˈaɪ̯	0.634
ˈiː	ˈiː	0.132
ˈiː	ˈɪ	0.1
ˈiː	ˈɛː	0.076
ˈiː	ˈɛ	0.058
ˈoː	ˈɔː	0.756
ˈoː	ˈaː	0.115
ˈoː	ˈɛː	0.092
ˈuː	ˈaʊ̯	0.61
ˈuː	ˈaː	0.153
ˈuː	ˈa	0.111
ˈuː	ˈuː	0.062
ˈyː	ˈaɪ̯	0.891
ˈyː	ˈeː	0.109
ˈøː	ˈeː	1.0
ˈœ	ˈɛ	0.509
ˈœ	ˈaː	0.292
ˈœ	ˈɔː	0.117
ˈœ	ˈɔ	0.081
ˈœː	ˈɛ	0.406
ˈœː	ˈɪ	0.35
ˈœː	ˈoː	0.106
ˈœː	ˈaʊ̯	0.084
ˈœː	ˈʊ	0.055
ˈɒː	ˈoː	0.317
ˈɒː	ˈɔː	0.273
ˈɒː	ˈa	0.135
ˈɒː	ˈeː	0.085
ˈɒː	ˈʊ	0.083
ˈɒː	ˈɔ	0.063
ˈɔ	ˈɔ	0.456
ˈɔ	ˈʊ	0.371
ˈɔ	ˈa	0.174
ˈɔʏ̯	ˈiː	0.429
ˈɔʏ̯	ˈeː	0.269
ˈɔʏ̯	ˈuː	0.123
ˈɔʏ̯	ɑ	0.107
ˈɔʏ̯	ˈɔː	0.072
ˈɛ	ˈɛ	0.572
ˈɛ	ˈɪ	0.195
ˈɛ	ˈeː	0.106
ˈɛ	ˈɔː	0.096
ˈɛɪ̯	ˈɛː	1.0
ˈɛː	ˈɛ	0.419
ˈɛː	ˈɔː	0.276
ˈɛː	ˈiː	0.149
ˈɛː	ˈaɪ̯	0.092
ˈɛː	ˈɔ	0.063
ˈɪ	ˈɪ	0.653
ˈɪ	ˈa	0.092
ˈɪ	ˈaɪ̯	0.09
ˈɪ	ˈɛ	0.063
ˈɪ	ˈeː	0.052
ˈɪ	ˈiː	0.05
ˈʊ	ˈʊ	0.895
ˈʊ	ˈɔ	0.075
ˈʏ	ˈɪ	0.485
ˈʏ	ˈaɪ̯	0.251
ˈʏ	ˈʊ	0.141
ˈʏ	ˈɛ	0.124
