Northern Low Saxon	Swiss German	probability
ˈɛː	ˈi	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈu_r	1.0
ˈœ	-	1.0
ˈø	-	1.0
ˈyː	ˈyː	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ɪ	i	1.0
ə	r_ə	1.0
z	z̥	1.0
v̥	b̥	1.0
tʰ	ʦ	1.0
r	r	1.0
pʰ	p͡f	1.0
p	p	1.0
l_d	l_d̥	1.0
kʰ	ɣ̊	1.0
k	k͡χ	1.0
j	ɡ̊	1.0
i	i	1.0
h	h	1.0
d_ˈaʊ̯	t_ˈoː	1.0
d_r	t_r	1.0
d_n	sː_ə	1.0
b_m	fː_ə	1.0
v	ʋ	0.957
l	l	0.944
f	v̥	0.887
b	b̥	0.854
ˈuː	ˈuː	0.808
ˈiː	ˈiː	0.768
ˈøː	-	0.75
ˈɛ	ˈæ	0.73
ɐ	r	0.716
ˈɪ	ˈi	0.711
ŋ	ŋ	0.711
m	m	0.702
ʃ	ʒ̊	0.683
n	n	0.672
t	t	0.668
ˈʊ	ˈu	0.662
ˈa	ˈɒ	0.653
x	χ	0.605
ˈeː	-	0.591
z̥	z̥	0.588
ˈʏ	ˈy	0.503
ç	χ_t	0.5
ç	ɡ̊ː	0.5
ɡ	ɡ̊	0.49
d	t	0.455
ˈɔ	ˈo	0.444
ˈaː	r	0.443
ˈɔʏ̯	ˈyə̯	0.423
s	ʃ_t	0.417
z̥	s	0.412
ˈeː	ˈæ	0.409
ˈɔʏ̯	ˈøː	0.399
x	ɡ̊	0.395
ˈoː	ˈoː	0.362
s	s	0.348
d	d̥	0.345
ˈaɪ̯	ˈæi̯	0.335
ˈɔ	ˈu	0.333
t	-	0.332
ˈaː	ˈɒ_r	0.33
ˈaʊ̯	ˈuə̯	0.317
ˈoː	ˈɒː	0.307
ˈaɪ̯	ˈyː	0.3
ŋ	ɡ̊_ə	0.289
ɐ	ə_r	0.284
ɡ	χː	0.275
ˈɛ	-	0.27
ˈʏ	-	0.253
ˈøː	ˈy	0.25
ˈʏ	ˈu	0.244
s	ʒ̊	0.235
ˈaː	ˈɒ_l	0.227
ˈɔ	-	0.222
n	ə	0.221
ˈaʊ̯	ˈau̯	0.216
ˈa	ˈɒː	0.209
ʃ	ʃː	0.209
ˈuː	-	0.192
ˈaʊ̯	ˈoː	0.191
ˈɔʏ̯	-	0.178
m	m_ə	0.178
ˈʊ	ˈo	0.177
ˈoː	ˈɒ	0.168
ɡ	k͡χ	0.167
ˈʊ	-	0.161
ˈɪ	-	0.149
b	p͡f	0.146
ˈaɪ̯	ˈiə̯	0.138
ˈa	ˈæ	0.138
ˈaɪ̯	ˈeː	0.131
ˈiː	ˈyː	0.118
ˈiː	ˈi_r	0.114
f	f	0.113
ʃ	ʃ	0.108
ˈoː	ˈo	0.098
ˈɪ	ˈæi̯	0.097
ˈaʊ̯	ˈɒ	0.095
ˈaɪ̯	ˈæː	0.095
ˈaʊ̯	ˈo	0.091
ˈaʊ̯	-	0.089
d	ʦ	0.07
ɡ	χ_ə	0.068
n	n_d̥	0.067
m	b̥_ə	0.067
ˈoː	-	0.066
m	ə	0.052
d	tː	0.052
