Ripuarian	Icelandic	probability
b	b̥	1.0
d	θ	0.386
d	d̥	0.318
d	ð	0.17
d	ð_ʏ	0.057
e	aːu̯	1.0
f	f	0.615
f	p	0.185
f	v_ʏ	0.118
h	h	0.693
h	ç	0.307
j	ɡ̊	0.657
j	ɟ̊	0.326
k	kʰ	0.28
k	ð	0.131
k	ɡ̊ː	0.099
k	c	0.086
k	d̥_ʏ	0.07
k	ɟ̊ː	0.065
k	ɡ̊_ʏ	0.064
l	l	0.568
l	l̥	0.176
l	t_l̥	0.076
l	ɡ̊_l	0.064
m	m	0.692
m	m_ʏ	0.179
m	-	0.081
n	n	0.366
n	-	0.203
n	t_n̥	0.131
n	nː	0.07
n	n̥	0.055
p	v_ʏ	0.51
p	ʰp	0.38
p	p	0.11
s	s	0.323
s	t_ʏ	0.281
s	t	0.215
s	r	0.054
t	ð	0.344
t	t	0.176
t	r_ð	0.124
t	-	0.112
t	ð_ʏ	0.107
t	d̥_ʏ	0.073
v	v	0.929
x	ʰt	0.658
x	ɣ	0.18
x	k	0.113
z	s	0.876
z	s_j	0.124
ŋ	n	0.489
ŋ	ŋ	0.301
ŋ	nː	0.077
ŋ	ɡ̊	0.056
ɐ	r̥	0.335
ɐ	ɪ	0.257
ɐ	r	0.229
ɐ	ʏ_r̥	0.087
ɐ	r_t	0.069
ɕ	k	0.228
ɕ	x	0.156
ɕ	ɣ	0.154
ɕ	ʰt_ʏ	0.136
ɕ	k_ʏ	0.134
ɕ	s	0.075
ɕ	rː̥	0.075
ə	a	0.746
ə	-	0.091
ə	ʏ	0.066
ɣ	-	0.466
ɣ	j	0.466
ɣ	ɟ̊	0.067
ɪ	ŋ	0.786
ɪ	-	0.107
ɪ	u	0.107
ʀ	r	0.787
ʀ	r̥	0.081
ʃ	s	0.475
ʃ	s_c	0.308
ʃ	s_k	0.217
ʋ	v	0.758
ʋ	kʰ	0.155
ʦ	tʰ	0.668
ʦ	ʰt	0.121
ʦ	t_ʏ	0.07
ʦ	r̥_t	0.067
ʦ	d̥	0.054
ˈa	ˈa	0.307
ˈa	ˈaː	0.183
ˈa	ˈɑu̯	0.159
ˈa	ˈaːi̯	0.105
ˈa	ˈœ	0.088
ˈa	ˈɪ	0.067
ˈaʊ̯	ˈuː	0.449
ˈaʊ̯	ˈœːy̯	0.296
ˈaʊ̯	a	0.123
ˈaʊ̯	ˈœː	0.083
ˈaː	ˈa	0.306
ˈaː	ˈaː	0.253
ˈaː	ˈɑu̯	0.129
ˈaː	ˈɛː	0.101
ˈaː	ˈɔu̯	0.076
ˈaː	ˈɛːi̯	0.076
ˈaː	ˈaːi̯	0.059
ˈe	ˈɪː	0.241
ˈe	ˈɪ	0.237
ˈe	ˈɛ	0.207
ˈe	ˈi	0.118
ˈe	ˈœ	0.107
ˈe	ˈoːu̯	0.051
ˈeɪ̯	ˈiː	0.547
ˈeɪ̯	ˈɛ	0.453
ˈeː	j	0.36
ˈeː	ˈɛːi̯	0.188
ˈeː	j_ˈuː	0.096
ˈeː	j_ˈoːu̯	0.088
ˈeː	ˈɛi̯	0.085
ˈeː	ˈɛː	0.054
ˈiː	ˈiː	0.551
ˈiː	j_ˈoːu̯	0.24
ˈiː	ˈaːu̯	0.089
ˈiː	ˈɛː	0.056
ˈo	ˈu	0.546
ˈo	ˈʏ	0.351
ˈo	ˈaːu̯	0.089
ˈoʊ̯	ˈʏ	0.682
ˈoʊ̯	ˈɛːi̯	0.318
ˈoː	ˈoːu̯	0.259
ˈoː	ˈau̯	0.143
ˈoː	ˈœːy̯	0.102
ˈoː	ˈɑːu̯	0.083
ˈoː	ˈaːu̯	0.061
ˈoː	ˈa	0.058
ˈoː	ˈɔː	0.056
ˈoː	ˈiː	0.054
ˈu	ˈɔː	0.682
ˈu	ˈʏː	0.318
ˈuː	ˈuː	0.54
ˈuː	ˈœːy̯	0.281
ˈuː	ˈɑːu̯	0.071
ˈuː	ˈɛːi̯	0.071
ˈyː	ˈʏ	0.311
ˈyː	ˈɛːi̯	0.208
ˈyː	ˈɛː	0.112
ˈyː	ˈaːi̯	0.093
ˈyː	ˈʏː	0.087
ˈyː	ˈɪː	0.069
ˈyː	ʏ	0.062
ˈyː	ˈiː	0.057
ˈøː	ˈaːi̯	0.391
ˈøː	ˈai̯	0.311
ˈøː	ˈɑːu̯	0.122
ˈøː	ˈeːi̯	0.094
ˈøː	ˈɛ	0.056
ˈœ	ˈʏ	0.4
ˈœ	ˈɪ	0.37
ˈœ	ˈai̯	0.23
ˈɔ	ˈɔ	0.226
ˈɔ	ˈʏ_t	0.153
ˈɔ	ˈʏ	0.148
ˈɔ	ˈɑːu̯	0.13
ˈɔ	ˈɔu̯	0.095
ˈɔ	ˈʏː	0.065
ˈɔ	ˈɪ	0.064
ˈɔ	ˈou̯	0.062
ˈɔʏ̯	ˈiː	1.0
ˈɛ	ˈɛː	0.211
ˈɛ	ˈɛ	0.172
ˈɛ	ˈa	0.165
ˈɛ	ˈau̯	0.144
ˈɛ	ˈiː	0.079
ˈɛ	ˈɪ	0.069
ˈɛ	ˈou̯	0.058
ˈɛ	ˈœː	0.057
ˈɛː	ˈɛ	0.322
ˈɛː	ˈa	0.267
ˈɛː	j_ˈœ	0.131
ˈɛː	ˈœ	0.103
ˈɛː	ˈʏː	0.059
ˈɛː	ˈɪː	0.056
ˈɪ	ˈi	0.367
ˈɪ	ˈiː	0.206
ˈɪ	ˈa	0.164
ˈɪ	ˈɪ	0.164
ˈɪ	ˈɛː	0.057
ˈʊ	ˈʏ	0.517
ˈʊ	ˈɔ	0.483
ˈʏ	ˈai̯	0.332
ˈʏ	ˈou̯	0.332
ˈʏ	ˈiː	0.184
ˈʏ	ˈi	0.151
